"Blugento_Adminmenu::General Settings","Allgemeine Einstellungen"
"CMS Blocks","Statische Blöcke"
"CMS Pages","Seiten"
"Customise Homepage","Startseiten anpassen"
"Data Feeds","Data Feeds"
"Display footer logos","Anzeige Fußzeile Logos"
"General Settings","Allgemeine Einstellungen"
"Localizer","Localizer"
"Mage_Adminhtml::Configuration","Konfiguration"
"Mage_Adminhtml::Content","Inhalt"
"Mage_Adminhtml::General Settings","Allgemeine Einstellungen"
"Mage_Adminhtml::Shortcuts","Abkürzungen"
"Mage_Core::General Settings","Allgemeine Einstellungen"
"Sliders","Bild-Slider"
