"Blugento_Adminmenu::General Settings","Setări generale"
"CMS Blocks","Blocuri statice"
"CMS Pages","Pagini"
"Customise Homepage","Customizare Homepage"
"Data Feeds","Feed-uri"
"Display footer logos","Afișare logo-uri în footer"
"General Settings","Setări generale"
"Localizer","Localizare"
"Mage_Adminhtml::Configuration","Configurație"
"Mage_Adminhtml::Content","Conținut"
"Mage_Adminhtml::General Settings","Setări generale"
"Mage_Adminhtml::Shortcuts","Scurtături"
"Mage_Core::General Settings","Setări generale"
"Sliders","Bannere"
