"Logout from your account","Deconectați-vă din contul dumneavoastră"
"Are you sure you want to log out?","Sigur vrei să te deconectezi?"
"Logout","Deconectare"
"Use Account","Folosește contul"
"Login with your email","Loghează-te cu email"
"Login in your account","Intră in cont"
"You don't have an account?","Nu ai incă cont?"
"Create account","Creează un cont"
"Already a user?","Ești deja utilizator?"
"Login","Intră in cont"
"Enable First Login","Activare logare la încarcarea paginii"
"Button Placement","Plasare butoane"
"Determines where buttons for switching tabs are placed","Determina unde sunt plasate butoanele pentru comutarea intre tab-uri"
"Button Action","Actiune buton"
"Determines which tab will be loaded on click","Determina care tab va fi incarcat la clic"
"Choose CMS Block","Alegeti blocul CMS"
