"Store Credit","Store Credit"
"Update Balance","Update Balance"
"Website","Website"
"Send Email from the Following Store View","Send Email from the Following Store View"
"Add or Deduct Credit","Add or Deduct Credit"
"Comment","Comment"
"Balance","Balance"
"ID","ID"
"Operation Name","Operation Name"
"Operation Value","Operation Value"
"Remaining Credit","Remaining Credit"
"Operation Date","Operation Date"
"Credit Transactions History","Credit Transactions History"
"Name","Name"
"Email","Email"
"Add Amount","Add Amount"
"All Websites","All Websites"
"Value","Value"
"Specify amount!","Specify amount!"
"Specify store!","Specify store!"
"Please, select customers!","Please, select customers!"
"Сustomer's balances have been updated.","Сustomer's balances have been updated."
"An error occurred while updating customer balances.","An error occurred while updating customer balances."
"Failed to initialize customer","Failed to initialize customer"
"Balance successfully send","Balance successfully send"
"Error, balance not send!","Error, balance not send!"
"The store credit payment has been removed from shopping cart.","The store credit payment has been removed from shopping cart."
"Store Credit payment is not being used in your shopping cart.","Store Credit payment is not being used in your shopping cart."
"Store Credit Value in %s","Store Credit Value in %s"
"Custom Store Credit Value","Custom Store Credit Value"
"Website ID must be set.","Website ID must be set."
"Customer ID must be specified.","Customer ID must be specified."
"Customer is not set or does not exist.","Customer is not set or does not exist."
"Incorrect recipient!","Incorrect recipient!"
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
"Amount","Amount"
"Field %s is required","Field %s is required"
"Incorrect Amount","Incorrect Amount"
"Insufficient Funds","Insufficient Funds"
"An error has occurred while preparing Store Credit.","An error has occurred while preparing Store Credit."
"Please login to purchase!","Please login to purchase!"
"Please specify %s","Please specify %s"
"Please specify all the required information.","Please specify all the required information."
"Store Credit min amount is %s","Store Credit min amount is %s"
"Store Credit max amount is %s","Store Credit max amount is %s"
"Please specify Store Credit Value","Please specify Store Credit Value"
"Please specify Store Credit amount.","Please specify Store Credit amount."
"Update Credit","Update Credit"
"By","By"
"Store","Store"
"Are you sure?","Are you sure?"
"Not enough Store Credit Amount to complete this Order.","Not enough Store Credit Amount to complete this Order."
"Store Credit (%s)","Store Credit (%s)"
"Store credit amount cannot exceed order amount.","Store credit amount cannot exceed order amount."
"the whole credit value","the whole credit value"
"percent of credit value","percent of credit value"
"Credit Information","Credit Information"
"Transaction History","Transaction History"
"Action","Action"
"Delete Amount","Delete Amount"
"Delete","Delete"
"Refund to Store Credit","Refund to Store Credit"
"Use Store Credit","Use Store Credit"
"available","available"
"From","From"
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
"Price as calculated","Price as calculated"
"Choose an Amount...","Choose an Amount..."
"Custom Amount","Custom Amount"
"Minimum: %s","Minimum: %s"
"Maximum: %s","Maximum: %s"
"Entered amount is too low","Entered amount is too low"
"Entered amount is too high","Entered amount is too high"
"Remove","Remove"
"Your current balance is: %s","Your current balance is: %s"
"Subscribe to balance updates","Subscribe to balance updates"
"Save","Save"
"Credit Transactions","Credit Transactions"
"Date","Date"
"Transaction History is empty","Transaction History is empty"
"Send credit to friend","Send credit to friend"
"Friend Name","Friend Name"
"Message","Message"
"Submit","Submit"
"Update Store Credit","Update Store Credit"
"Send Store Credit to Friend","Send Store Credit to Friend"
"Store Credit Section","Store Credit Section"
"General","General"
"Enabled","Enabled"
"Product Types, Which Can Be Bought With Store Credit","Product Types, Which Can Be Bought With Store Credit"
"Email Options","Email Options"
"Email Sender","Email Sender"
"Template Update Store Credit","Template Update Store Credit"
"Template Send Store Credit to Friend","Template Send Store Credit to Friend"
"Automatically Subscribe New Customers to Balance Updates","Automatically Subscribe New Customers to Balance Updates"
