"Store Credit","Credit magazin"
"Update Balance","Actualizează"
"Website","Website"
"Send Email from the Following Store View","Trimiteți e-mail din următorul magazin"
"Add or Deduct Credit","Adăugați sau deduceți creditul"
"Comment","Comentariu"
"Balance","Balanță"
"ID","ID"
"Operation Name","Denumirea operațiunii"
"Operation Value","Valoarea operațională"
"Remaining Credit","Creditul rămas"
"Operation Date","Data de funcționare"
"Credit Transactions History","Istoricul tranzacțiilor de credit"
"Name","Nume"
"Email","Email"
"Add Amount","Adăugați suma"
"All Websites","Toate site-urile Web"
"Value","Valoare"
"Specify amount!","Specificați suma!"
"Specify store!","Specificați magazinul!"
"Please, select customers!","Selectați clienții!"
"Сustomer's balances have been updated.","Suma a fost actualizată."
"An error occurred while updating customer balances.","A apărut o eroare în timpul actualizării balanței."
"Failed to initialize customer","Nu sa inițializat"
"Balance successfully send","Soldul s-a trimis cu succes"
"Error, balance not send!","Eroare, nu a fost trimis!"
"The store credit payment has been removed from shopping cart.","Plata creditului magazinului a fost eliminată din coșul de cumpărături."
"Store Credit payment is not being used in your shopping cart.","Plata prin credit nu este utilizată în coșul dvs. de cumpărături."
"Store Credit Value in %s","Stocați valoarea creditului în %s"
"Custom Store Credit Value","Valoarea creditului pentru magazin"
"Website ID must be set.","Codul site-ului Web trebuie să fie setat."
"Customer ID must be specified.","ID-ul clientului trebuie specificat."
"Customer is not set or does not exist.","Clientul nu este setat sau nu există."
"Incorrect recipient!","Destinatar incorect!"
"Recipient Name","Nume Destinatar"
"Recipient Email","Email destinatar"
"Amount","Valoare"
"Field %s is required","Câmpul %s este necesar"
"Incorrect Amount","Valoare incorectă"
"Insufficient Funds","Fonduri insuficiente"
"An error has occurred while preparing Store Credit.","A apărut o eroare la pregătirea creditului pentru magazin."
"Please login to purchase!","Conectați-vă pentru a achiziționa!"
"Please specify %s","Specificați %s"
"Please specify all the required information.","Specificați toate informațiile necesare."
"Store Credit min amount is %s","Stocul de credit min %s"
"Store Credit max amount is %s","Suma maximă a creditului pentru magazin este %s"
"Please specify Store Credit Value","Specificați valoarea creditului magazinului"
"Please specify Store Credit amount.","Precizați suma creditului pentru magazin."
"Update Credit","Actualizați creditul"
"By","De"
"Store","Magazin"
"Are you sure?","Esti sigur?"
"Not enough Store Credit Amount to complete this Order.","Nu este suficient suma de credit pentru a finaliza acest comandă."
"Store Credit (%s)","Magazin de credit (%s)"
"Store credit amount cannot exceed order amount.","Magazinul de credit suma nu poate depăși comanda amount."
"the whole credit value","întreaga valoare a creditului"
"percent of credit value","la sută din valoarea creditului"
"Credit Information","Informații despre credit"
"Transaction History","Istoricul tranzactiilor"
"Action","Acțiune"
"Delete Amount","Șterge Suma"
"Delete","Șterge"
"Refund to Store Credit","Rambursați pentru a păstra credit"
"Use Store Credit","Utilizați Creditul magazinului (Bifați metoda de plată înainte de utilizarea creditului)"
"available","disponibil"
"From","De al"
"Excl. Tax:","Fără taxe:
"Incl. Tax:","Incl. Impozit:"
"Price as calculated","Prețul calculatd"
"Choose an Amount...","Alegeți o sumă ..."
"Custom Amount","Valoarea personalizată"
"Minimum: %s","Minim: %s"
"Maximum: %s","Maxim: %s"
"Entered amount is too low","Suma înscrisă este prea mică"
"Entered amount is too high","Suma înscrisă este prea mare"
"Remove","Elimina"
"Your current balance is: %s","Soldul dvs. actual: %s"
"Subscribe to balance updates","Abonați-vă la actualizări"
"Save","Salvați"
"Credit Transactions","Tranzacții de credit"
"Date","Date"
"Transaction History is empty","Istoricul tranzacțiilor este gol"
"Send credit to friend","Trimite credit unui prieten"
"Friend Name","Numele prietenului"
"Message","Mesaj"
"Submit","Trimite"
"Update Store Credit","Creditul pentru magazinul de actualizare"
"Send Store Credit to Friend","Trimiteți creditul magazinului prietenului"
"Store Credit Section","Magazin de credit secțiunea"
"General","General"
"Enabled","Activat"
"Product Types, Which Can Be Bought With Store Credit","Tipuri de produse, care pot fi achiziționate cu credit de magazin"
"Email Options","Opțiuni de e-mail"
"Email Sender","Expeditor e-mail"
"Template Update Store Credit","Șablon actualizare magazin de credit"
"Template Send Store Credit to Friend","Șablon trimite credit la prieten"
"Automatically Subscribe New Customers to Balance Updates","Abonați automat clienții noi pentru a echilibra actualizările"
