"Personal Purchase","Persoană fizică"
"Company Purchase","Persoană juridică"
"Company Registration Number","Nr. Reg. Com."
"IBAN","IBAN"
"Bank Name","Banca"
"CNP","CNP"
"Mage_Checkout::VAT Number","CUI / CIF"
"Billing Attributes","Atribute facturare"
"Display CNP Field","Afişează câmp CNP"
"Require CNP Field","Marchează câmp CNP obligatoriu"
"Individual Title","Titlu persoană fizică"
"Legal Entity Title","Titlu persoană juridică"
"Require ORC Field","Nr Reg Com obligatoriu"
"Region Before City","Regiune inainte de oraș"
"Display Region before City","Afiseaza regiune inainte de oraș"
"Fields Display Settings","Setari afisare campuri"
"Company","Companie"
"Nr Reg Com","Nr Reg Com"
"VAT Number","VAT Number"
"Headquarter","Sediu social"
"Phone","Număr Telefon"
"Fax","Fax"
"Country","Țara"
"Postal Code","Cod Poștal"
"The country field will not be displayed only if in System->Configuration->General->Countries Options->Allow Countries will be selected only one country.","Țara nu va fi afișată doar dacă din System->Configuration->General->Countries Options->Allow Countries va fi selectată o singură țară."
"Postal Code will not be displayed only if all the allowed countries are selected for optional postal code. To set this option go to System->Configuration->General->Countries Options.","Codul Poștal nu va fi afișat doar dacă toate țările permise au codul poștal opțional. Pentru această setare mergeți la System->Configuration->General->Countries Options."
"Firstname","Prenume"
"Lastname","Nume"
"Personal Purchase Form","Formular Persoană Fizică"
"Legal Entity Purchase Form","Formular Persoană Juridică"
"If both forms are disabled this form will be enable by default.","Dacă ambele formulare sunt dezactivate, acesta va fi activat implicit."
"If both forms are disabled Personal Purchase Form will be enable by default.","Dacă ambele formulare sunt dezactivate, Formularul Persoană Fizică va fi activat implicit."
"Continue","Continuă"
"Please enter a valid phone number. For example +40741234567","Introduceți un număr de telefon corect. De exemplu +40741234567"
"*Ex: Number, Street, Apt./Suite/Room","*Ex: Strada, Număr, Scara, Apt./Casa"
"Phone Min Length","Lungimea minimă a telefonului"
"Phone Max Length","Lungimea maximă a telefonului"
"Street Max Length","Lungimea maximă a campului de adresa"
"Select a value","Selectați o valoare"
"City / County / Zip/Postal Code","Oraș / Județ / Cod Poștal"
"7 digits","7 cifre"
"10 digits","10 cifre"
"12 digits","12 cifre"
"14 digits","14 cifre"
"16 digits","16 cifre"
"Please enter a valid VAT.","Va rog introduceti un cod fiscal valid"
"Validate VAT Number","Validare CIF"
"Validation is made only for Romania. It's allowed with ""RO"" or without (depends on the TVA) and digits between 0 and 9, with minim of 6 digits and maxim of 8","Validarea se face numai pentru România. Este permis cu ""RO"" sau fără (depinde de TVA) și cifre între 0 și 9, cu minim 6 cifre și maxim 8"
"Validate First and Last Name","Validați numele și prenumele"
"Uses only letters (a-z or A-Z), numbers (0-9) or spaces in fields.","Se pot folosi doar litere (a-z sau A-Z), cifre (0-9) sau spații în câmpuri."
