"layout/title/blog_link","Link zum Blog"
"layout/title/catalog_mini_search","Suchfeld"
"layout/title/checkout_add_to_cart_quantity_buttons_status","In den Warenkorb Button mit Anzahlregler"
"layout/title/checkout_agreements_position","Kasse - Position AGB/Widerrufsbelehrung"
"layout/title/checkout_billing_address_layout","Kasse - Layout Rechnungsadresse"
"layout/title/checkout_cart_clear_button","""Warenkorb leeren"" Button"
"layout/title/checkout_cart_cross_sells_position","Position der Cross Sells"
"layout/title/checkout_cart_layout","Warenkorb Layout"
"layout/title/checkout_cart_shipping_section","Cart Shipping Section"
"layout/title/checkout_crosssels_slider_status","Slider für Cross Sells Produkte"
"layout/title/checkout_product_thumbnail","Warenkorb Produkt-Vorschaubild"
"layout/title/checkout_product_unit_price","Warenkorb Einzelpreis"
"layout/title/checkout_shipping_address_layout","Kasse - Layout Lieferadresse"
"layout/title/checkout_use_billing_shipping_address_above_form","""Use Billing/Shipping Address"" Above Form"
"layout/title/cookie_notice","Cookie Hinweis"
"layout/title/debug_mode","Fehlerbeseitigungs-Modus"
"layout/title/disable_compare","Vergleichen"
"layout/title/disable_poll","Umfragen"
"layout/title/disable_reviews","Bewertung"
"layout/title/disable_tags","Schlagworte"
"layout/title/disable_wishlist","Wunschzettel"
"layout/title/footer_legals","Rechtlicher Hinweis (Preisberechnung)"
"layout/title/footer_marketing_mode","Footer Marketing"
"layout/title/full_layout_mode","Komplette Breite Layout"
"layout/title/header_layout","Layout Kopfzeile"
"layout/title/homepage_banner_layout","Startseitenbanner Layout"
"layout/title/layered_nav_filters_size","Filters count limit"
"layout/title/layered_nav_layout","Position der Filter"
"layout/title/layered_navigation_position","Position der Navigation"
"layout/title/mini_cart_layout","Mini-Warenkorb Layout"
"layout/title/mini_cart_image_layout","Bild minimieren"
"layout/title/nav_layout","Layout Navigation"
"layout/title/page_background_image","Seitenhintergrund Bild"
"layout/title/page_background_repeat","Seitenhintergrund wiederholen"
"layout/title/preloader_status","Ladesymbol anzeigen"
"layout/title/product_list_add_to_cart_status","""In den Warenkorb"" Button"
"layout/title/product_list_add_to_links_status","""Hinzufügen zu"" Links in Produktlisten"
"layout/title/product_list_image_width","Breite der Produktbilder in Listenansicht"
"layout/title/product_list_page_layout","Page Layout"
"layout/title/product_list_shortdescription_mode_status","Kurzbeschreibung auf Listenansicht von Produkten"
"layout/title/product_list_tax_mode","Steuerinformation auf Produktübersicht"
"layout/title/product_list_tax_shipping_mode","Versandinformation auf Kategorie- und Suchergebnisseiten"
"layout/title/product_view_add_to_cart_quantity_buttons_status","Menge Buttons Warenkorb"
"layout/title/checkout_cart_modal","Modalen Wagen anzeigen"
"layout/title/product_view_delivery_time_mode","Lieferzeit"
"layout/title/product_view_gallery_images_count","Produktdetailseite - Anzahl angezeigter Bilder in Gallerie"
"layout/title/product_view_gallery_images_count_mobile","Produktdetailseite - Anzahl angezeigter Bilder in Gallerie (mobil)"
"layout/title/product_view_gallery_orientation","Produktdetailseite - Gallerie Anordnung"
"layout/title/product_view_layout","Product Layout"
"layout/title/product_view_main_image_action","Produktdetailseite - Image Zoom"
"layout/title/product_view_main_image_width","Produktdetailseite - Größe Hauptbild (abhängig von der Seitenbreite)"
"layout/title/product_view_manufacturer_price_mode","Hersteller Preis"
"layout/title/product_view_page_layout","Page Layout"
"layout/title/product_view_related_products_slider_status","Slider für Zubehör"
"layout/title/product_view_related_products_status","Status Zubehör"
"layout/title/product_view_reviews_mode","Bewertungen unter dem Titel"
"layout/title/product_view_shop_layout","Info Section Layout"
"layout/title/product_view_short_description_mode","Kurzbeschreibung"
"layout/title/product_view_subtitle_mode","Untertitel"
"layout/title/product_view_tabs_style","Produktdetailseite - Tab Stil"
"layout/title/product_view_upsell_products_slider_status","Slider für ähnlichen Produkten"
"layout/title/product_view_upsell_products_status","Status "
"layout/title/socialmedia_share_position","Social Share Position"
"layout/title/sticky_header","Fixierter Header"
"layout/title/to_top","""Zum Seitenanfang"" Button"
"layout/title/wishlist_display","Wunschzettel Layout"
"layout/description/blog_link",""
"layout/description/catalog_mini_search",""
"layout/description/checkout_add_to_cart_quantity_buttons_status",""
"layout/description/checkout_agreements_position",""
"layout/description/checkout_billing_address_layout",""
"layout/description/checkout_cart_clear_button","Angezeigt im Warenkorb"
"layout/description/checkout_cart_cross_sells_position",""
"layout/description/checkout_cart_layout",""
"layout/description/checkout_cart_shipping_section",""
"layout/description/checkout_crosssels_slider_status",""
"layout/description/checkout_product_thumbnail","Anzeigemodus Vorschaubild für Produkte im Warenkorb"
"layout/description/checkout_product_unit_price","Anzeigemodus Einzelpreis für Produkte im Warenkorb"
"layout/description/checkout_shipping_address_layout",""
"layout/description/checkout_use_billing_shipping_address_above_form",""
"layout/description/cookie_notice",""
"layout/description/debug_mode","Zeige Farbpalette und Geräte-Information"
"layout/description/disable_compare",""
"layout/description/disable_poll",""
"layout/description/disable_reviews",""
"layout/description/disable_tags",""
"layout/description/disable_wishlist",""
"layout/description/footer_legals",""
"layout/description/footer_marketing_mode",""
"layout/description/full_layout_mode",""
"layout/description/header_layout",""
"layout/description/homepage_banner_layout",""
"layout/description/layered_nav_filters_size","Filter will become a dropdown if the items number exceeds this limit"
"layout/description/layered_nav_layout","Anzeigen auf Produkt-Listenansicht und Suchergbenis-Seiten"
"layout/description/layered_navigation_position","Anzeigeposition der Navigation"
"layout/description/mini_cart_layout","Angezeigt im Header (alle Gerätedisplays)"
"layout/description/nav_layout",""
"layout/description/page_background_image",""
"layout/description/page_background_repeat",""
"layout/description/preloader_status",""
"layout/description/product_list_add_to_cart_status","Für einfache Produkte"
"layout/description/product_list_add_to_links_status","""Auf den Wunschzettel"" und ""Auf die Vergleichsliste"" Links"
"layout/description/product_list_image_width","Prozentual abhängig von der Breite des Elements"
"layout/description/product_list_page_layout",""
"layout/description/product_list_shortdescription_mode_status",""
"layout/description/product_list_tax_mode",""
"layout/description/product_list_tax_shipping_mode",""
"layout/description/product_view_add_to_cart_quantity_buttons_status",""
"layout/description/product_view_delivery_time_mode",""
"layout/description/product_view_gallery_images_count",""
"layout/description/product_view_gallery_images_count_mobile",""
"layout/description/product_view_gallery_orientation",""
"layout/description/product_view_layout",""
"layout/description/product_view_main_image_action",""
"layout/description/product_view_main_image_width",""
"layout/description/product_view_manufacturer_price_mode",""
"layout/description/product_view_page_layout",""
"layout/description/product_view_related_products_slider_status",""
"layout/description/product_view_related_products_status",""
"layout/description/product_view_reviews_mode",""
"layout/description/product_view_shop_layout",""
"layout/description/product_view_short_description_mode",""
"layout/description/product_view_subtitle_mode",""
"layout/description/product_view_tabs_style",""
"layout/description/product_view_upsell_products_slider_status",""
"layout/description/product_view_upsell_products_status",""
"layout/description/socialmedia_share_position",""
"layout/description/sticky_header",""
