"scss/title/google_fonts","Google Schriftarten"
"scss/title/color--primary","Hauptfarbe 1"
"scss/title/color--secondary","Hauptfarbe 2"
"scss/title/color--third","Hauptfarbe 3"
"scss/title/color--fourth","Hauptfarbe 4"
"scss/title/color--fifth","Hauptfarbe 5"
"scss/title/page_background-color","Hintergrundfarbe"
"scss/title/page_color","Textfarbe"
"scss/title/page-container_background-color","Hintergrundfarbe des Inhaltsbereichs"
"scss/title/font_base","Schriftart"
"scss/title/font-weight","Schriftstärke"
"scss/title/font-style","Schriftstil"
"scss/title/font-family-base","Schriftfamilie"
"scss/title/font-size","Schriftgröße"
"scss/title/line-height","Zeilenhöhe"
"scss/title/page-main_background-color","Hintergrundfarbe"
"scss/title/page-main_color","Textfarbe"
"scss/title/page-title_color","Textfarbe Überschriften"
"scss/title/page-title_font","Schriftart Überschriften"
"scss/title/page-title_font-size","Schriftgröße"
"scss/title/page-subtitle_color","Textfarbe Untertitel"
"scss/title/page-subtitle_font","Schriftart Untertitel"
"scss/title/page-subtitle_font-size","Schriftgröße"
"scss/title/data-table__th_background-color","Hintergrundfarbe Kopf"
"scss/title/data-table__th_color","Textfarbe Kopf"
"scss/title/data-table__td_background-color","Hintergrundfarbe Körper"
"scss/title/data-table__td_color","Textfarbe Körper"
"scss/title/data-table_border-color","Linienfarbe"
"scss/title/block__block-title_background-color","Hintergrundfarbe"
"scss/title/block__block-title_color","Textfarbe"
"scss/title/breadcrumbs_display","Anzeige"
"scss/title/breadcrumbs_color","Textfarbe"
"scss/title/breadcrumbs__leaf_color","Textfarbe Aktiv"
"scss/title/breadcrumbs_font","Schriftart"
"scss/title/breadcrumbs_font-weight","Schriftstärke"
"scss/title/breadcrumbs_font-size","Schriftgröße"
"scss/title/breadcrumbs_text-transform","Schreibweise"
"scss/title/badge--sale_display","Sale Anzeige"
"scss/title/badge--sale_background-color","Sale Hintergrundfarbe"
"scss/title/badge--sale_color","Sale Textfarbe"
"scss/title/badge--new_display","Neu Anzeige"
"scss/title/badge--new_background-color","Neu Hintergrundfarbe"
"scss/title/badge--new_color","Neu Textfarbe"
"scss/title/badge_font","Schriftart"
"scss/title/badge_font-weight","Schriftstärke"
"scss/title/badge_font-size","Schriftgröße"
"scss/title/badge_text-transform","Schreibweise"
"scss/title/message--error__background-color","Hintergrundfarbe Fehler"
"scss/title/message--notice_background-color","Hintergrundfarbe Info"
"scss/title/message--success_background-color","Hintergrundfarbe Erfolg"
"scss/title/page-header_background-color","Hintergrundfarbe"
"scss/title/page-header_color","Textfarbe"
"scss/title/page-header_link_color","Textfarbe"
"scss/title/header_separator-line_border-color","Trennlinien"
"scss/title/mini-cart__link_color","Textfarbe Links"
"scss/title/mini-cart__link--hover_color","Mouseover Linkfarbe"
"scss/title/mini-cart__block-content_background-color","Hintergrundfarbe"
"scss/title/mini-cart__block-content_color","Textfarbe"
"scss/title/page-footer_background-color","Hintergrundfarbe"
"scss/title/page-footer_color","Textfarbe"
"scss/title/page-footer_link-color","Linkfarbe"
"scss/title/page-footer__link--hover_color","Mouseover Linkfarbe"
"scss/title/page-footer__marketing-box--shipping_color","Textfarbe Links"
"scss/title/page-footer__marketing-box--support_color","Textfarbe Mitte"
"scss/title/page-footer__marketing-box--newsletter_color","Textfarbe Newsletter"
"scss/title/nav--primary_background-color","Hintergrundfarbe"
"scss/title/nav--primary__level0-list-separator_color","Trennlinien"
"scss/title/nav--primary__level0-link_color","Textfarbe"
"scss/title/nav--primary__level0-link--hover_color","Mouseover Linkfarbe"
"scss/title/nav--primary__level0-link_font","Schriftart"
"scss/title/nav--primary__level0-link_font-weight","Schriftstärke"
"scss/title/nav--primary__level0-link_font-size","Schriftgröße"
"scss/title/nav--primary__level0-link_line-height","Zeilenhöhe"
"scss/title/nav--primary__level0-link_text-transform","Schreibweise"
"scss/title/nav--primary__level0-link_padding","Innerer Abstand vom Rand"
"scss/title/nav--primary__level0-link_padding-top","Oben & unten"
"scss/title/nav--primary__level0-link_padding-right","Rechts & links"
"scss/title/nav--primary__submenu_background-color","Hintergrundfarbe"
"scss/title/nav--primary__submenu_color","Textfarbe"
"scss/title/nav--primary__level1-link_font","Schriftart"
"scss/title/nav--primary__level1-link_font-weight","Schriftstärke"
"scss/title/nav--primary__level1-link_font-size","Schriftgröße"
"scss/title/nav--primary__level1-link_line-height","Zeilenhöhe"
"scss/title/nav--primary__level1-link_text-transform","Schreibweise"
"scss/title/nav--primary__ul-level0-link_padding","Innerer Abstand vom Rand"
"scss/title/nav--primary__level0-list_padding-global","Allgemein"
"scss/title/nav--primary__level2_background-color","Hintergrundfarbe"
"scss/title/nav--primary__level2-link_color","Textfarbe"
"scss/title/nav--primary__level2-link_font","Schriftart"
"scss/title/nav--primary__level2-link_font-weight","Schriftstärke"
"scss/title/nav--primary__level2-link_font-size","Schriftgröße"
"scss/title/nav--primary__level2-link_text-transform","Schreibweise"
"scss/title/nav--primary__level2-link_padding","Innerer Abstand vom Rand"
"scss/title/nav--primary__level2-link_padding-top","Oben & unten"
"scss/title/nav--primary__level2-link_padding-right","Rechts & links"
"scss/title/nav--primary__level3_background-color","Hintergrundfarbe"
"scss/title/nav--primary__level3-link_color","Textfarbe"
"scss/title/nav--primary__level3-link_font","Schriftart"
"scss/title/nav--primary__level3-link_font-weight","Schriftstärke"
"scss/title/nav--primary__level3-link_font-size","Schriftgröße"
"scss/title/nav--primary__level3-link_text-transform","Schreibweise"
"scss/title/nav--primary__level3-link_padding","Innerer Abstand vom Rand"
"scss/title/nav--primary__level3-link_padding-top","Oben & unten"
"scss/title/nav--primary__level3-link_padding-right","Rechts & links"
"scss/title/nav--primary__level4_background-color","Hintergrundfarbe"
"scss/title/nav--primary__level4-link_color","Textfarbe"
"scss/title/nav--primary__level4-link_font","Schriftart"
"scss/title/nav--primary__level4-link_font-weight","Schriftstärke"
"scss/title/nav--primary__level4-link_font-size","Schriftgröße"
"scss/title/nav--primary__level4-link_text-transform","Schreibweise"
"scss/title/nav--primary__level4-link_padding","Innerer Abstand vom Rand"
"scss/title/nav--primary__level4-link_padding-top","Oben & unten"
"scss/title/nav--primary__level4-link_padding-right","Rechts & links"
"scss/title/nav__button_background-color","Hintergrundfarbe"
"scss/title/nav__button_color","Textfarbe"
"scss/title/nav__button_font","Schriftart"
"scss/title/nav__button_font-weight","Schriftstärke"
"scss/title/nav__button_font-size","Schriftgröße"
"scss/title/nav__button_text-transform","Schreibweise"
"scss/title/button_background-color","Hintergrundfarbe"
"scss/title/button_color","Textfarbe"
"scss/title/button-action_background-color","Action Hintergrundfarbe"
"scss/title/button-action_color","Action Textfarbe"
"scss/title/add-to-links_color","Textfarbe"
"scss/title/add-to-links_font","Schriftart"
"scss/title/add-to-links_text-transform","Schreibweise"
"scss/title/add-to-links_font-size","Schriftgröße"
"scss/title/preloader__cicle-1_stroke","Farbe 1"
"scss/title/preloader__cicle-2_stroke","Farbe 2"
"scss/title/products-grid__item-inner_background-color","Hintergrundfarbe"
"scss/title/products-grid__product-box_text-align","Informations Ausrichtung - Gitteransicht"
"scss/title/products-list__product-box_text-align","Informations Ausrichtung - Listenansicht"
"scss/title/products-list__item__product-image_background-color","Hintergrundfarbe"
"scss/title/product-category__title_color","Textfarbe"
"scss/title/product-category__title_font","Schriftart"
"scss/title/product-category__title_font-size","Schriftgröße"
"scss/title/product-category__title_font-weight","Schriftstärke"
"scss/title/product-category__title_font-family","Schriftfamilie"
"scss/title/product-category__title_font-style","Schriftstil"
"scss/title/products-grid__item__product-name_color","Textfarbe"
"scss/title/products-grid__item__product-name_font","Schriftart"
"scss/title/products-grid__item__product-name_font-weight","Schriftstärke"
"scss/title/products-grid__item__product-name_font-style","Schriftstil"
"scss/title/products-grid__item__product-name_font-family","Schriftfamilie"
"scss/title/products-grid__item__product-name_font-size","Schriftgröße"
"scss/title/products-grid__item__product-name_line-height","Zeilenhöhe"
"scss/title/products-grid__item__product-name_text-transform","Schreibweise"
"scss/title/products-list__item__product-name_margin","Abstand"
"scss/title/products-list__item__product-name_margin-bottom","Unten"
"scss/title/products-grid__item__price_color","Farbe"
"scss/title/product_price_list_font","Schriftart"
"scss/title/products-grid__item__price_font-weight","Schriftstärke"
"scss/title/products-grid__item__price_font-style","Schriftstil"
"scss/title/products-grid__item__price_font-family","Schriftfamilie"
"scss/title/products-grid__item__price_font-size","Schriftgröße"
"scss/title/products-grid__item__price_line-height","Zeilenhöhe"
"scss/title/products-list__item__price_margin","Abstand"
"scss/title/products-list__item__price_margin-bottom","Unten"
"scss/title/products-grid__item__characteristics_color","Farbe"
"scss/title/products-list__item__actions_margin","Abstand"
"scss/title/products-list__item__actions_margin-top","Oben"
"scss/title/product-view__product-image_background-color","Hintergrundfarbe"
"scss/title/product-view__product-name_color","Textfarbe"
"scss/title/product_title_font","Schriftart"
"scss/title/product-view__product-name_font-family","Schriftfamilie"
"scss/title/product-view__product-name_font-weight","Schriftstärke"
"scss/title/product-view__product-name_font-size","Schriftgröße"
"scss/title/product-view__product-name_font-style","Schriftstil"
"scss/title/product-view__product-name_line-height","Zeilenhöhe"
"scss/title/product-view__product-name_text-transform","Schreibweise"
"scss/title/product-view__price_color","Farbe"
"scss/title/product_price_font","Schriftart"
"scss/title/product-view__price_font-family","Schriftfamilie"
"scss/title/product-view__price_font-weight","Schriftstärke"
"scss/title/product-view__price_font-size","Schriftgröße"
"scss/title/product-view__price_font-style","Schriftstil"
"scss/title/product-view__price_line-height","Zeilenhöhe"
"scss/title/product-view__add-to-cart__button_background-color","Hintergrundfarbe"
"scss/title/product-view__add-to-cart__button_color","Textfarbe"
"scss/title/product-view__add-to-cart__button_font","Schriftart"
"scss/title/product-view__add-to-cart__button_font-weight","Schriftstärke"
"scss/title/product-view__add-to-cart__button_font-size","Schriftgröße"
"scss/title/product-view__add-to-cart__button_text-transform","Schreibweise"
"scss/title/product-view__product-collateral__list__item-active_background-color","Aktiv Hintergrundfarbe"
"scss/title/product-view__product-collateral__list__item_color","Textfarbe"
"scss/title/product-view__product-collateral__list__item-active_color","Textfarbe Aktiv"
"scss/title/product-view__availability_display","Anzeige"
"scss/title/product-view__availability__in-stock_color","Farbe ""Auf Lager"""
"scss/title/product-view__availability__out-of-stock_color","Farbe ""Nicht auf Lager"""
"scss/title/product-view__availability_font","Schriftart"
"scss/title/product-view__availability__font-weight","Schriftstärke"
"scss/title/product-view__availability__font-size","Schriftgröße"
"scss/title/product-view__availability_text-transform","Schreibweise"
"scss/title/product-view__product-options__required_color","Textfarbe"
"scss/title/product-view__product-options__required_font","Schriftart"
"scss/title/product-view__product-options__required_text-transform","Schreibweise"
"scss/title/product-view__product-options__required_font-size","Schriftgröße"
"scss/title/product-view__sku_display","Artikelnummer Anzeige"
"scss/title/products-grid__item__tax-details_display","Steuer Anzeige"
"scss/title/product-view__add-to-cart__input_display","Anzeige"
"scss/title/product-view__product-shop__breadcrumbs_display","Anzeige"
"scss/title/cart-table_background-color","Hintergrundfarbe"
"scss/title/cart-table__product-image_background-color","Hintergrundfarbe"
"scss/title/cart-table__product-name_color","Textfarbe"
"scss/title/cart-table__product-name_font","Schriftart"
"scss/title/cart-table__product-name_font-weight","Schriftstärke"
"scss/title/cart-table__product-name_font-size","Schriftgröße"
"scss/title/cart-table__product-price_color","Farbe"
"scss/title/cart-table__product-price_font","Schriftart"
"scss/title/cart-table__product-price_font-weight","Schriftstärke"
"scss/title/cart-table__product-price_font-size","Schriftgröße"
"scss/title/cart-table__item-options_color","Textfarbe"
"scss/title/cart-table__item-options_font","Schriftart"
"scss/title/cart-table__item-options_font-size","Schriftgröße"
"scss/title/cart-table__product-sku_display","Artikelnummer Anzeige"
"scss/title/cart-table__sku-label_color","Textfarbe"
"scss/title/cart-table__sku-label_font","Schriftart"
"scss/title/cart-table__sku-label_font-size","Schriftgröße"
"scss/title/cart__btn-checkout_background-color","Hintergrundfarbe"
"scss/title/cart__btn-checkout_color","Textfarbe"
"scss/title/cart__discount__button_background-color","Hintergrundfarbe"
"scss/title/cart__discount__button_color","Textfarbe"
"scss/title/cart__cart-totals__table_background-color","Hintergrundfarbe"
"scss/title/cart__cart-totals__table_color","Textfarbe"
"scss/title/cart__cart-totals__total_color","Textfarbe der Gesamtsumme"
"scss/title/checkout-onepage__step-title_color","Textfarbe"
"scss/title/checkout-onepage__step-title_active_color","Textfarbe Aktiv"
"scss/title/checkout-onepage__step-title_border-bottom-color","Linienfarbe"
"scss/title/checkout-onepage__step-title_font","Schriftart"
"scss/title/checkout-onepage__step-title_font-weight","Schriftstärke"
"scss/title/checkout-onepage__step-title_font-size","Schriftgröße"
"scss/title/checkout-onepage__step-title_text-transform","Schreibweise"
"scss/title/checkout-onepage__buttons_background-color","Hintergrundfarbe"
"scss/title/checkout-onepage__buttons_color","Textfarbe"
"scss/title/checkout-onepage__buttons_font","Schriftart"
"scss/title/checkout-onepage__buttons_font-weight","Schriftstärke"
"scss/title/checkout-onepage__buttons_font-size","Schriftgröße"
"scss/title/checkout-onepage__buttons_text-transform","Schreibweise"
"scss/title/checkout-onepage__progress-title_background-color","Hintergrundfarbe"
"scss/title/checkout-onepage__progress-title_color","Textfarbe"
"scss/title/checkout-onepage__progress-title_font","Schriftart"
"scss/title/checkout-onepage__progress-title_font-weight","Schriftstärke"
"scss/title/checkout-onepage__progress-title_font-size","Schriftgröße"
"scss/title/checkout-onepage__progress-title_text-transform","Schreibweise"
"scss/title/account__block-content__list_color","Textfarbe"
"scss/title/account__block-content__list__current_background-color","Aktiv Hintergrundfarbe"
"scss/title/account__block-content__list__current_color","Textfarbe Aktiv"
"scss/title/product-compare__item__product-image_background-color","Hintergrundfarbe"
"scss/description/google_fonts","Wähle die Google Schriftart, die du in deinem Shop nutzen möchtest"
"scss/description/color--primary","Eingesetzt für Farben, die nicht einzeln definiert werden, Button Hintergrundfarben und um weitere Farbstufen zu erzeugen"
"scss/description/color--secondary","Eingesetzt für: Hintergrund, Text der ersten Navigationsebene, Button-Text und um weitere Farbstufen zu erzeugen"
"scss/description/color--third","Genutzt als Hintergrund für Aktions Buttons, Warenkorb Artikelzähler, Verfügbarkeit ""Auf Lager"", Links und für weitere Fraben"
"scss/description/color--fourth","Erzeugt weitere Farbstufen"
"scss/description/color--fifth",""
"scss/description/page_background-color","Hintergrundfarbe jeder Seite"
"scss/description/page_color","Textfarbe auf jeder Seite (wo Textfarbe nicht separat gesteuert wird)"
"scss/description/page-container_background-color","Hintergrundfarbe des Inhaltsbereichs auf jeder Seite"
"scss/description/font_base","Generelle Schriftart, eingesetzt für alle Bereiche, in denen Schriftart nicht einzeln definiert wird."
"scss/description/font-weight","Generelle Schriftstärke"
"scss/description/font-style","Genereller Schriftstil"
"scss/description/font-family-base","Generelle Schriftfamilie"
"scss/description/font-size","Generelle Schriftgröße"
"scss/description/line-height","Generelle Zeilenhöhe"
"scss/description/page-main_background-color","Hintergrundfarbe des Inhaltsbereichs außer Header und Footer"
"scss/description/page-main_color","Textfarbe des Inhaltsbereichs (wo nicht separat gesteuert) außer Header und Footer"
