"%s file is not uploaded ok. Please try again!","%s file is not uploaded ok. Please try again!"
"%s file type is not allowed. Allowed file types: %s.","%s file type is not allowed. Allowed file types: %s."
"%s is not valid.","%s is not valid."
"%s saved successfully. %s","%s saved successfully. %s"
"%s upload error!","%s upload error!"
"%s upload successfully.","%s upload successfully."
"Advanced Customise Design","Advanced Customise Design"
"Auto","Auto"
"capitalize","capitalize"
"Categories Menu","Categories Menu"
"Change template","Change template"
"Clear Grunt Log File","Clear Grunt Log File"
"Customise Design","Customise Design"
"Customise Layout","Customise Layout"
"Default Theme","Default Theme"
"Do you really want to clear the Grunt log files?","Do you really want to clear the Grunt log files?"
"Do you really want to reset the image? Previous image will be deleted!","Do you really want to reset the image? Previous image will be deleted!"
"Do you really want to switch to advanced mode?","Do you really want to switch to advanced mode?"
"Do you really want to switch to simple mode?","Do you really want to switch to simple mode?"
"Enter value","Enter value"
"Error occurred while resetting image %s to %s. Please try again later.","Error occurred while resetting image %s to %s. Please try again later."
"Final CSS","Final CSS"
"Final CSS cannot be saved.","Final CSS cannot be saved."
"Final CSS saved successfully.","Final CSS saved successfully."
"Grunt Images Logs","Grunt Images Logs"
"Grunt images logs file cleared!","Grunt images logs file cleared!"
"Grunt images logs file doesn't exist or is not writable!","Grunt images logs file doesn't exist or is not writable!"
"Grunt images logs file doesn't exist or is not writable!","Grunt images logs file doesn't exist or is not writable!"
"Grunt Logs","Grunt Logs"
"Grunt logs file cleared!","Grunt logs file cleared!"
"Grunt logs file doesn't exist or is not writable!","Grunt logs file doesn't exist or is not writable!"
"Grunt logs file doesn't exist or is not writable!","Grunt logs file doesn't exist or is not writable!"
"Image %s does not exist in default theme folder (%s).","Image %s does not exist in default theme folder (%s)."
"Image %s successfully restored to %s.","Image %s successfully restored to %s."
"Images","Images"
"inherit","inherit"
"Inherit from","Inherit from"
"It was restored to %s.","It was restored to %s."
"Layout Options","Layout Options"
"Logs","Logs"
"lowercase","lowercase"
"No Grunt logs file is set or the file doesn't exist","No Grunt logs file is set or the file doesn't exist"
"No Scss variable definition in file.","No Scss variable definition in file."
"No specification CSS file is set on the default theme.","No specification CSS file is set on the default theme."
"No specification Layout file is set on the default theme.","No specification Layout file is set on the default theme."
"No specification Scss file is set on the default theme.","No specification Scss file is set on the default theme."
"Read details","Read details"
"Reset to default","Reset to default"
"Scss_Variable_Border_Style","Style"
"Scss_Variable_Border_Width","Width"
"Scss_Variable_Font_Family","Style"
"Scss_Variable_Font_Line_Height","Line Height"
"Scss_Variable_Font_Size","Size"
"Scss_Variable_Font_Style","Style"
"Scss_Variable_Font_Text_Decoration","Text Decoration"
"Scss_Variable_Font_Text_Transform","Text Transform"
"Scss_Variable_Font_Weight","Font Weight"
"Scss_Variable_Margin_Bottom","Bottom"
"Scss_Variable_Margin_Left","Left"
"Scss_Variable_Margin_Right","Right"
"Scss_Variable_Margin_Top","Top"
"Scss_Variable_Padding_Bottom","Bottom"
"Scss_Variable_Padding_Left","Left"
"Scss_Variable_Padding_Right","Right"
"Scss_Variable_Padding_Top","Top"
"Scss_Variable_Size_Width","Width"
"Scss_Variable_Size_Height","Height"
"Styling","Styling"
"Switch to Advanced Mode","Switch to Advanced Mode"
"Switch to Simple Mode","Switch to Simple Mode"
"Template","Template"
"Uploaded image %s is too small for dimensions %sx.","Uploaded image %s is too small for dimensions %sx."
"Uploaded image: cannot determine uploaded image size.","Uploaded image: cannot determine uploaded image size."
"View Images Log File","View Images Log File"
"View Log File","View Log File"
"Your CSS code here","Your CSS code here"
"Your layout and color settings will be overwritten by the template. Do you really want to lose your settings?","Your layout and color settings will be overwritten by the template. Do you really want to lose your settings?"
"Export/Import","Export/Import"
"layout/title/product_list_filters_heigth","Set height for filters"
"layout/title/product_list_show_empty_reviews","Show empty reviews"
