"image/title/page_favicon","Favicon"
"image/title/page_brand_logo","Brand Logo"
"image/title/page_brand_logo_email","Brand Logo Email"
"image/title/page_background-image","Page Background"
"image/title/page-footer__marketing-box--shipping__before","Footer Marketing Box Left"
"image/title/page-footer__marketing-box--support__before","Footer Marketing Box Middle"
"image/title/page-footer__marketing-box--newsletter__before","Footer Marketing Box Newsletter"
"image/title/add-to-links__wishlist_background-image","Wishlist Icon"
"image/title/add-to-links__compare_background-image","Compare Icon"
"image/title/mini-cart__link__after","Mini-Cart Icon"
"image/title/mini-cart__link--hover__after","Mini-Cart Icon on Hover"
"image/title/mini-search__button_background-image","Mini-Search Icon"
"image/title/mini-search__button--hover_background-image","Mini-Search Icon on Hover"
"image/title/mini-profile__link_background-image","Mini-Profile Icon"
"image/title/mini-wishlist__button_background-image","Wishlist Icon"
"image/title/mini-wishlist__button--hover_background-image","Wishlist Icon on Hover"
"image/title/toolbar__view-mode__grid_background-image","Toolbar Grid View Icon"
"image/title/toolbar__view-mode__grid--hover_background-image","Toolbar Grid View Active Icon"
"image/title/toolbar__view-mode__list_background-image","Toolbar List View Icon"
"image/title/toolbar__view-mode__list--hover_background-image","Toolbar List View Active Icon"
"image/title/block-compare__placeholder_background-image","Mini-Compare Placeholder Icon"
"image/title/list--social__item--facebook__link_background-image","Social List - Facebook Icon"
"image/title/list--social__item--facebook__link--hover_background-image","Social List - Facebook Icon on Hover"
"image/title/list--social__item--twitter__link_background-image","Social List - Twitter Icon"
"image/title/list--social__item--twitter__link--hover_background-image","Social List - Twitter Icon on Hover"
"image/title/list--social__item--google__link_background-image","Social List - Google+ Icon"
"image/title/list--social__item--google__link--hover_background-image","Social List - Google+ Icon on Hover"
"image/title/list--social__item--instagram__link_background-image","Social List - Instagram Icon"
"image/title/list--social__item--instagram__link--hover_background-image","Social List - Instagram Icon on Hover"
"image/title/list--social__item--linkedin__link_background-image","Social List - Linkedin Icon"
"image/title/list--social__item--linkedin__link--hover_background-image","Social List - Linkedin Icon on Hover"
"image/title/list--social__item--pinterest__link_background-image","Social List - Pinterest Icon"
"image/title/list--social__item--pinterest__link--hover_background-image","Social List - Pinterest Icon on Hover"
"image/title/list--social__item--tiktok__link_background-image","Social List - TikTok Icon"
"image/title/list--social__item--tiktok__link--hover_background-image","Social List - TikTok Icon on Hover"
"image/title/list--social__item--youtube__link_background-image","Social List - Youtube Icon"
"image/title/list--social__item--youtube__link--hover_background-image","Social List - Youtube Icon on Hover"
"image/title/list--social__item--flickr__link_background-image","Social List - Flickr Icon"
"image/title/list--social__item--flickr__link--hover_background-image","Social List - Flickr Icon on Hover"
"image/title/og-image","Social Sharing OG"
"image/description/page_favicon","Recommended size: 256px x 256px"
"image/description/page_brand_logo","Displayed in header (all devices)."
"image/description/page_brand_logo_email","Displayed in e-mails. Only GIF format is supported."
"image/description/page_background-image","Displayed as background on the entire website (desktop devices)"
"image/description/page-footer__marketing-box--shipping__before","Displayed at the bottom of the page in Marketing Box left section (all devices)"
"image/description/page-footer__marketing-box--support__before","Displayed at the bottom of the page in Marketing Box middle section (all devices)"
"image/description/page-footer__marketing-box--newsletter__before","Displayed at the bottom of the page in Marketing Box Newsletter section (all devices)"
"image/description/add-to-links__wishlist_background-image","Displayed on Product List and Product Details pages (all devices)"
"image/description/add-to-links__compare_background-image","Displayed on Product List and Product Details pages (all devices)"
"image/description/mini-cart__link__after","Displayed in header (all devices)"
"image/description/mini-cart__link--hover__after","Displayed in header (all devices)"
"image/description/mini-search__button_background-image","Displayed in header (all devices)"
