"scss/title/account__block-content__list__current_background-color","Aktywny kolor tła"
"scss/title/account__block-content__list__current_color","Aktywny kolor tekstu"
"scss/title/account__block-content__list_color","Kolor tekstu"
"scss/title/add-to-links_color","Kolor tekstu"
"scss/title/add-to-links_font","Czcionka"
"scss/title/badge_font","Czcionka"
"scss/title/badge--new_background-color","Nowy kolor tła"
"scss/title/badge--new_color","Nowy kolor tekstu"
"scss/title/badge--new_display","Nowe wyświetlenie"
"scss/title/badge--sale_background-color","Kolor tła sprzedaży"
"scss/title/badge--sale_color","Kolor tekstu sprzedaży"
"scss/title/badge--sale_display","Wyświetlanie sprzedaży"
"scss/title/block__block-title_background-color","Kolor tła"
"scss/title/block__block-title_color","Kolor tekstu"
"scss/title/block-layered-nav__title_color","Kolor tytułu"
"scss/title/block-layered-nav__title_font","Czcionka"
"scss/title/breadcrumbs__leaf_color","Aktywny kolor tekstu"
"scss/title/breadcrumbs_color","Color tekstu"
"scss/title/breadcrumbs_display","Wyświetlanie"
"scss/title/breadcrumbs_font","Czcionka"
"scss/title/button_background-color","Kolor tła"
"scss/title/button_color","Kolor tekstu"
"scss/title/button-action_background-color","Kolor tła akcji"
"scss/title/button-action_color","Kolor tekstu akcji"
"scss/title/cart__btn-checkout_background-color","Kolor tła"
"scss/title/cart__btn-checkout_color","Kolor tekstu"
"scss/title/cart__cart-totals__table_background-color","Kolor tła"
"scss/title/cart__cart-totals__table_color","Kolor tekstu"
"scss/title/cart__cart-totals__total_color","Grand Total kolor tekstu"
"scss/title/cart__discount__button_background-color","Kolor tła"
"scss/title/cart__discount__button_color","Kolor tekstu"
"scss/title/cart-table__item-options_color","Kolor tekstu"
"scss/title/cart-table__item-options_font","Czcionka"
"scss/title/cart-table__product-image_background-color","Kolor tła"
"scss/title/cart-table__product-name_color","Kolor tekstu"
"scss/title/cart-table__product-name_font","Czcionka"
"scss/title/cart-table__product-price_color","Kolor "
"scss/title/cart-table__product-price_font","Czcionka"
"scss/title/cart-table__product-sku_display","Wyświetlenie SKU"
"scss/title/cart-table__sku-label_color","Kolor tekstu"
"scss/title/cart-table__sku-label_font","Czcionka"
"scss/title/cart-table_background-color","Kolor tła"
"scss/fieldset/step_background","Kolor tła step"
"scss/title/checkout-onepage_step_background-color","Kolor tła"
"scss/title/checkout-onepage__buttons_background-color","Kolor tła"
"scss/title/checkout-onepage__buttons_color","Kolor tekstu"
"scss/title/checkout-onepage__buttons_font","Czcionka"
"scss/title/checkout-onepage__progress-title_background-color","Kolor tła"
"scss/title/checkout-onepage__progress-title_color","Kolor tekstu"
"scss/title/checkout-onepage__progress-title_font","Czcionka"
"scss/title/checkout-onepage__step-title_active_color","Kolor tekstu aktywny"
"scss/title/checkout-onepage__step-title_border","Grubość granicy"
"scss/title/checkout-onepage__step-title_border-bottom-color","Kolor dolnej granicy"
"scss/title/checkout-onepage__step-title_color","Kolor tekstu"
"scss/title/checkout-onepage__step-title_font","Czcionka"
"scss/title/color--fifth","Piąty"
"scss/title/color--fourth","Czwarty"
"scss/title/color--primary","Pierwszy"
"scss/title/color--secondary","Drugi"
"scss/title/color--third","Trzeci"
"scss/title/data-table__td_background-color","Kolor tła Body"
"scss/title/data-table__td_color","Kolor tekstu body"
