"scss/title/account__block-content__list__current_background-color","Culoare fundal link stare activă bloc lateral"
"scss/title/account__block-content__list__current_color","Culoare link activ bloc lateral"
"scss/title/account__block-content__list_color","Culoare text link meniu bloc lateral"
"scss/title/add-to-links_color","Culoare text"
"scss/title/add-to-links_font","Font"
"scss/title/badge_font","Font"
"scss/title/badge--new_background-color","Culoare fundal ""Nou"""
"scss/title/badge--new_color","Culoare text ""Nou"""
"scss/title/badge--new_display","Afişare etichetă ""Nou"""
"scss/title/badge--sale_background-color","Culoare fundal ""Reducere"""
"scss/title/badge--sale_color","Culoare text ""Reducere"""
"scss/title/badge--sale_display","Afişare ""Reducere"""
"scss/title/block__block-title_background-color","Culoare fundal"
"scss/title/block__block-title_color","Culoare text"
"scss/title/block-layered-nav__title_color","Culoare titlu"
"scss/title/block-layered-nav__title_font","Font"
"scss/title/breadcrumbs__leaf_color","Culoare link activ"
"scss/title/breadcrumbs_color","Culoare text"
"scss/title/breadcrumbs_display","Afişare"
"scss/title/breadcrumbs_font","Font"
"scss/title/button_background-color","Culoare fundal"
"scss/title/button_color","Culoare text"
"scss/title/button-action_background-color","Culoare fundal la acţiune"
"scss/title/button-action_color","Culoare text la acţiune"
"scss/title/cart__btn-checkout_background-color","Culoare fundal"
"scss/title/cart__btn-checkout_color","Culoare text"
"scss/title/cart__cart-totals__table_background-color","Culoare fundal"
"scss/title/cart__cart-totals__table_color","Culoare text"
"scss/title/cart__cart-totals__total_color","Culoare text Total General"
"scss/title/cart__discount__button_background-color","Culoare fundal"
"scss/title/cart__discount__button_color","Culoare text"
"scss/title/cart-table__item-options_color","Culoare text"
"scss/title/cart-table__item-options_font","Font"
"scss/title/cart-table__product-image_background-color","Culoare fundal"
"scss/title/cart-table__product-name_color","Culoare text"
"scss/title/cart-table__product-name_font","Font"
"scss/title/cart-table__product-price_color","Culoare"
"scss/title/cart-table__product-price_font","Font"
"scss/title/cart-table__product-sku_display","Afişare SKU"
"scss/title/cart-table__sku-label_color","Culoare text"
"scss/title/cart-table__sku-label_font","Font"
"scss/title/cart-table_background-color","Culoare fundal"
"scss/fieldset/step_background","Culoare fundal pas finalizare comanda"
"scss/title/checkout-onepage_step_background-color","Culoare fundal"
"scss/title/checkout-onepage__buttons_background-color","Culoare fundal"
"scss/title/checkout-onepage__buttons_color","Culoare text"
"scss/title/checkout-onepage__buttons_font","Font"
"scss/title/checkout-onepage__progress-title_background-color","Culoare fundal"
"scss/title/checkout-onepage__progress-title_color","Culoare text"
"scss/title/checkout-onepage__progress-title_font","Font"
"scss/title/checkout-onepage__step-title_active_color","Culoare link activ"
"scss/title/checkout-onepage__step-title_border","Grosime border"
"scss/title/checkout-onepage__step-title_border-bottom-color","Culoare border de jos"
"scss/title/checkout-onepage__step-title_color","Culoare text"
"scss/title/checkout-onepage__step-title_font","Font"
"scss/title/color--fifth","Culoare 5"
"scss/title/color--fourth","Culoare 4"
"scss/title/color--primary","Culoare 1"
"scss/title/color--secondary","Culoare 2"
"scss/title/color--third","Culoare 3"
"scss/title/data-table__td_background-color","Culoare fundal conţinut"
"scss/title/data-table__td_color","Culoare text conţinut"
"scss/title/data-table__th_background-color","Culoare fundal header"
"scss/title/data-table__th_color","Culoare text în header"
"scss/title/data-table_border-color","Culoare border"
"scss/title/font_base","Font"
"scss/title/google_fonts","Fonturi Google"
"scss/title/header_separator-line_border-color","Culoare linie separatoare"
"scss/title/input-text_background-color","Culoare Fundal"
"scss/title/input-text_border","Border"
"scss/title/input-text_border-color","Culoare Border"
"scss/title/letter-spacing","Spaţiere litere"
"scss/title/message--error__background-color","Culoare fundal mesaj eroare"
"scss/title/message--notice_background-color","Culoare fundal mesaj notificare"
"scss/title/message--success_background-color","Culoare fundal mesaj succes"
"scss/title/mini-cart__block-content_background-color","Culoare fundal"
"scss/title/mini-cart__block-content_color","Culoare text"
"scss/title/mini-cart__link_color","Culoare link"
"scss/title/mini-cart__link--hover_color","Culoare la hover"
"scss/title/nav__button_background-color","Culoare fundal"
"scss/title/nav__button_color","Culoare text"
"scss/title/nav__button_font","Font"
"scss/title/nav--primary__level0-link_color","Culoare text"
"scss/title/nav--primary__level0-link_font","Font"
"scss/title/nav--primary__level0-link_padding","Spaţiere interioară articol"
"scss/title/nav--primary__level0-link_padding-right","Dreapta şi stânga"
"scss/title/nav--primary__level0-link_padding-top","Sus şi jos"
"scss/title/nav--primary__level0-link--hover_color","Culoare la hover"
"scss/title/nav--primary__level0-list_padding-global","General"
"scss/title/nav--primary__level0-list-separator_color","Culoare linie separatoare"
"scss/title/nav--primary__level1-link_font","Font"
"scss/title/nav--primary__level2_background-color","Culoare fundal"
"scss/title/nav--primary__level2-link_color","Culoare text"
"scss/title/nav--primary__level2-link_font","Font"
"scss/title/nav--primary__level2-link_padding","Spaţiere interioară articol"
"scss/title/nav--primary__level2-link_padding-right","Dreapta şi stânga"
"scss/title/nav--primary__level2-link_padding-top","Sus şi jos"
"scss/title/nav--primary__level3_background-color","Culoare fundal"
"scss/title/nav--primary__level3-link_color","Culoare text"
"scss/title/nav--primary__level3-link_font","Font"
"scss/title/nav--primary__level3-link_padding","Spaţiere interioară articol"
"scss/title/nav--primary__level3-link_padding-right","Dreapta şi stânga"
