"Free Shipping Remaining Cost","Free Shipping Remaining Cost"
"Basic","Basic"
"Enable Extension","Enable Extension"
"Yes","Yes"
"No","No"
"Enable extension on frontend.","Enable extension on frontend."
"Display","Display"
"Common","Common"
"Notification Text Cart Page","Notification Text Cart Page"
"The notification text which will be displayed on cart page. Please note that the ""%s"" will be replaced with the price, so you have to add it in the proper place within the text. You can use HTML tags also.","The notification text which will be displayed on cart page. Please note that the ""%s"" will be replaced with the price, so you have to add it in the proper place within the text. You can use HTML tags also."
"Show Tax Info","Show Tax Info"
"Enable to show tax information. For example: excl. or incl. tax in parentheses.","Enable to show tax information. For example: excl. or incl. tax in parentheses."
"Price and Tax Display","Price and Tax Display"
"Please select the tax information text to display after price. If automatic is selected the tax information text will be showed depends on the whole cart tax.","Please select the tax information text to display after price. If automatic is selected the tax information text will be showed depends on the whole cart tax."
"Sidebar","Sidebar"
"Show in Sidebar","Show in Sidebar"
"Enable to show free shipping information in sidebar automatically.","Enable to show free shipping information in sidebar automatically."
"Block Title","Block Title"
"The title of the sidebar's free shipping notification block.","The title of the sidebar's free shipping notification block."
"Notification Text for Block","Notification Text for Block"
"The notification text which will be displayed in the sidebar's free shipping notification block. Please note that the ""%s"" will be replaced with the price, so you have to add it in the proper place within the text. You can use HTML tags also.","The notification text which will be displayed in the sidebar's free shipping notification block. Please note that the ""%s"" will be replaced with the price, so you have to add it in the proper place within the text. You can use HTML tags also."
"Select Sidebar","Select Sidebar"
"Please select left or right sidebar where free shipping notification block will be shown automatically.","Please select left or right sidebar where free shipping notification block will be shown automatically."
"(excl. tax)","(excl. tax)"
"(incl. tax)","(incl. tax)"
"Free Shipping is disabled. Please <a href=""%s"">configure properly</a> Free Shipping before enable the extension.","Free Shipping is disabled. Please <a href=""%s"">configure properly</a> Free Shipping before enable the extension."
"Free Shipping minimum order amount is zero. Please <a href=""%s"">configure properly</a> Free Shipping before enable the extension.","Free Shipping minimum order amount is zero. Please <a href=""%s"">configure properly</a> Free Shipping before enable the extension."
"The notification text must include %s. Please correct it!","The notification text must include %s. Please correct it!"
"The notification text can not be empty. Please correct it!","The notification text can not be empty. Please correct it!"
"Left Sidebar","Left Sidebar"
"Right Sidebar","Right Sidebar"
"Show (excl. tax) after price","Show (excl. tax) after price"
"Show (incl. tax) after price","Show (incl. tax) after price"
"Show (excl. tax) or (incl. tax) after price automatically depends on store settings","Show (excl. tax) or (incl. tax) after price automatically depends on store settings"
"You need to add %s more to your cart, in order to use free shipping.","You need to add %s more to your cart, in order to use free shipping."
"Free Shipping Info","Free Shipping Info"
"Show if Cart is Empty","Show if Cart is Empty"
"Enable to show free shipping information in sidebar if cart is empty.","Enable to show free shipping information in sidebar if cart is empty."
