"Necessary","Necessary"
"Accept all","Accept all"
"More Details","More Details"
"General Settings","General Settings"
"Enable GDPR Cookies","Enable GDPR Cookies"
"Default Cookie Categories","Default Cookie Categories"
"Statistics","Statistics"
"Custom Cookie Categories","Custom Cookie Categories"
"Add Custom Cookie Categories","Add Custom Cookie Categories"
"Add Category","Add Category"
"Scripts","Scripts"
"Statistics Scripts Area","Statistics Scripts Area"
"Marketing Scripts Area","Marketing Scripts Area"
"Option","Option"
"Manage Pop-up details link","Manage Pop-up details link"
