"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Am descoperit că aveți deja un cont la magazinul nostru. Contul dvs. Google este acum conectat la contul dvs. de magazin."
"You have successfully logged in using your Google account.","V-ați conectat cu succes folosind contul Google."
"Your Google account is now connected to your store account. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Contul dvs. Google este acum conectat la contul dvs. de magazin. Acum vă puteți autentifica folosind butonul nostru Google Connect sau utilizând datele de autentificare ale contului pe care le veți primi la adresa dvs. de e-mail."
"Your Google account is already connected to one of our store accounts.","Contul dvs. Google este deja conectat la unul dintre conturile magazinului nostru."
"You have successfully disconnected your Google account from our store account.","Ați deconectat cu succes contul Google din contul magazinului nostru."
"Google Connect process aborted.","Procesul Google Connect a fost anulat."
"Sorry, could not retrieve your Google first name. Please try again.","Ne pare rău, nu puteți prelua prenumele din Google. Vă rugăm să încercați din nou."
"Sorry, could not retrieve your Google last name. Please try again.","Ne pare rău, nu puteți prelua numele din Google. Vă rugăm să încercați din nou."
"Sorry, "%s" error occured. Please try again.","Ne pare rău, a apărut eroarea „%s”. Vă rugăm să încercați din nou."
"Your Google account is now connected to your new user account at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Contul dvs. Google este acum conectat la noul dvs. cont de utilizator la magazinul nostru. Acum vă puteți autentifica folosind butonul nostru Google Connect sau folosind datele de autentificare ale contului pe care le veți primi la adresa dvs. de e-mail."
