1 Column,1 Kolumna
2 Columns,2 Kolumny
3 Columns,3 Kolumny
4 Columns,4 Kolumny
Add Widget,Dodaj Wid?et
Are you sure you want to delete this row?,Jeste? pewien ?e chcesz skasowa? ten rz?d?
Clear Content,Wyczy?? zawarto??
Delete this row,Usu? ten wiersz
Drag & drop to reorder layout,"Przeci?gnij i upu??, aby zmieni? kolejno?? uk?adu"
Edit Widget,Edytuj wid?et
Homepage Manager,Mened?er strony g?ównej
Insert row with four columns,Wstaw wiersz z czterema kolumnami
Insert row with one column,Wstaw wiersz z jedn? kolumn?
Insert row with three columns,Wstaw wiersz z trzema kolumnami
Insert row with two columns,Wstaw wiersz z dwoma kolumnami
