"Attention: Products informations will be updated acording to the feed. Any wrong information about the products will override the existing product data.","Atentie: Informatiile produselor din magazin vor fi updatate conform feed-ului URL. Orice eventuale informatii eronate legate de produse vor fi suprascrise peste informatii deja prezente in magazin."
"Error: Datafeed can not de downloaded/process","Error: Datafeed-ul nu a putut fi downloadat/procesat"
"Map Fields","Mapează câmpurile"
"Import/Export Profile","Import/Export Profil"
"Profile Settings","Setări Profil"
"Run Profile","Rulează Profil"
"Profile History","Istoric Profil"
"Profile Information","Informatii Profil"
"Name","Nume"
"Save Profile","Salvează profilul"
"Delete Profile","Ștergeți profilul"
"Save and Continue Edit","Salvați și continuați editarea"
"New Profile","Profil nou"
"Entity type","Tip de entitate"
"Entity type:","Tip de entitate:"
"Behavior","Comportament"
"Last Run Time","Ultima rulare"
"Products","Produse"
"Create Only","Doar Creare"
"Update Only","Doar Update"
"Create & Update","Creare & Update"
"Process Images","Procesează Imagini"
"Create Categories","Creare Categorii"
"Data Source:","Sursa datelor:"
"Upload File","Upload Fișier"
"Existing File","Fișier Existent"
"File name:","Nume de fișier:"
"Path:","Cale:"
"Data Format:","Format Fișier:"
"Select a file","Selectare fișier"
"Value Delimiter:","Delimitator"
"Enclose Values In:","Valoare Enclosure:"
"Entity XML Node Name:","Nume Nod XML"
" For XML files insert product node name. e.g. product, products, product_details"," Pentru fisierele XML introduceti numele nodului  ex. product, products, product_details"
"The profile you are trying to save no longer exists","Profilul pe care încercați să îl salvați nu mai există"
"Profile Name","Nume Profil"
"Entity Type","Tip Entitate"
"Result","Rezultat"
"Run At","Rulat la"
"(For Type Local Server need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","
(Pentru tipul Local Server trebuie să folosiți calea relativă pentru a instala var / export sau var / import, ex var/export, var/import, var/export/some/dir, var/import/some/dir)"
"Warning! Empty value can cause problems with CSV format.","Avertizare! Valoarea goală poate cauza probleme cu formatul CSV."
"For XML files insert product node name. e.g. product, products, product_details","Pentru fișierele XML introduceți numele nodului produsului. de exemplu. product, products, product_details"
"Remove comma symbol from price","Eliminați simbolul virgulă din preț"
"File Information","Informatii Fisier"
"File Data Information","Informatii DATA Fisier"
"Use Default Values","Utilizați valorile implicite"
"Default Store:","Vitrina Implicita:"
"Default Website","Website Implicit"
"Default Attribute Set Id","Setul de Atribute Implicit"
"Default Product Type","Tipul Implicit de Produs"
"Default Status","Status Implicit"
"Default Is In Stock","Este In Stoc Implicit"
"Default Visibility","Vizibilitare Implicită"
"Default Tax Class Id","Clasa Taxare Implicită"
"Default Weight","Greutate Implicită"
"Category Separator","Separator categorie"
"Gallery Image Separator","Separator Galerie Imagini"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produsele vor fi adăugate / actualizate la acest magazin dacă coloana Store este necompletată sau lipsește în fișierul de import.)"
"Alternative Boolean Attribute TRUE Values","Atribut Alternativ pentru Valorile ADEVARATE"
"Alternative Boolean Attribute FALSE Values","Atribut Alternativ pentru Valorile FALSE"
"(Add multiple values separated by comma like: yes,da,in stock)","(Adăugați mai multe valori separate prin virgulă ca: yes,da,in stock)"
"(Add multiple values separated by comma like: no,nu,out of stock)","(Adăugați mai multe valori separate prin virgulă ca: no,nu,out of stock)"
"Automatically Run Profile","Pornește automat profilul"
"Run Frequency","Frecventa Rulare"
"Last Run:","Ultima Rulare:"
"In File:","In Fisier"
"In Database:","In baza de date"
"Transformation:","Transformare:"
"Add Field Mapping","Adaugare Camp pentru Mapare"
"Remove","Stergere"
"Field Mapping (not mapped attributes will be ignored)","Maparea câmpurilor (atributele nemapate vor fi ignorate)"
"Test Profile Data","Testare Profil"
"Run Profile Import","Rulare Profil Import"
"Force Import Profile Images","Importare Fortata Profil Imagini"
"Please make sure that your changes were saved before running the profile.","Asigurați-vă că modificările dvs. au fost salvate înainte de a rula profilul."
"Reset Filter","Resetare Filtru"
"Reset","Resetare"
"Search","Cautare"
"Back","Inapoi"
"Multiplier:","Multiplicator:"
" %s images need to be processed."," %s imagini trebuie procesate."
"If you choose ""YES"" you have to set behavior to ""Update Only"" or ""Create & Update"", otherwise the images will not be processed.","Daca alegeti ""DA"" trebuie setat comportamentul ca ""Doar Update"" sau ""Creare & Update"", in caz contrar imaginile nu vor fi procesate."
"Duplicate Images","Imagini Dublate"
"If an image is assigned to at least two products set this option to YES.","Daca o imagine este asignata la cel putin doua produse setati aceasta optiune pe DA."
"No. of Imported Products","Numar de produse importate"
"No. of Updated Products","Numar de produse updatate"
"Missing Images","Imagini lipsa"
"Skipped Rows","Randurile neimportate/sarite"
"Remove products from old categories","Eliminare produse din vechile categorii"
"Root Category in which the categories are created:","Categoria radacina in care sa se creeze categoriile:"
"Email When Finished:","Unde se trimite email cand rularea profilului e finalizata:"
"The importer profile has been saved.","Profilul de import a fost salvat."
"The importer profile has been deleted.","Profilul de import a fost sters."
"New file structure for configurable products:","Folositi noua structura de fisier pentru produse configurabile:"
"Only for Data Source of type FTP/SFTP","Numai pentru Sursa Datelor de tip FTP/SFTP"
"FTP/SFTP Server","Server FTP/SFTP"
"FTP/SFTP Username","Nume Utilizator FTP/SFTP"
"FTP/SFTP Password","Parola FTP/SFTP"
"FTP/SFTP Filepath","Cale Fisier FTP/SFTP"
"eg. 127.0.0.1","ex. 127.0.0.1"
"File path from FTP/SFTP. eg. products/items.csv","Cale fisier pe server FTP/SFTP. ex. products/items.csv"
