"Actions","Acciones"
"An error occurred while marking notification as read.","Error al marcar notificación como leido."
"An error occurred while marking the messages as read.","Error al marcar los mensajes como leídos."
"An error occurred while removing messages.","Error al eliminar los mensajes."
"An error occurred while removing the message.","Error al eliminar el mensaje."
"Are you sure?","¿Está seguro?"
"Date Added","Fecha creación"
"Last Update","Última Actualización"
"Mark as Read","Marcar como leído"
"Mark as read","Marcar como leído"
"Message","Mensaje"
"Messages Inbox","Bandeja de entrada"
"Notifications","Notificaciones"
"Please select messages.","Seleccione mensajes."
"Read Details","Leer detalles"
"Remove","Eliminar"
"Severity","Importancia"
"Show List","Mostrar lista"
"Show Toolbar","Mostrar barra de herramientas"
"The message has been marked as read.","El mensaje se ha marcado como leído."
"The message has been removed.","El mensaje ha sido eliminado."
"Total of %d record(s) have been marked as read.","Un total de %d registro(s) se han marcado como leídos."
"Total of %d record(s) have been removed.","Se ha eliminado un total de %d registro(s)."
"Unable to proceed. Please, try again.","No se puede proceder. Por favor, inténtelo de nuevo."
"Update Frequency","Frecuencia de actualización"
"Use HTTPS to Get Feed","Utilizar HTTPS para obtener el feed"
"Wrong message type","Tipo de mensaje incorrecto"
"critical","crítico"
"major","mayor"
"minor","menor"
"notice","aviso"
