"--Please Select--","--Por favor, seleccione--"
"API Login ID","ID de inicio de sesión en API"
"Accepted Currency","Moneda aceptada"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Cantidad de %s aprobada por puerta de enlace del pago. ID de transacción: ""%s""."
"Authorize.net Direct Post","Post directo de Authorize.net"
"Card Verification Number","Número de verificación de tarjeta"
"Card Verification Number Visual Reference","Referencia visual de número de verificación de tarjeta"
"Close","Cerrar"
"Credit Card Information","Información de tarjeta de crédito"
"Credit Card Number","Número de la tarjeta de crédito"
"Credit Card Type","Tipo de la tarjeta de crédito"
"Credit Card Types","Tipos de tarjeta de crédito"
"Credit Card Verification","Verificación de tarjeta de crédito"
"Debug","Depurar"
"Email Customer","Enviar mensaje de correo electrónico al cliente"
"Enabled","Habilitado"
"Expiration Date","Fecha de caducidad"
"Gateway URL","URL de la pasarela"
"Maximum Order Total","Total máximo de pedido"
"Merchant MD5","MD5 del Vendedor"
"Merchant's Email","Correo electrónico del vendedor"
"Minimum Order Total","Total mínimo de pedido"
"New Order Status","Estado del Nuevo Pedido"
"Order saving error: %s","Error al guardar el pedido: %s"
"Payment Action","Acción de pago"
"Payment authorization error.","Error de autorización de pago."
"Payment authorization error. Transacion id is empty.","Error de autorización de pago. Id de Transacción está vacío."
"Payment error. Order was not found.","Error de pago. No se encontró el pedido."
"Payment error. Paid amount doesn\'t match the order amount.","Error de pago. La cantidad pagada no coincide con la cantidad del pedido."
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Please, choose payment method","Por favor, selecciona un método de pago"
"Response hash validation failed. Transaction declined.","Error de la validación de respuesta de hash. Transacción rechazada."
"Sort Order","Ordenar por"
"Test Mode","Modo de prueba"
"The order has been created.","El pedido ha sido creado."
"There was an error processing your order. Please contact us or try again later.","Se produjo un error al procesar su pedido. Contacte con nosotros o inténtelo más tarde."
"Title","Título"
"Transaction Key","Clave de transacción"
"What is this?","¿Qué es esto?"
"You will be required to enter your payment details before you place an order.","Se le solicitarán los detalles de su pago antes de realizar un pedido."
