"%1$s incl tax.","%1$s incluyendo impuestos."
"* Required Fields","* Campos obligatorios"
"-- Select --","-- Selecciona --"
"Add New Option","Agregar nueva opcion"
"Add Selection","Añadir selección"
"As Low as","Tan bajo como"
"As low as","Tan bajo como"
"Bundle Items","Artículos en lote"
"Bundle Product","Producto en lote"
"Buy %1$s","Comprar %1$s"
"Buy %1$s for","Comprar %1$s por"
"Buy %1$s for %2$s","Compre %1$s a %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s a %2$s (%3$s incluyendo impuestos) cada uno"
"Buy %1$s for %2$s each","Compre %1$s a %2$s cada uno"
"Buy %1$s with %2$s discount each","Compra %1$s con %2$s de descuento cada uno"
"Catalog Product View (Bundle)","Vista de artículo en catálogo (en lote)"
"Checkbox","Casilla de verificación"
"Choose a selection...","Elegir una opción..."
"Click for price","Clic para precio"
"Close","Cerrar"
"Default","Predeterminado"
"Default Qty","Cantidad por defecto"
"Default Title","Título Predeterminado"
"Drop-down","Menú desplegable"
"Dynamic","Dinámico"
"Excl. Tax","Impuestos no incluídos"
"Excl. Tax:","Impuestos no incluídos:"
"Fixed","Fijo"
"From","Desde"
"From:","Desde:"
"Gift Message","Mensaje de regalo"
"Incl. Tax","Impuestos incl."
"Incl. Tax:","Impuestos incl.:"
"Input Type","Tipo de entrada"
"Is Required","Es requerido"
"Message:","Mensaje:"
"Multiple Select","Selección múltiple"
"N/A","Nicht verfügbar"
"No options of this product are available.","No hay opciones disponibles para este producto."
"None","Ninguno"
"Percent","Porcentaje"
"Percent Discount","Porcentaje de descuento"
"Please Select Products to Add","Por favor, seleccione artículos a añadir"
"Please enter a number greater 0 in this field.","Introduce un número mayor que 0 en este campo."
"Please enter search conditions to view products.","Introduce las condiciones de búsqueda para ver los productos."
"Please select options for product.","Por favor, seleccione las opciones para el producto."
"Please specify product option(s).","Por favor, especifique la(s) opción(es) del producto."
"Position","Posición"
"Price Range","Rango de precios"
"Price Type","Tipo de precio"
"Price as configured","Precio configurado"
"Qty:","Cantidad:"
"Radio Buttons","Botones de Radio"
"Required options are not selected.","No se seleccionan las opciones necesarias."
"SKU","SKU"
"Selected required options are not available.","Las opciones necesarias seleccionadas no están disponibles."
"Separately","Por separado"
"Ship Bundle Items","Enviar artículos en lote"
"Shipment","Envío"
"Store View Title","Título de vista de tienda"
"There is no defined renderer for ""%s"" option type.","No hay renderizador definido para el tipo de opción ""%s""."
"This product is also part of bundle(s)","Este producto también forma parte de lote(s)"
"To","A"
"To:","A:"
"Together","Juntos"
"Total incl. Tax: %1$s","Total impuestos incl.: %1$s"
"Use Default Value","Usar valor por defecto"
"User Defined Qty","Cantidad Definida por el Usuario"
"and","y"
"each","cada"
"save","guardar"
