"A block identifier with the same properties already exists in the selected store.","Un identificador de bloque con las mismas propiedades ya existe en la tienda seleccionada."
"A directory with the same name already exists. Please try another folder name.","Ya existe un directorio con el mismo nombre. Por favor intenta otro nombre de carpeta."
"A page URL key for specified store already exists.","La clave URL para la tienda especificada ya existe."
"Action","Acción"
"Add New Block","Añadir Nuevo Bloque"
"Add New Page","Añadir nueva página"
"All Countries","Todos los países"
"An error occurred while saving the page.","Se ha producido un error al guardar la página."
"Anchor Custom Text","Texto Ancla personalizado"
"Anchor Custom Title","Título Ancla personalizado"
"Are you sure you want to delete current folder?","¿Estás seguro de que quieres eliminar esta carpeta?"
"Are you sure you want to delete the selected file?","¿Realmente desea eliminar el archivo seleccionado?"
"Block","Bloque"
"Block Information","Información de bloque"
"Block Title","Título de bloque"
"CMS","CMS"
"CMS Content Wrapper","Envoltorio de contenido CMS"
"CMS Home Page","Página de inicio de CMS"
"CMS No Cookies Page","Página sin Cookies de CMS"
"CMS No Route Page","Página sin Ruta de CMS"
"CMS No-Route Page","Página sin Ruta de CMS"
"CMS Page","Página CMS"
"CMS Page Link","Página de enlace CMS"
"CMS Page Link Block Template","Plantilla de bloque de la página de enlaces del CMS"
"CMS Page Link Inline Template","Plantilla en línea de la página de enlaces del CMS"
"CMS Pages (All)","Páginas CMS (todos)"
"CMS Static Block","Bloque estático CMS"
"CMS Static Block Default Template","Plantilla predeterminada de bloque estática CMS"
"Cannot create new directory.","No podemos crear un nuevo directorio."
"Cannot delete directory %s.","No podemos borrar directorio %s."
"Cannot delete root directory %s.","No podemos eliminar el directorio raiz %s."
"Cannot upload file.","No se puede cargar el archivo."
"Collapse All","Desplegar todo"
"Content","Contenido"
"Content Heading","Título de contenido"
"Content Management","Gestión de contenidos"
"Contents of a Static Block","Contenidos de un bloque estático"
"Create Folder...","Crear Carpeta..."
"Custom Design","Diseño personalizado"
"Custom Design From","Diseño personalizado de"
"Custom Design To","Diseño personalizado para"
"Custom Layout","Layout personalizado"
"Custom Layout Update XML","Actualización de diseño personalizado XML"
"Custom Theme","Tema personalizado"
"Customer Tax Class Information","Información sobre la clase de impuestos del cliente"
"Date Created","Fecha de creación"
"Delete Block","Eliminar bloque"
"Delete File","Eliminar archivo"
"Delete Folder","Eliminar carpeta"
"Delete Page","Eliminar página"
"Description","Beschreibung"
"Design","Gestaltung"
"Disabled","Deaktiviert"
"Disabled Completely","Komplett deaktiviert"
"Disabled by Default","Deshabilitado por defecto"
"Edit Block","Editar bloque"
"Edit Block '%s'","Editar bloque '%s'"
"Edit Page","Editar página"
"Edit Page '%s'","Editar página '%s'"
"Enable WYSIWYG Editor","Habilitar Editor WYSIWYG"
"Enabled","Habilitado"
"Enabled by Default","Activar por defecto"
"Expand All","Abrir todos"
"General Information","Información general"
"Go to Home Page","Ir a la página de inicio"
"Home","Inicio"
"ID","ID"
"Identifier","Identificador"
"If empty, the Page Title will be used","Si está vacío, se utilizará el título de la página"
"Images (%s)","Imágenes (%s)"
"Insert File","Insertar archivo"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nombre de carpeta no válido. Utilice guiones, caracteres de subrayado y caracteres alfanuméricos."
"Keywords","Palabras clave"
"Last Modified","Última modificación"
"Layout","Diseño"
"Layout Update XML","Actualización de diseño XML"
"Link to a CMS Page","Enlace a la página CMS"
"Manage Pages","Administrar páginas"
"Media Gallery","Galería multimedia"
"Media Storage","Almacenamiento multimedia"
"Meta Data","Meta datos"
"Meta Description","Meta descripción"
"Meta Keywords","Meta Keywords"
"New Block","Nuevo bloque"
"New Folder Name:","Nombre de la nueva carpeta:"
"New Page","Nueva Página"
"No files found","No se encontraron archivos"
"Page Information","Información de página"
"Page Layout","Diseño de página"
"Page Status","Estado de la página"
"Page Title","Título de la página"
"Pages","Páginas"
"Product Tax Class Information","Información sobre la clase de impuestos del producto"
"Redirect to CMS-page if Cookies are Disabled","Redirigir a la página de CMS si las Cookies están desactivadas"
"Relative to Website Base URL","Relativa a la dirección URL Base del sitio Web"
"Save Block","Guardar bloque"
"Save Page","Guardar página"
"Save Process","Guardar proceso"
"Select Block...","Seleccionar el bloque..."
"Select Page...","Seleccione la página..."
"Show Breadcrumbs for CMS Pages","Mostrar breadbrumbs para páginas CMS"
"Show Notice if JavaScript is Disabled","Mostrar aviso si JavaScript está desactivado"
"Static Blocks","Bloques Estáticos"
"Status","Estado"
"Storage Root","Raíz de almacenamiento"
"Store View","Vista de la tienda"
"Template","Plantilla"
"The block has been deleted.","El bloque se ha eliminado."
"The block has been saved.","El bloque se ha guardado."
"The directory %s is not writable by server.","El servidor no puede escribir en el directorio %s."
"The page URL key cannot consist only of numbers.","La clave URL de la página no se puede hacer sólo con números."
"The page URL key contains capital letters or disallowed symbols.","La clave de URL de la página contiene mayúsculas o símbolos no permitidos."
"The page has been deleted.","La página se ha eliminado."
"The page has been saved.","La página se ha guardado."
"The static block content cannot contain  directive with its self.","El contenido de bloque estático no puede contener Directivas consigo mismo."
"This block no longer exists.","Este bloque ya no existe."
"This page no longer exists.","Esta página ya no existe."
"Title","Título"
"URL Key","Clave URL"
"Unable to find a block to delete.","No se puede encontrar un bloque para eliminar."
"Unable to find a page to delete.","No se puede encontrar una página para eliminar."
"WYSIWYG Options","Opciones WYSIWYG"
"px.","px."
