"Widget Instance Title","Tytuł wystąpienia widgetu"
"Design Package/Theme","Pakiet projektowy / motyw"
"Add New Widget Instance","Dodaj nowe wystąpienie widgetu"
"Manage Widget Instances","Zarządzaj instancjami widgetów"
"Widget ID","ID widżetu"
"New Widget Instance","Nowa instancja widgetu"
"Widget Instance","Instancja widgetu"
"Widget instance is not full complete to create.","Instancja widgetu nie jest w pełni ukończona do utworzenia."
"Sort Order of widget instances in the same block reference","Sortuj Kolejność instancji widgetów w tym samym odwołaniu do bloku"
"Layout Updates","Aktualizacje układu"
"Add Layout Update","Dodaj aktualizację układu"
"Widget Options","Opcje widżetów"
"Display On ","Wyświetl wł"
"Categories","Kategorie"
"Block Reference","Odniesienie do bloku"
"Remove Layout Update","Usuń aktualizację układu"
"Display Type","Typ wyświetlacza"
"All products - recently added products, New products - products marked as new","Wszystkie produkty - ostatnio dodane produkty, Nowe produkty - produkty oznaczone jako nowe"
"Number of Products to Display","Liczba produktów do wyświetlenia"
"Slider","Suwak"
"Cache Lifetime (Seconds)","Żywotność pamięci podręcznej (sekundy)"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Domyślnie 86400, jeśli nie jest ustawiony. Aby odświeżyć natychmiast, wyczyść wyjściową pamięć podręczną HTML bloków."
"Select Block...","Wybierz Blokuj ..."
"Block","Blok"
"Not Selected","Nie zaznaczone"
