"""%s"" coupon code is not valid.","Codul cupon ""%s"" nu este valid."
"%s","%s"
"%s / %s rate:","%s / %s cotă:"
"%s for %s","%s pentru %s"
"%s order(s) cannot be canceled","%s comenzi nu pot fi anulate"
"%s order(s) have been canceled.","%s comenzi au fost anulate."
"%s order(s) have been put on hold.","%s comenzi au fost puse în așteptare."
"%s order(s) have been released from holding status.","%s comenzi au fost eliberate din statusul de așteptare"
"%s order(s) were not put on hold.","%s comenzi nu au fost puse în așteptare."
"%s order(s) were not released from holding status.","%s comenzi nu au fost eliberate din statusul de așteptare."
"* - Enter custom price excluding tax","* - Introduceți prețul personalizat fără TVA"
"* - Enter custom price including tax","* - Introduceți prețul personalizat cu TVA"
"* Required Fields","* Câmpuri obligatorii"
"-- Please Select --","-- Selectați --"
"-- Please Select Billing Agreement--","-- Selectați acord facturare --"
"About This Order:","Despre această comandă:"
"About This Profile:","Despre acest profil:"
"About Your Invoice","Despre factura Dvs."
"About Your Order","Despre comanda Dvs."
"About Your Refund","Despre rambursarea Dvs."
"About Your Shipment","Despre livrarea Dvs."
"Accept Payment","Acceptare plată"
"Accept or Deny Payment","Acceptare sau refuzare plată"
"Account Information","Informații cont"
"Action","Acțiune"
"Actions","Acțiuni"
"Activate","Activare"
"Active","Activ"
"Add","Adăugare"
"Add New Address","Adăugare adresă nouă"
"Add Order Comments","Adăugare comentarii comandă"
"Add Package","Adăugare pachet"
"Add Products","Adăugare produse"
"Add Selected Product(s) to Option","Adăugare produs(e) selectat(e) la opțiune"
"Add Selected Product(s) to Order","Adăugare produs(e) selectat(e) la comandă"
"Add Selected Product(s) to Package","Adăugare produs(e) selectat(e) la pachet"
"Add To Order","Adăugare la comandă"
"Add Tracking Number","Adăugare număr urmărire"
"Add comment to order","Adăugare comentariu la comandă"
"Add new comment to credit memo","Adăugare comentariu nou la memo credit"
"Add new comment to shipment","Adăugare comentariu nou la expediere"
"Add new tracking number","Adăugare număr urmărire nou"
"Add to Cart","Adăugare în coș"
"Additional Product Info","Informații suplimentare produs"
"Address","Adresa"
"Address model is not defined.","Modelul adresă nu este definit."
"Adjustment Fee","Taxă de ajustare"
"Adjustment Refund","Rambursare ajustare"
"Agreement Information","Informații acord"
"Allow Reorder","Acceptă Re-Comandă"
"Amount","Sumă"
"Amount: %s.","Suma: %s."
"An error occurred while assigning order status. Status has not been assigned.","Eroare la atribuirea statusului comenzii. Statusul nu a fost atribuit."
"An error occurred while creating shipping label.","Eroare la crearea etichetei de expediere."
"An error occurred while saving order status. The status has not been added.","Eroare la salvarea statusului comenzii."
"An error occurred while unassigning order status.","Eroare la dezatribuirea statusului comenzii."
"An error occurred while updating the order address. The address has not been changed.","Eroare la actualizarea adresei comenzii."
"An item option with code %s already exists.","O opțiune pentru articol cu codul %s există deja."
"Anchor Custom Title","Titlu personalizat pentru ancoră"
"Append Comments","Atașare comentarii"
"Apply","Aplicare"
"Apply Coupon Code","Aplicare cod cupon"
"Approved the payment online.","Plată aprobată online."
"Are you sure you want to accept this payment?","Sunteți sigur că doriți să acceptați această plată?"
"Are you sure you want to cancel this order?","Sunteți sigur că doriți să anulați comanda?"
"Are you sure you want to delete all items from shopping cart?","Sunteți sigur că doriți să ștergeți toate articolele din coș?"
"Are you sure you want to deny this payment?","Sunteți sigur că doriți să refuzați această plată?"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți asta?"
"Are you sure you want to send Creditmemo email to customer?","Sunteți sigur că doriți să trimiteți e-mail de memocredit clientului?"
"Are you sure you want to send Invoice email to customer?","Sunteți sigur că doriți să trimiteți e-mail de factură clientului?"
"Are you sure you want to send Shipment email to customer?","Sunteți sigur că doriți să trimiteți e-mail de expediere clientului?"
"Are you sure you want to send order email to customer?","Sunteți sigur ca doriți să trimiteți e-mail de comandă clientului?"
"Are you sure you want to void the payment?","Sunteți sigur că doriți să rambursați plata?"
"Are you sure?","Sunteți sigur?"
"Are you sure? This order will be canceled and a new one will be created instead","Sunteți sigur? Această comandă va fi anulată și una nouă va fi creată în locul ei"
"Assign Order Status to State","Atribuire status comandă la stare"
"Assign Status to State","Atribuire status la stare"
"Assignment Information","Informații atribuire"
"At least a payment ID must be set.","Cel puțin un ID plată trebuie setat."
"Authorization","Autorizare"
"Authorized amount of %s.","Suma autorizată de %s."
"Authorizing amount of %s is pending approval on gateway.","Autorizarea sumei de %s așteaptă aprobare la portal."
"Back","Înapoi"
"Back to Billing Agreements","Înapoi la Acorduri facturare"
