"[Show]","[Pokaż]"
"%s%%","%%%"
"Account","Konto"
"Account owner","Właściciel konta"
"Agreements not confirmed.","Warunki nie potwierdzone"
"All","Wszystko"
"All prices excluding tax and including <a href=""%s"">shipping</a>.","Wszystkie ceny bez podatków, z <a href=""%s"">przesyłką</a>."
"All prices excluding tax and excluding <a href=""%s"">shipping</a>.","Wszystkie ceny wyłączając podatki oraz <a href=""%s"">przesyłkę</a>."
"All prices including tax and including <a href=""%s"">shipping</a>.","Wszystkie ceny włączając podatki oraz <a href=""%s"">przesyłkę</a>."
"All prices including tax and excluding <a href=""%s"">shipping</a>.","Wszystkie ceny włączając podatki, bez <a href=""%s"">przesyłki</a>."
"All prices including <a href=""%s"">shipping</a>.","Wszystkie ceny włączając <a href=""%s"">przesyłkę</a>."
"All prices excluding <a href=""%s"">shipping</a>.","Wszystkie ceny wyłączając <a href=""%s"">przesyłkę</a>."
"The crossed prices correspond to the previous prices on %s.","Zkrzyzowane ceny w odniesieniu do poprzednich cen %"
"All tax settings will be overwritten!","Wszystkie podatki będą przepisane!"
"Authority (ECG)","Autorytet (ECG)"
"Bank Information","Informacja o banku"
"Bank name","Nazwa banku"
"Bank number","Numer banku"
"Bank Payment","Płatność bankowa"
"Base Price","Cena bazowa"
"BIC/SWIFT","BIC/SWIFT"
"Blugento Localizer: Error for country(%s) resource(%s).","Zento Localizer: Błąd dla kraju(%s) zasobów(%s)."
"Blugento Localizer has been installed.","Zento Localizer: został zainstalowany."
"Blugento Localizer: Checkout Agreements have been created.","Zento Localizer: Ustawienia kontrolne zostały utworzone."
"Blugento Localizer: CMS Blocks and Pages have been created.","Zento Localizer: Blok CMS i strony zostały utworzone."
"Blugento Localizer: Email Templates have been created.","Zento Localizer: Szablon emaila został utworzony."
"Blugento Localizer: Product Tax Classes have been updated.","Zento Localizer: Klasy podatkowe dla produktu zostały utworzone."
"Blugento Localizer: System Config Settings have been updated.","Zento Localizer: Konfiguracja ustawień systemowych została zaktualizowana. "
"Blugento Localizer: Tax Settings have been created.","Zento Localizer: Ustawienia podatkowe zostały utworzone."
"Cash on Delivery","Płatność przy odbiorze"
"CEO","Dyrektor generalny"
"City","Miasto"
"Clearing","Wyczyść"
"CMS Page for Shipping Info","Strona CMS dla informacji wysyłkowych"
"CMS Settings","Ustawienia CMS"
"Company 1","Firma 1"
"Company 2","Firma 2"
"Conditions","Warunki"
"Configuration Settings","Ustawienia konfiguracyjne"
"Configure Tax","Konfiguruj podatek"
"Create Checkout Agreements","Utwórz warunki sprzedaży"
"Create CMS Pages and Blocks","Utwórz strony CMS i bloki"
"Create Email Templates","Utwórz szablon email"
"Create Transational Email Templates to be managed in the Magento admin area","Utwórz tranzakcyjne szablony email do kierowania w panelu administracyjnym Magento "
"Debit Payment","Płatność kartą debetową"
"Default (Configuration)","Domyślnie (konfiguracja)"
"Default Revocation Product Type (for extra checkout agreements)","Domyslne unieważnienie typu produktu (dla dodatkowych warunków sprzedaży)"
"Default Setting","Ustawienia domyslne"
"Delivery of Goods","Dostawa "
"Delivery Time","Czas dostawy"
"Digital Content","Treści cyfrowe"
"Directory ""%s"" not found. Locale not installed?","Informator % nie znalexiony. Miejsce nie zainstalowane? "
"Display Additional Information","Wyświetl dodatkowe informacje"
"Display Block below Price","Wyświetl blok poniżej ceny"
"Display Checkbox on Frontend","Wyświetl pole wyboru w interfejsie użytkownika"
"Display content from text field below at the checkout confirm page directly above the checkout button","Wyświetl zawartość z pola tekstowego poniżej na stronie potwierdzenia płatności bezpośrednio nad przyciskiem kasy"
"Display Delivery time on Category Pages","Wyświetl czas dostawy na stronach kategorii"
"Display extra checkout agreements for Digital Goods and Services","Wyświetl dodatkowe warunki sprzedaży dla dóbr cyfrowych i usług"
"Display for following Revocation Product Types","Wyświetl następujące typy odwołania"
"Display on","Wyświetl na"
"Display Product Weight below Price","Wyświetl wagę produktu poniżej ceny"
"Display tax info and shipping cost link below the price on all pages","Wyświetl informację podatkową i koszt przesyłki poniżej ceny na wszystkich stronach"
"Dynamic Shipping Tax Class Calculation","Dynamiczny kalkulator podatku przesyłki"
"E-Mail","E-Mail"
"e.g. g, kg, lb, ...","e.g. g, kg, lb, ..."
"Editorial Concept","Koncept edytowalny"
"Email Settings","Ustawienia email"
"Ensures that the ip address of the customers doesnt get involved into the tracking","Zapewnia, że adres IP klienta nie zostanie włączone w śledzenie"
"Excl. %s Tax","Wyłączając podatek"
"excl. <a href=""%s"">Shipping Cost</a>","Wyłączając  <a href=""%s"">koszt wysyłki</a>"
"Extension Key","Extension Key"
"Fax","Fax"
"Financial office","Biuro finansowe"
"German Email Templates","Niemieckie szablony email"
"German Language Pack","Niemiecki pakiet językowy"
"Here you find information regarding the shipping costs.","Tu znajdziesz informacje odnoście kosztów wysyłki."
"Hide box ""Last Ordered Items""","Ukryj boks „Ostatnio zamówione przedmioty”"
"Hide estimated shipping costs in cart","Ukryj szacowany koszt przesyłki w koszyku"
"i.e. newsletter confirmation, account confirmation","np.. potwierdzenie newslettera, informacje o koncie"
"i.e. shipping, conditions, revocation","np.. wysyłka, warunki, zwrot"
"IBAN","IBAN"
"If you want to add additional StoreViews (i.e. for multiple languages), please do so before submitting this form.","Zapewnia, że adres IP klienta nie zostanie włączone w śledzenie"
"If your desired locale is missing, it is not supported yet by Blugento Localizer.","Jeśli brakuje Twojej docelowej lokalizacji, to nie jest ona jeszcze wspierana przez Zento."
"If your desired locale is missing, please check if it installed.","Jeśli brakuje Twojej docelowej lokalizacji, sprawdź czy jest zainstalowana."
"Imprint","Imprint"
"Incl. %s Tax","Włączając % podatku"
"incl. <a href=""%s"">Shipping Cost</a>","Włączając <a href=""%s"">Koszt wysyłki</a>"
"Incl. Tax","Włączając podatek"
"Invoice Payment","Płatność za fakturę"
"Ip anonymization","Anonimizacja IP"
"Language Package for CMS Pages/Blocks/Agreements","Pakiety językowe dla CMS Strony/bloki/warunki"
"Language Package for Email Templates","Pakiety językowe dla szablonów email"
"MagentoConnect","MagentoConnect"
"New","Nowy"
"Newsletter Subscribers Status History","Historia statusu subskrybentów newslettera"
"No Block","Bez bloku"
"No Page","Bex strony"
"No specification Layout file is set on the default theme","Brak specyfikacji Plik układu jest ustawiony na domyślny motyw"
"No tax","Bex podatku"
"Nowhere","Nigdzie"
"Old","Stary"
"On checkout (Magento Default)","Przy kasie (Magento domyślnie)"
"On customer registration (or on checkout, if customer not registered before)","Przy rejestracji klienta (lub przy kasie, jeśli klient nie zarejestrował się wcześniej)"
"On customer registration and on checkout","Przy rejestracji klienta i przy kasie"
"Owner","Właściciel"
"Please choose the requested setups:","Prosze wybrać wymagane ustawienia:"
"Popular Payment Methods","Popularne metody płatności"
"Popular Payment Methods in Germany","Popularne metody płatności w Niemczech"
"Recommended Extensions","Zalecane rozszerzenia"
"Reference for business rules (physician, physician...)","Odniesienie do reguł biznesowych"
"Register court","Register court"
"Register number","Numer rejestru"
