"[Show]","[Afișare]"
"%s%%","%s%%"
"Account","Cont"
"Account owner","Proprietar cont"
"Agreements not confirmed.","Acorduri neconfirmate."
"All","Toate"
"All prices excluding tax and including <a href=""%s"">shipping</a>.","Preţurile nu includ TVA şi includ taxa de <a href=""%s"">livrare</a>."
"All prices excluding tax and excluding <a href=""%s"">shipping</a>.","Preţurile nu includ TVA şi taxa de <a href=""%s"">livrare</a>."
"All prices including tax and including <a href=""%s"">shipping</a>.","Preţurile sunt cu TVA şi includ taxa de <a href=""%s"">livrare</a>."
"All prices including tax and excluding <a href=""%s"">shipping</a>.","Preţurile sunt cu TVA şi nu includ taxa de <a href=""%s"">livrare</a>."
"All prices including <a href=""%s"">shipping</a>.","Preţurile includ taxa de <a href=""%s"">livrare</a>."
"All prices excluding <a href=""%s"">shipping</a>.","Preţurile nu includ taxa de <a href=""%s"">livrare</a>."
"The crossed prices correspond to the previous prices on %s.","Preţurile tăiate corespund preţurilor anterioare eventualelor reduceri."
"All tax settings will be overwritten!","Toate setările de taxe vor fi suprascrise!"
"Authority (ECG)","Autoritate (ECG)"
"Bank Information","Informații bancă"
"Bank name","Nume bancă"
"Bank number","Număr bancă"
"Bank Payment","Transfer bancar"
"Base Price","Preț de bază"
"BIC/SWIFT","BIC/SWIFT"
"Blugento Localizer: Error for country(%s) resource(%s).","Blugento Localizer: eroare pentru ţara(%s) resursa(%s)."
"Blugento Localizer has been installed.","Blugento Localizer a fost instalat."
"Blugento Localizer: Checkout Agreements have been created.","Blugento Localizer: acordurile de finalizare comandă au fost create."
"Blugento Localizer: CMS Blocks and Pages have been created.","Blugento Localizer: blocurile și paginile CMS au fost create."
"Blugento Localizer: Email Templates have been created.","Blugento Localizer: şabloanele e-mail au fost create."
"Blugento Localizer: Product Tax Classes have been updated.","Blugento Localizer: clasele de taxare produs au fost actualizate."
"Blugento Localizer: System Config Settings have been updated.","Blugento Localizer: setările de configurare sistem au fost actualizate."
"Blugento Localizer: Tax Settings have been created.","Blugento Localizer: setările de taxe au fost create."
"Cash on Delivery","Plată ramburs"
"CEO","CEO"
"City","Localitate"
"Clearing","Încasare"
"CMS Page for Shipping Info","Pagină CMS pentru informații de livrare"
