"Add New Banner","Dodaj nowy baner"
"Allows to add a slider widget","Zezwól na dodanie widgetu przesuwania"
"Animation Duration","Czas trwania animacji"
"Banners","Banery"
"Blugento Sliders","Suwaki Zento"
"Carousel Settings","Ustawienia obrotu"
"Controls","Kontrolki"
"Edit Banner","Edytuj baner"
"Effect","Efekt"
"Enable Animation","Włącz nawigację"
"Fade","Wygaś"
"Left","Lewo"
"Middle","Środek"
"Right","Prawo"
"Scroll","Przewiń"
"Select Group","Wybierz grupę"
"This is a unique identifier that is used to inject the banner group via XML.","To jest unikatowy identyfikator do wprowadzenia grupy banerów przez XML."
"This setting occurs changes only in the full width layout of the whole shop you can set in the layout options.","To ustawienie pokazuje zmiany tylko w pełnej szerokości układu."
"Use {{banner_image}} for image tag.<br />Use {{banner_url}} for URL.","Użyj {{banner_image}} dla etykiety obrazu <br />Użyj {{banner_url}} dla URL."
"Use pictures with the same size (width and height). Width should be at least 1130px, resolution: 72 dpi (optimized for web), file format: jpg, jpeg, gif, png.","Użyj obrazów o tym samym rozmiarze (szerokość i wysokość). Szerokość powinna mieć przynajmniej 1130px, rezolucja: 72 dpi (zoptymalizowany), format pliku: jpg, jpeg, gif, png."
"Wide Layout",
