"Add New Banner","Adăugare banner nou"
"Allows to add a slider widget","Permite adăugarea unui widget slider"
"Animation Duration","Durată animaţie"
"Banners","Bannere"
"Blugento Sliders","Bannere Blugento"
"Carousel Settings","Setări carusel"
"Controls","Control"
"Edit Banner","Editare banner"
"Effect","Efect"
"Enable Animation","Activare animaţie"
"Fade","Estompare"
"Left","Stânga"
"Middle","Mijloc"
"Right","Dreapta"
"Scroll","Scroll"
"Select Group","Selectaţi grupul"
"This is a unique identifier that is used to inject the banner group via XML.","Acesta este un identificator unic care este folosit pentru a insera grupul de bannere prin intermediul XML."
"This setting occurs changes only in the full width layout of the whole shop you can set in the layout options.","Această setare are efect doar când aspectul al întregului site este setat larg."
"Use {{banner_image}} for image tag.<br />Use {{banner_url}} for URL.","Folosiţi {{banner_image}} pentru tag-ul de imagine.<br />Folosiţi {{banner_url}} pentru URL."
"Use pictures with the same size (width and height). Width should be at least 1130px, resolution: 72 dpi (optimized for web), file format: jpg, jpeg, gif, png.","Utilizaţi imagini cu aceeaşi mărime (lăţime şi înălţime). Lățimea trebuie să fie cel puţin 1130px, rezoluţia: 72 dpi (optimizate pentru web), format fişier: jpg, jpeg, gif, png."
"Wide Layout","Aspect larg"
