"Smtppro - Email Log","Smtppro - dziennik e-mail"
"SMTP Pro Email Settings","Smtppro – ustawienia e-mail"
"Email Log","Dziennik email"
"Aschroder Extensions","Rozszerzenia Aschrodera"
"SMTP Pro","SMTP Pro"
"General Settings","Ustawienia główne"
"<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>SMTP Pro Email Extension</span> </div> Configure your SMTP connection below. If you have any questions or would like any help please visit <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>.","<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>SMTP Pro Email Extension</span> </div> Skonfiguruj połączenie SMTP poniżej. W razie pytań – odwiedź: <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>."
"Email Connection","Połączenie email"
"Google Apps Email Address","Adres email Google Aps"
"Google Apps Password","Hasło Google  Aps"
"Input your Google Apps or Gmail username and password here. For configuration recommendations please see the guide at <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>","Wpisz tutaj Twoje hasło i nazwę uzytkownika dla Google Apps lub Gmail. Zalecenia dotyczące konfiguracji można znaleźć w przewodniku na stronie <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>"
"SendGrid Username","SendGrid nazwa użytkownika"
"SendGrid Password","SendGrid hasło"
"Input your SendGrid username and password here. For more information visit <a href='http://sendgrid.com' target='_blank'>SendGrid</a>","Wpisz tutaj Twoje hasło i nazwę uzytkownika dla SendGrid. Po więcej informacji odwiedź <a href='http://sendgrid.com' target='_blank'>SendGrid</a>"
"Amazon SES Access Key","Amazon SES Klucz dostępu"
"Amazon SES Secret Key","Amazon SES tajny klucz"
"Amazon SES support in SMTP Pro is limited and best suited to development and testing purposes. For a full integration with region selection, error/bounce logging and send statistics please see the premium extension: <a href='http://magesend.com' target='_blank'>MageSend</a>","Wsparcie dla Amazon SES w SMTP Pro jest ograniczone i najlepiej nadaje się do celów programistycznych i testowych.Dla pełnej integracji, rejestrowanie błędów / odrzuceń i wysyłanie statystyk zobacz rozszerzenie premium: <a href='http://magesend.com' target='_blank'>MageSend</a>"
"Authentication","Autoryzacja"
"Username","Nazwa użytkownika"
"Password","Hasło"
"Host","Host"
"Port","Port"
"SSL Security","SSL protokół bezpieczeństwa"
"Custom SMTP servers can be configured in this section. For more information about these configuration options and troubleshooting advice please see <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>","Serwery SMTP mogą być konfigurowane w tej sekcji. Po więcej informacji i po rozwiązywanie problemów odwiedź: <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>"
"Logging and Debugging","Logowanie i debugowanie"
"Please only use these settings if you are a software developer or server admin.","Prosze używać tych ustawień tylko gdy jesteś developerem lub administratorem servera."
"Log Emails","Dziennik emaili"
"This will log all outbound emails. View from System->Tools->Smtppro - Email Log.","To zapisze w dzienniku wszystkie wychodzące emaile. Przejrzyj w: System->Tools->Smtppro - Email Log."
"Clean Email Logs","Wyczysć dziennik emaili."
"If this is set to yes, old entries will be deleted from email log. Cron is required and log cleaning must be enabled in system/log/enabled for this to work.","Jeśli to jest ustawione na tak, stare wpisy zostaną usunięte z dziennika e-mail. Wymagany jest Cron, czyszczenie dziennika musi być włączone w systemie / log / enabled, aby to działało."
"Email Log Days Kept","Dziennik email zapis dni"
"Enable Debug Logging","Włącz rejestrowanie debugowania"
"If yes, a log file will be written with debug information to file var/log/aschroder_smtppro.log.","Jeśli tal, plik dziennika będzie zapisywany informacją debug do pliku var/log/aschroder_smtppro.log."
"Save settings before running this test.","Zapisz ustawienia przed wykonaniem testu."
"Compatible Email Services","Kompatybilne usługi e-mail"
"Running SMTP Pro Self Test","Uruchamianie autotestu SMTP Pro"
"SMTP Pro Self Test Results","SMTP Pro Self Test Rezultat"
"Extension disabled, cannot run test.","Rozszerzenie wyłączone, nie można uruchomić testu."
"Checking config re-writes have not clashed.","Sprawdzanie ponownego zapisu konfiguracji nie koliduje."
"Detected overwrite conflict: %s","Wykryto konflikt zastępowania:% s"
"Raw connection test for SMTP options.","Surowy test połączenia dla opcji SMTP."
"Complete","Ukończono."
"Failed to connect to SMTP server. Reason: ","Połączenie z serverem SMTP nie powiodło się. Przyczyna: "
"This extension requires an outbound SMTP connection on port: ","To rozszerzenie wymaga wychodzącego połączenia SMTP na porcie:"
"Connection to Host SMTP server successful","Połączenie z serwerem SMTP hosta powiodło się"
"Skipping raw connection test for non-SMTP options.","Pomijanie nieprzetworzonego testu połączenia dla opcji innych niż SMTP."
"Test Email From SMTP Pro Magento Extension","Testowa wiadomość e-mail z rozszerzenia SMTP Pro Magento"
"Actual email sending test...","Test wysłania wiadomości e-mail ..."
" from: ","Od:"
"Test email was sent successfully","Email testowy został wysłany pomyślnie."
"Failed to find transport for test.","Nie udało się znaleźć transportu do testu."
"Unable to send test email.","Nie można wysłać emailu testowego."
"Exception message was: %s","Wiadomość wyjątkowa to: %"
"Please check the user guide for frequent error messages and their solutions.","Prosze odwiedzić poradnik dla uzytkownika po porady na najczęściej wystepujące błędy."
"Test email was not sent successfully: %s","Email Testoty nie został wysłany pomyślnie: %"
"See exception log for more details.","Zobacz dziennik wyjątków po więcej szczegółów."
"Checking that a template exists for the default locale and that email communications are enabled...","Sprawdzanie czy szablon istnieje dla domyślnej lokalizacji i czy komunikacja emailowa jest włączona..."
"Default templates exist.","Szablon domyślny istnieje."
"Email communications are enabled.","Komunikacja email jest włączona"
"Default templates exist and email communications are enabled.","Szablon domyślny istnieje i Komunikacja email jest włączona"
"Could not find default template, or template not valid, or email communications disabled in Advanced > System settings.","Nie można znaleźć domyślnego szablonu, lub szablon jest nieważny, lub komunikacja email jest wyłączona w Zaawansowane>Ustawienia systemowe."
"Please check that you have templates in place for your emails. These are in app/locale, or custom defined in System > Transaction Emails. Also check Advanced > System settings to ensure email communications are enabled.","Proszę sprawdzić czy masz szablony dla Twoich emaili na miejscu. Powinny być w app/locale, lub zdefiniowane niestandardowo w System > Transaction Emails. Sprawdź też Zaawansowane>Ustawienia systemowe by upewnić się, że komunikacja email została włączona. "
"Could not find default template, or template not valid, or email communications disabled in Advanced > System settings","Nie można znaleźć domyslnego szablonu, lub szablon jest nieważny, lub komunikacja emailowa jest wyłaczona w  Zaawansowane>Ustawienia systemowe."
"Could not test default template validity.","Nie można określić dostępności domyślnego szablonu."
"Please check that you have templates in place for your emails. These are in app/locale, or custom defined in System > Transaction Emails.","Proszę sprawdzić czy masz szablony dla Twoich emaili na miejscu. Powinny być w app/locale, lub zdefiniowane niestandardowo w System > Transaction Emails. "
"Could not test default template validity: %s","Nie można określić dostępności domyślnego szablonu: %s"
"Checking that tables are created...","Sprawdzanie, czy tabele są utworzone ..."
"Could not find required database tables.","Nie można znaleźć wymaganych tabel bazy danych."
"Please try to manually re-run the table creation script. For assistance please contact us.","Spróbuj ręcznie ponownie uruchomić skrypt tworzenia tabeli. Aby uzyskać pomoc, skontaktuj się z nami."
"Required database tables exist.","Wymagane tabele danych istnieją."
"Testing complete, if you are still experiencing difficulties please visit <a target='_blank' href='http://magesmtppro.com'>the support page</a> or contact me via <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a> for support.","Ukończono test, jeśli problem nadal występuje odwiedź: <a target='_blank' href='http://magesmtppro.com'>the support page</a> or contact me via <a target='_blank' href='mailto:support@aschroder.com'>support@aschroder.com</a>."
