"Enable MSRP on list","Enable MSRP on list"
"Display Manufacturer's Suggested Retail Price on product list page","Display Manufacturer's Suggested Retail Price on product list page"
"Manufacturer's Suggested Retail Price:","Manufacturer's Suggested Retail Price:"
"Is Active?","Ist aktiv?"
"Width Label","Breite Etikett"
"Length Label","Länge Etikett"
"Please specify the custom option title that will be use for Width input.","Bitte geben Sie den benutzerdefinierten Optionstitel an, der für die Width-Eingabe verwendet wird."
"Please specify the custom option title that will be use for Length input.","Bitte geben Sie den benutzerdefinierten Optionstitel an, der für die Längeneingabe verwendet wird."
"Minimum threshold","Mindestschwelle"
"If the user enters a calculation value less than or equal to the minimum threshold of 0.8m², the final price will be equal to the value associated with the minimum calculation threshold.","Wenn der Benutzer einen Berechnungswert einnimmt, der kleiner oder gleich der Mindestschwelle von 0,8m² ist, entspricht der endgültige Preis dem Wert, der mit dem minimalen Berechnungsschwellenwert verbunden ist."
"Text predefined...","Text vordefiniert..."
"product(s)","produkt(e)"
"Show","Show"
"Sort By :","Sortieren nach :"
": Low to High",": Niedrig zu hoch"
": High to Low",": Hoch zu niedrig"
"Blog: Latest Posts","Blog: Neueste Beiträge"
"Blugento Products Category","Blugento-Produktkategorie"
"Blugento Products Custom","Blugento Produkte Kundenspezifisch"
"Blugento Products Discounted","Blugento-Produkte reduziert"
"Blugento Products Last Added","Blugento-Produkte wurden zuletzt hinzugefügt"
"Blugento Products New","Blugento Produkte Neu"
"Show Add to Cart","Zeigen In den Warenkorb legen"
"Show Short Description","Kurze Beschreibung anzeigen"
"Max Number of Products to Display","Maximale Anzahl der anzuzeigenden Produkte"
"Shop By","Einkaufen Bei"
"Category","Kategorie"
"you will save","Sparen"
"Minimum quantity allowed is","Zulässige Mindestmenge ist"
"Select first value for swatch","Wählen Sie den ersten Wert für das Farbfeld",
"Select last value for swatch","Wählen Sie den letzten Wert für das Farbfeld aus"
"Disable swatch hover","Deaktivieren Sie den Farbfeld-Schwebeflug"
"Input quantity is not a multiple of ","Eingangsgröße ist kein Vielfaches von "
"See more reviews","Weitere Bewertungen anzeigen"
"See less reviews","Weniger Bewertungen anzeigen"
"Day","Tag"
"Days","Tage"
"Hours","Std"
"Minutes","Protokoll"
"Seconds","Sekunden"
"See more","Weiterlesen"
"See less","Beschränken"
