"Category","Kategória"
"Shop By","Boltban"
"you will save","Mentés"
"Minimum quantity allowed is","A minimálisan megengedett mennyiség"
"Select first value for swatch","Válassza ki a színminta első értékét",
"Select last value for swatch","Válassza ki a színminta utolsó értékét"
"Disable swatch hover","Tiltsa le a swatch lebegését"
"Input quantity is not a multiple of ","A bemeneti mennyiség nem többszöröse "
"See more reviews","További vélemények"
"See less reviews","Lásd kevesebb véleményt"
"Day","nap"
"Days","nap"
"Hours","óra"
"Minutes","perc"
"Seconds","másodperc"
"See more","Olvass tovább"
"See less","Korlátoz"
