"1 Item","1 sztuka"
"2 Items","2 sztuki"
"3 Items","3 sztuki"
"4 Items","4 sztuki"
"5 Items","5 sztuk"
"6 Items","6 sztuk"
"Big Boxes","Duże boksy"
"Big Boxes - Only Images","Duże boksy – tylko obrazy"
"Blugento Multi Products","Zento multi-produkty"
"Category","Kategoria"
"Default","Domyślny"
"Display Products from","Wyświetl produkt z "
"Filter Products","Filtruj produkty "
"Grid Template","Szablon karty"
"List of Product IDs","Lista identyfikatorów produktów"
"List of Products from a Category or a List of IDs","Lista produktów z kategorii lub lista identyfikatorów"
"List Template","Szablon listy"
"New products","Nowy produkt"
"New products first","Nowy produkt pierwszy"
"No","Nie"
"Slider","Suwak"
"Slider Animation Speed","Szybkość animacji suwaka"
"Slides to Scroll","Suwak przy przesuwaniu"
"Slides to Show","Suwak przy wyświetlaniu"
"Small Boxes","Małe boksy"
"Small Boxes - Left Image","Małe boxy – lewy obraz"
"Small Boxes - Only Images","Mały boks – tylko obrazy"
"Small Boxes - Right Image","Mały boks – prawy obraz"
"Template","Szablon"
"Title","Tytuł"
"Yes","Tak"
"Dots Slider","Suwak kropek"
"Center Slider","Suwak środkowy"
