Blugento Swatches Extension,Rozszerzenie Zento Swatch
Enable Blugento Extension,W??cz rozszerzenia Zento
Display Children Gallery,Wy?wietl galeri? pokrewn?
Display Swatch Option Label,Wy?wietl etykiet? opcji Swatch
-- Please Select --,-- Prosz? wybra? --
Add to Cart,Dodaj do koszyka
Choose an Option...,Wybierz opcj?....
Configurable Swatches,Konfigurowalne Swatches
Dynamic Price Change for Swatches in Product Listing,Dynamiczna zmiana ceny dla Swatchy na stronie produktu
Enabled,W??czono
General Settings,Ustawienia g?�wne
Height,Wysoko??
In Stock,W magazynie
"Innermost dimensions, not including border, in pixels","Najbardziej wewn?trzne wymiary, bez ramki, w pikselach"
Out of Stock,Brak asortymentu
Previous,Poprzeni
Product Attribute to Use for Swatches in Product Listing,Cecha produktu do u?ycia dla Swatchy na Stronie Produktu
Product Attributes to Show as Swatches in Product Detail,Cecha produktu do pokazania dla Swatchy na Stronie Produktu
Remove This Item,Usu? ten produkt
Swatch Dimensions in Layered Navigation,Swatch wymairy w Warstwowej Nawigacji
Swatch Dimensions in Product Listing,Swatch wymairy na Stronie Produktu
Swatch Dimensions on Product Detail Page,Swatch wymairy na Stronie szczeg�?�w produktu
Width,Szeroko??

