"Enable MSRP on list","Activeaza MSRP pe list"
"Display Manufacturer's Suggested Retail Price on product list page","Afiseaza pretul sugerat de producator in lista de produse"
"Manufacturer's Suggested Retail Price:","PRET PRODUCATOR:"
"Display SKU","Afiseaza cod produs"
"Display the product SKU on product list page", "Afiseaza cod produs pe pagina de lista produse"
"Code", "Cod"
"Wishlist Header Button","Buton favorite"
"Display the Wishlist button on header section","Afiseaza buton favorite"
"Ratings On List","Pareri utilizatori"
"Display Ratings on product list page","Afiseaza pareri utilizatori in pagina de lista produse"
"Manufacturer Display","Afisare producator"
"Show Manufacturer values on product view page","Afisare producator in pagina de produs"
"Enter your room measurements to calculate the required quantity of this product:","Completeaza campurile de mai jos:"
"Width (m)","Lungime (m)"
"Length (m)","Latime (m)"
"Calculate","Calculeaza"
"Floor area:","Arie:"
"Wall length:","Lungimea ferestrei:"
"Current product:","Produsul curent:"
"Actual product area:","Aria produsului curent:"
"Total price:","Pret total:"
"Please contact one of our sales advisors about purchasing larger sizes than are available on our web site.","Va rugam sa ne contactati telefonic in cazul in care doriti dimensiuni mai mari decat cele disponibile in magazinul nostru."
"Conversion","Converteaza"
"Convert feet and/or inches into meters:","Converteaza  feet si/sau inci in metri:"
"Feet","Feet"
"Inches","inci"
"Convert","Converteaza"
"Result:","Resultat:"
"meters","metri"
"Show more","Citeste mai multe"
"Show less","Afiseaza mai putine"
"Enable break on enter","Activează spaţiere cand se apasă Enter"
"Enable break on enter if no html tags exists","Activează spaţiere dacă nu există taguri html"
"Disable break on enter","Dezactivează spaţiere"
"Is Active?","Este activ?"
"Width Label","Lățime"
"Length Label","Inălțime"
"Please specify the custom option title that will be use for Width input.","Vă rugăm specificați titlul care va fi folosit pentru cămpul de lățime."
"Please specify the custom option title that will be use for Length input.","Vă rugăm specificați titlul care va fi folosit pentru cămpul de inălțime."
"Minimum threshold","Prag minim"
"If the user enters a calculation value less than or equal to the minimum threshold of 0.8m², the final price will be equal to the value associated with the minimum calculation threshold.","Daca utilizatorul introduce o valoare de calcul mai mica sau egala cu pragul minim de 0.8m², pretul final va fi egal cu valoarea aferenta pragului minim de calcul."
"Text predefined...","Text predefinit..."
"product(s)","produs(e)"
"Show","Arată"
"Sort By :","Sortează după :"
"Shop By","Filtrează după"
"Category","Categorie"
": Low to High",": Crescător"
": High to Low",": Descrescător"
"Subscribe newsletter","Mă abonez la newsletter"
"Blog: Latest Posts","Blog: Ultimile Postări"
"Blugento Products Category","Blugento Produse Categorie"
"Blugento Products Custom","Blugento Produse Customizabile"
"Blugento Products Discounted","Blugento Produse Reduse"
"Blugento Products Last Added","Blugento Ultimele Produse Adăugate"
"Blugento Products New","Blugento Produse Noi"
"Show Add to Cart","Afisează buton adaugă in cos"
"Show Short Description","Afisează descriere scurtă"
"Max Number of Products to Display","Numărul maxim de produse afisate"
"All Categories", "Toate categoriile"
"Category Selection","Selectare categorie"
"Category Showcase","Secțiuni subcategorii"
"Enable Description","Afisează descriere"
"Enable Image and Price","Afisează Imagine si Preț"
"Allow Cookies","Acceptă cookies"
"Reject Cookies","Respinge cookie-ul"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Introduceți adrese de e-mail valide, separate de virgulă. De exemplu: johndoe@domain.com, johnsmith@domain.com."
"Number of Products to Display on mobile","Număr de produse afișate pe mobil"
"Please Wait...","Așteptați..."
"Enabled on Product Page","Activare pe Pagina de Produs"
"Enabled on Category Page","Activare pe Pagina de Categorie"
"Enabled on Widget","Activare pe Widget"
"Button Text","Text Buton"
"Button Color","Culoare Buton"
"This text will be displayed on the button.","Textul este afișat pe buton."
"Insert color code/hex. Example: #FFFFFF or #CCE5FF","Introduceți codul culorii. Exemplu: #FFFFFF sau #CCE5FF"
"Buy Now","Cumpără Acum"
"Show widget on mobile","Afișați widget-ul pe mobil"
"Show Buy Now Button","Afiseaza buton ""Buy Now"""
"Number of days","Perioada in zile"
"you will save","Salvați"
"Minimum quantity allowed is","Cantitatea minimă permisă este"
"Select first value for swatch","Selectează prima valoare pentru swatch",
"Select last value for swatch","Selectează ultima valoare pentru swatch"
"Disable swatch hover","Dezactiveaza hover pentru swatch"
"Enable swatch label all the time","Afișează label tot timpul"
"Input quantity is not a multiple of ","Cantitatea din input nu este multiplu de "
"See more reviews","Vezi mai multe recenzii"
"See less reviews","Vezi mai puține recenzii"
Add to Quote,Cere cotație,
"Total Unit: %s %s / Input Unit: %s","Unitate totala: %s %s / Unitate camp: %s"
"Price Per ","Preț pe "
"Day","Zi"
"Days","Zile"
"Hours","Ore"
"Minutes","Minute"
"Seconds","Secunde"
"See more","Citește mai multe"
"See less","Restrânge"
"This product is no longer available","Acest produs nu mai este disponibil"
