"File Upload","Încărcare Fișiere"
"File Upload Configuration","Configurare Încărcare Fișiere"
"Upload Path","Calea"
"Upload path is relative to base directory folder. Example: to upload files to 'media/import' add media/import value.","Calea este relativă la directorul de bază. Exemplu: pentru a încărca fișiere în 'media/import' adăugați valoarea: media/import"
"Select File(s)","Selectează fișier(ul/ele)"
"Upload Selected Files","Încarcă fișierele selectate"
" file is already exist."," fișierul există deja în această locație."
"%s file(s) are successfully uploaded.","%s fișier(e) au fost încărcate cu succes."
"Please, Select file(s) to upload.","Vă rugăm să selectați fișierele pe care doriți să le încărcați."
"%s archive(s) were extracted: %s.","%s fișier(e) au fost dezarhivate: %s"
"There is no archive to extract!","Nu există niciun fișier pentru a fi dezarhivat!"
"You can upload images or archives (only zip archives are allowed). The maximum number of files allowed for one upload is 20. The maximum file size allowed is 35 MB.","Se pot încărca imagini și fișiere arhivate (numai arhivele zip sunt acceptate). Numărul maxim de fișiere încărcate o singură dată este 20. Dimensiunea permisă unei singure încărcări este de maxim 35 MB."
"Unzip Archive","Dezarhivare Fișier"
