"blugento","BLUGENTO"
"blugento_url","https://www.zentoshop.com"
"Accepted payment options","Accepted payment options"
"Subscribe to our","Subscribe to our"
"New collections","New collections"
"Stability running shoes","Stability running shoes"
"New!","New!"
"Sale!","Sale!"
"Manufacturer","Manufacturer"
"Description","Description"
"Information","Information"
"View","View"
"Area of Activity","Area of Activity"
"View Cart","View Cart"
"Powered by","Powered by"
"View Details","View Details"
"Delivery Time","Delivery Time"
"You may also be interested:","You may also be interested:"
"Rate this product","Rate this product"
"Your thoughts","Your thoughts"
"Review summary","Review summary"
"Your nickname","Your nickname"
"Homepage","Homepage"
"Shipping & Tax","Shipping & Tax"
"Similar Products","Similar Products"
"Excluding tax","Excluding tax"
"Including tax","Including tax"
"Hour","Hour"
"Mage_Sales::Grand Total","Grand Total"
"Backorder","Backorder"
"Additional Info","Additional Info"
"Check other Products","Check other Products"
