"%s file is not uploaded ok. Please try again!","%s Datei wurde nicht korrekt hochgeladen. Bitte versuchen Sie es erneut!"
"%s file type is not allowed. Allowed file types: %s.","%s Dateityp ist nicht erlaubt. Erlaubte Dateiformate: %s."
"%s is not valid.","%s ist nicht gültig."
"%s saved successfully. %s","%s erfolgreich gespeichert. %s"
"%s upload error!","%s Upload Fehler!"
"%s upload successfully.","%s Upload erfolgreich."
"Advanced Customise Design","Erweiterte Design Anpassung"
"Auto","Auto"
"capitalize","Großschreibung"
"Categories Menu","Kategorie Menü"
"Change template","Change template"
"Clear Grunt Log File","Grund Log File löschen"
"Customise Design","Design anpassen"
"Customise Layout","Layout anpassen"
"Default Theme","Standard Theme"
"Do you really want to clear the Grunt log files?","Wollen Sie wirklich den Grunt Log File löschen?"
"Do you really want to reset the image? Previous image will be deleted!","Wollen Sie das Bild wirklich zurücksetzen? Das bestehende Bild wird gelöscht werden!"
"Do you really want to switch to advanced mode?","Wollen Sie wirklich in den Erweiterten Modus wechseln?"
"Do you really want to switch to simple mode?","Wollen Sie wirklich in den Einfachen Modus wechseln?"
"Enter value","Wert eingeben"
"Error occurred while resetting image %s to %s. Please try again later.","Ein Fehler entstand beim Zurücksetzen des Bildes von %s zu %s. Bitte versuchen Sie es später erneut."
"Final CSS","Finales CSS"
"Final CSS cannot be saved.","Finales CSS kann nicht gespeichert werden."
"Final CSS saved successfully.","Finales CSS erfolgreich gespeichert."
"Grunt Images Logs","Grunt Bilder Logs"
"Grunt images logs file cleared!","Grunt Biilder Logs file gelöscht!"
"Grunt images logs file doesn't exist or is not writable!","Grunt Bild Logs File existiert nicht oder ist nicht beschreibbar!"
"Grunt images logs file doesn't exist or is not writable!","Grunt Bild Logs File existiert nicht oder ist nicht beschreibbar!"
"Grunt Logs","Grunt Logs"
"Grunt logs file cleared!","Grunt Logs file gelöscht!"
"Grunt logs file doesn't exist or is not writable!","Grunt Logs File existiert nicht oder ist nicht beschreibbar!"
"Grunt logs file doesn't exist or is not writable!","Grunt Logs File existiert nicht oder ist nicht beschreibbar!"
"Image %s does not exist in default theme folder (%s).","Das Bild %s existiert nicht im Standard Theme Ordner (%s)."
"Image %s successfully restored to %s.","Bild %s wurde in %s erfolgreich wiederhergestellt."
"Images","Bilder"
"inherit","Entspricht"
"Inherit from","Entspricht"
"It was restored to %s.","Es wurde wiederhergestellt auf %s."
"Layout Options","Layout Optionen"
"Logs","Logs"
"lowercase","Kleinschreibung"
"No Grunt logs file is set or the file doesn't exist","Kein Grunt File ist eingestellt oder das File existiert nicht."
"No Scss variable definition in file.","Keine Scss Variablen Definition in diesem File."
"No specification CSS file is set on the default theme.","Für das Standard Theme ist kein CSS File eingestellt."
"No specification Layout file is set on the default theme.","Für das Default Theme ist kein Layout eingestellt."
"No specification Scss file is set on the default theme.","Für das Standard Theme ist kein Scss File eingestellt."
"Read details","Details lesen"
"Reset to default","In Standard zurücksetzen"
"Styling","Styling"
"Switch to Advanced Mode","In Erweiterten Modus wechseln"
"Switch to Simple Mode","In Einfachen Modus wechseln"
"Template","Template"
"Uploaded image %s is too small for dimensions %sx.","Das hochgeladene Bild %s ist zu klein für die Größe %sx."
"Uploaded image: cannot determine uploaded image size.","Hochgeladenes Bild: Die Bildgröße kann nicht ermittelt werden."
"View Images Log File","Bilder Log File anschauen"
"View Log File","Log File anschauen"
"Your CSS code here","Ihr CSS Code hier"
"Your layout and color settings will be overwritten by the template. Do you really want to lose your settings?","Ihre bisher gemachten Layout- und Farbeinstellungen werden wieder in den Standard zurückgesetzt. Wollen Sie wirklich Ihre Einstellungen verlieren?"
"layout/title/product_list_filters_heigth","Stellen Sie die Höhe für die Filter ein"
"layout/title/product_list_show_empty_reviews","Zeige leere Bewertungen"
