"image/title/page_favicon","Favicon"
"image/title/page_brand_logo","Marken Logo"
"image/title/page_brand_logo_email","Marken Logo E-Mail"
"image/title/page_background-image","Seiten Hintergrund"
"image/title/page-footer__marketing-box--shipping__before","Footer Marketing Box links"
"image/title/page-footer__marketing-box--support__before","Footer Marketing Box Mitte"
"image/title/page-footer__marketing-box--newsletter__before","Footer Marketing Box Newsletter"
"image/title/add-to-links__wishlist_background-image","Wunschzettel Symbol"
"image/title/add-to-links__compare_background-image","Vergleichen Symbol"
"image/title/mini-cart__link__after","Mini Warenkorb Symbol"
"image/title/mini-cart__link--hover__after","Mini Warenkorb Symbol Mouseover"
"image/title/mini-search__button_background-image","Mini-Suche Symbol"
"image/title/mini-search__button--hover_background-image","Mini-Suche Symbol Mouseover"
"image/title/mini-profile__link_background-image","Mini-Profil Symbol"
"image/title/mini-wishlist__button_background-image","Wishlist-Symbol"
"image/title/mini-wishlist__button--hover_background-image","Wishlist-Symbol Mouseover"
"image/title/toolbar__view-mode__grid_background-image","Produktübersicht: Symbol für Gitteransicht"
"image/title/toolbar__view-mode__grid--hover_background-image","Produktübersicht: Symbol für Aktive Gitteransicht"
"image/title/toolbar__view-mode__list_background-image","Produktübersicht: Symbol für Listenansicht"
"image/title/toolbar__view-mode__list--hover_background-image","Produktübersicht: Symbol Aktive Listenansicht"
"image/title/block-compare__placeholder_background-image","Mini-Vergleichen Platzhalter Symbol"
"image/title/list--social__item--facebook__link_background-image","Socials - Facebook Symbol"
"image/title/list--social__item--facebook__link--hover_background-image","Socials - Facebook Symbol Mouseover"
"image/title/list--social__item--twitter__link_background-image","Socials - Twitter Symbol"
"image/title/list--social__item--twitter__link--hover_background-image","Socials - Twitter Symbol Mouseover"
"image/title/list--social__item--google__link_background-image","Socials - Google+ Symbol"
"image/title/list--social__item--google__link--hover_background-image","Socials - Google+ Symbol Mouseover"
"image/title/list--social__item--instagram__link_background-image","Socials - Instagram Symbol"
"image/title/list--social__item--instagram__link--hover_background-image","Socials - Instagram Symbol Mouseover"
"image/title/list--social__item--linkedin__link_background-image","Socials - Linkedin Symbol"
"image/title/list--social__item--linkedin__link--hover_background-image","Socials - Linkedin Symbol Mouseover"
"image/title/list--social__item--pinterest__link_background-image","Socials - Pinterest Symbol"
"image/title/list--social__item--pinterest__link--hover_background-image","Socials - Pinterest Symbol Mouseover"
"image/title/list--social__item--tiktok__link_background-image","Socials - TikTok Symbol"
"image/title/list--social__item--tiktok__link--hover_background-image","Socials - TikTok Symbol Mouseover"
"image/title/list--social__item--youtube__link_background-image","Socials - Youtube Symbol"
"image/title/list--social__item--youtube__link--hover_background-image","Socials - Youtube Symbol Mouseover"
"image/title/list--social__item--flickr__link_background-image","Socials - Flickr Symbol"
"image/title/list--social__item--flickr__link--hover_background-image","Socials - Flickr Symbol"
"image/title/og-image","Social Sharing Bild"
"image/description/page_favicon","Empfohlene Größe: 256px x 256px"
"image/description/page_brand_logo","Angezeigt im Header (alle Gerätedisplays)."
"image/description/page_brand_logo_email","Anzeige in E-Mails. Nur GIF-Format unterstützt."
"image/description/page_background-image","Angezeigt als Hintergrund für die komplette Website (Desktop)"
"image/description/page-footer__marketing-box--shipping__before","Angezeigt am Ende der Seite links im Marketing Footer (alle Gerätedisplays)"
"image/description/page-footer__marketing-box--support__before","Angezeigt am Ende der Seite mittig im Marketing Footer (alle Gerätedisplays)"
"image/description/page-footer__marketing-box--newsletter__before","Angezeigt am Ende der Seite im Newsletter-Bereich des Marketing Footers (alle Gerätedisplays)"
"image/description/add-to-links__wishlist_background-image","Angezeigt in Produktlisten und Produkt-Detailseiten (alle Gerätedisplays)"
"image/description/add-to-links__compare_background-image","Angezeigt in Produktlisten und Produkt-Detailseiten (alle Gerätedisplays)"
"image/description/mini-cart__link__after","Angezeigt im Header (alle Gerätedisplays)"
"image/description/mini-cart__link--hover__after","Angezeigt im Header (alle Gerätedisplays)"
"image/description/mini-search__button_background-image","Angezeigt im Header (alle Gerätedisplays)"
"image/description/mini-search__button--hover_background-image","Angezeigt im Header (alle Gerätedisplays)"
"image/description/mini-profile__link_background-image","Anzeige im Header (mobil)"
"image/description/toolbar__view-mode__grid_background-image","Angezeigt in Produktlisten und Suchergebnis-Seiten (alle Gerätedisplays)"
"image/description/toolbar__view-mode__grid--hover_background-image","Angezeigt in Produktlisten und Suchergebnis-Seiten (alle Gerätedisplays)"
"image/description/toolbar__view-mode__list_background-image","Angezeigt in Produktlisten und Suchergebnis-Seiten (alle Gerätedisplays)"
"image/description/toolbar__view-mode__list--hover_background-image","Angezeigt in Produktlisten und Suchergebnis-Seiten (alle Gerätedisplays)"
"image/description/block-compare__placeholder_background-image","Angezeigt auf Produkt-Vergleichsseiten (alle Gerätedisplays)"
"image/description/list--social__item--facebook__link_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--facebook__link--hover_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--twitter__link_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--twitter__link--hover_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--google__link_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--google__link--hover_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--instagram__link_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--instagram__link--hover_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--linkedin__link_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--linkedin__link--hover_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--pinterest__link_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--pinterest__link--hover_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--tiktok__link_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--tiktok__link--hover_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--youtube__link_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--youtube__link--hover_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--flickr__link_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/list--social__item--flickr__link--hover_background-image","Angezeigt im Footer (alle Gerätedisplays)"
"image/description/og-image","Standard Bild für das Teilen über Soziale Netzwerke (Außer Kategorieseiten, diese Bilder werden an der Kategorie selbst hinterlegt)"
"image/help/page_favicon",""
"image/help/page_brand_logo",""
"image/help/page_brand_logo_email",""
"image/help/page_background-image",""
"image/help/page-footer__marketing-box--shipping__before",""
"image/help/page-footer__marketing-box--support__before",""
"image/help/page-footer__marketing-box--newsletter__before",""
"image/help/add-to-links__wishlist_background-image",""
"image/help/add-to-links__compare_background-image",""
"image/help/mini-cart__link__after",""
"image/help/mini-cart__link--hover__after",""
"image/help/mini-search__button_background-image",""
"image/help/mini-search__button--hover_background-image",""
"image/help/mini-profile__link_background-image",""
"image/help/toolbar__view-mode__grid_background-image",""
"image/help/toolbar__view-mode__grid--hover_background-image",""
