"Necessary","Notwendig"
"Accept all","Ich akzeptiere alles"
"More Details","Weitere Details"
"General Settings","Allgemeine Einstellungen"
"Enable GDPR Cookies","GDPR-Cookies aktivieren"
"Disable GDPR Cookies Persistent","Deaktivieren Sie dauerhafte GDPR-Cookies"
"Default Cookie Categories","Standard-Cookie-Kategorien"
"Statistics","Statistik"
"Custom Cookie Categories","Benutzerdefinierte Cookie-Kategorien"
"Add Custom Cookie Categories","Fügen Sie benutzerdefinierte Cookie-Kategorien hinzu"
"Add Category","Kategorie hinzufügen"
"Scripts","Scripts"
"Statistics Scripts Area","Bereich Statistikskripte"
"Marketing Scripts Area","Bereich für Marketing-Skripte"
"Option","Option"
"Manage Pop-up details link","Stellen Sie den Link für die Detailschaltfläche ein"
