"1 Column","1 Spalte"
"2 Columns","2 Spalten"
"3 Columns","3 Spalten"
"4 Columns","4 Spalten"
"Add Widget","Widget hinzufügen"
"Are you sure you want to delete this row?","Sind Sie sicher, dass Sie diese Zeile löschen wollen?"
"Clear Content","Inhalte löschen"
"Delete this row","Diese Zeile löschen"
"Drag & drop to reorder layout","Drag & Drop um Elemente zu sortieren"
"Edit Widget","Widget bearbeiten"
"Homepage Manager","Startseiten Manager"
"Insert row with four columns","Zeile mit 4 Spalten einfügen"
"Insert row with one column","Zeile mit 1 Spalten einfügen"
"Insert row with three columns","Zeile mit 3 Spalten einfügen"
"Insert row with two columns","Zeile mit 2 Spalten einfügen"
