"[Show]","[Anzeigen]"
"%s%%","%s%%"
"Account","Kontonummer"
"Account owner","Kontoinhaber"
"Agreements not confirmed.","Bedingungen wurden nicht bestätigt."
"All","Alle"
"All prices excluding tax and including <a href=""%s"">shipping</a>.","Alle Preise zzgl. der gesetzlichen MwSt. und inkl. <a href=""%s"">Versand</a>."
"All prices excluding tax and excluding <a href=""%s"">shipping</a>.","Alle Preise zzgl. der gesetzlichen MwSt. und zzgl. <a href=""%s"">Versand</a>."
"All prices including tax and including <a href=""%s"">shipping</a>.","Alle Preise inkl. der gesetzlichen MwSt. und inkl. <a href=""%s"">Versand</a>."
"All prices including tax and excluding <a href=""%s"">shipping</a>.","Alle Preise inkl. der gesetzlichen MwSt. und zzgl. <a href=""%s"">Versand</a>."
"All prices including <a href=""%s"">shipping</a>.","Alle Preise inkl. <a href=""%s"">Versand</a>."
"All prices excluding <a href=""%s"">shipping</a>.","Alle Preise zzgl. <a href=""%s"">Versand</a>."
"The crossed prices correspond to the previous prices on %s.","Die durchgestrichenen Preise entsprechen den bisherigen Preisen auf %s."
"All tax settings will be overwritten!","Alle Steuereinstellungen werden überschrieben!"
"Authority (ECG)","Behörde gem. ECG (E-Commerce-Gesetz)"
"Bank Information","Bankverbindung"
"Bank name","Kreditinstitut"
"Bank number","BLZ"
"Bank Payment","Vorkasse"
"Base Price","Grundpreis-Modul (PAngV)"
"BIC/SWIFT","BIC/SWIFT"
"Blugento Localizer: Error for country(%s) resource(%s).","Blugento Localizer: Fehler bei der Länder(%s) Quelle(%s)"
"Blugento Localizer has been installed.","Blugento Localizer wurde installiert."
"Blugento Localizer: Checkout Agreements have been created.","Blugento Localizer: Kauf-Vereinbarungen wurden erstellt."
"Blugento Localizer: CMS Blocks and Pages have been created.","Blugento Localizer: CMS Blöcke und Seiten wurden erstellt."
"Blugento Localizer: Email Templates have been created.","Blugento Localizer: E-Mail Vorlagen wurden erstellt."
"Blugento Localizer: Product Tax Classes have been updated.","Blugento Localizer: Produkt Steuerklassen wurden aktualisiert."
"Blugento Localizer: System Config Settings have been updated.","Blugento Localizer: Einstellungen in der Systemkonfiguration wurden aktualisiert."
"Blugento Localizer: Tax Settings have been created.","Blugento Localizer: Steuereinstellungen wurden durchgeführt."
"Cash on Delivery","Nachnahme"
"CEO","Geschäftsführer"
"City","Ort"
"Clearing","Clearing"
"CMS Page for Shipping Info","CMS-Seite für Versandkosten"
"CMS Settings","CMS-Einstellungen"
"Company 1","Unternehmensbezeichnung 1"
"Company 2","Unternehmensbezeichnung 2"
"Conditions","AGB und Widerrufsbelehrung"
"Configuration Settings","Konfigurations-Einstellungen"
"Configure Tax","Steuereinstellungen konfigurieren"
"Create Checkout Agreements","Bestellbedingungen erstellen"
"Create CMS Pages and Blocks","CMS-Seiten und Statische Blöcke erstellen"
"Create Email Templates","Email-Templates erstellen"
"Create Transational Email Templates to be managed in the Magento admin area","Transaktions-Emails erzeugen, die im Magento-Admin-Bereich verwaltet werden können."
"Debit Payment","Bankeinzug/Lastschrift"
"Default (Configuration)","Standardwert (Konfiguration)"
"Default Revocation Product Type (for extra checkout agreements)","Standard-Produkttyp für Widerrufsrecht"
"Default Setting","Standardeinstellung"
"Delivery of Goods","Warenlieferung"
"Delivery Time","Lieferzeit"
"Digital Content","Digitaler Inhalt"
"Directory ""%s"" not found. Locale not installed?","Verzeichnis ""%s"" nicht gefunden. Ist das Sprachpaket korrekt installiert?"
"Display Additional Information","Zusatzinformation anzeigen"
"Display Block below Price","Block unterhalb der Preise darstellen"
"Display Checkbox on Frontend","Checkbox im Frontend anzeigen"
"Display content from text field below at the checkout confirm page directly above the checkout button","Inhalt des Textfeldes (unten) auf der Bestellbestätigungsseite anzeigen (direkt über dem ""Kaufen""-Button)"
"Display Delivery time on Category Pages","Lieferzeit auf Produktübersichtsseiten anzeigen"
"Display extra checkout agreements for Digital Goods and Services","Zusätzliche Bestellbedingungen werden für Digitale Inhalte und Dienstleistungen angezeigt"
"Display for following Revocation Product Types","Für folgende Produkttypen anzeigen"
"Display on","Anzeigen in"
"Display Product Weight below Price","Produktgewicht unterhalb der Preise darstellen"
"Display tax info and shipping cost link below the price on all pages","Steuerinformationen und Link zur Versandkostenseite auf allen Seiten unterhalb der Preise darstellen"
"Dynamic Shipping Tax Class Calculation","Dynamische Berechnung der Versand-Steuerklasse"
"E-Mail","E-Mail"
"e.g. g, kg, lb, ...","z.B. g, kg, lb, ..."
"Editorial Concept","Blattlinie"
"Email Settings","Email-Einstellungen"
"Ensures that the ip address of the customers doesnt get involved into the tracking","Stellt sicher das die IP Adresse der Kunden beim Tracking nicht mit übertragen werden (Datenschutz)"
"Excl. %s Tax","Zzgl. %s MwSt."
"excl. <a href=""%s"">Shipping Cost</a>","zzgl. <a href=""%s"">Versandkosten</a>"
"Extension Key","Extension Key"
"Fax","Fax"
"Financial office","Finanzamt"
"German Email Templates","Deutsche Email-Vorlagen"
"German Language Pack","Deutsches Sprachpaket"
"Here you find information regarding the shipping costs.","Hier finden Sie Informationen zu den Versandkosten."
"Hide box ""Last Ordered Items""","Box ""Zuletzt bestellte Artikel"" verstecken"
"Hide estimated shipping costs in cart","Geschätzte Versandkosten im Warenkorb verstecken"
"i.e. newsletter confirmation, account confirmation","z.B. Newsletter Bestätigung, Benutzerkonto Bestätigung"
"i.e. shipping, conditions, revocation","z.B. Versand, AGB, Widerruf"
"IBAN","IBAN"
"If you want to add additional StoreViews (i.e. for multiple languages), please do so before submitting this form.","Wenn Sie (z.B. für mehrere Sprachen) zusätzliche StoreViews anlegen möchten, tun Sie dies bitte, bevor Sie dieses Formular ausfüllen."
"If your desired locale is missing, it is not supported yet by Blugento Localizer.","Wenn Ihr gewünschtes Sprachpaket in der Auswahl fehlt, wird es von Blugento Localizer derzeit noch nicht angeboten."
"If your desired locale is missing, please check if it installed.","Wenn Ihr gewünschtes Sprachpaket in der Auswahl fehlt, prüfen Sie bitte, ob es korrekt installiert ist."
"Imprint","Impressum"
"Incl. %s Tax","Inkl. %s USt."
"incl. <a href=""%s"">Shipping Cost</a>","inkl. <a href=""%s"">Versandkosten</a>"
"Incl. Tax","Inkl. USt."
"Invoice Payment","Rechnung"
"Ip anonymization","IP Adresse verschleiern"
"Language Package for CMS Pages/Blocks/Agreements","Sprachpaket für CMS-Seiten/-Blocks/Bestellbedingungen"
"Language Package for Email Templates","Spachpaket für Email-Templates"
"MagentoConnect","MagentoConnect"
"New","Neu"
"Newsletter Subscribers Status History","Newsletter Abonnenten Status Historie"
"No Block","Kein Block"
"No Page","Keine Seite"
"No specification Layout file is set on the default theme","No specification Layout file is set on the default theme"
"No tax","Keine Steuern"
"Nowhere","Nirgendwo"
"Old","Alt"
"On checkout (Magento Default)","Im Checkout (Magento-Standard)"
"On customer registration (or on checkout, if customer not registered before)","In der Kundenregistrierung (oder im Checkout, wenn der Kunde vorher nicht registriert ist)"
"On customer registration and on checkout","In der Kundenregistrierung und im Checkout"
"Owner","Inhaber"
"Please choose the requested setups:","Bitte wählen Sie die gewünschten Setups:"
"Popular Payment Methods","Beliebte Zahlungsmethoden"
"Popular Payment Methods in Germany","Beliebte Zahlungsmethoden in Deutschland"
"Recommended Extensions","Empfohlene Erweiterungen"
"Reference for business rules (physician, physician...)","Verweis auf berufliche Regelungen (z.B. für Ärzte, Apotheker)"
"Register court","Registergericht"
"Register number","Registernummer"
"relevant for Austrian shops","relevant für österreichische Shops"
"Replace with a link to the ""Shipping costs"" CMS page","Mit einem Link zur CMS-Seite ""Versandkosten ersetzen"""
"Require Confirmation on Customer Registration and/or Checkout","Pflichtfeld bei Kundenregistrierung und/oder Checkout"
"Responsible according to § 5 TMG","Inhaltlich verantwortlich gemäß § 5 TMG"
"Responsible for content","Inhalt. Verantwortlicher"
"Responsible for content address","Adresse des inhalt. Verantwortlichen"
"Responsible in the interests of the press law","Verantwortlich im Sinne des Presserechts (V.i.S.d.P.)"
"Revocation Product Type (for extra checkout agreements)","Produkttyp für Widerrufsrecht"
"Run Blugento Localizer","Blugento Localizer ausführen"
"Select Locale","Gewähltes Spachpaket"
"Service","Dienstleistung"
"Shareholdings","Beteiligungen"
"Shipping Costs","Versandkosten"
"Shipping from","Versand aus"
"Shipping from Germany","Versand aus Deutschland"
"Shipping Weight %s","Versandgewicht %s"
"Show ""incl. Shipping Cost"" instead of ""excl. Shipping Cost""","Zeige ""inkl. Versandkosten"" statt ""zzgl. Versandkosten"""
"Skip installation","Installation überspringen"
"Street","Straße"
"Supplementary Information for Telephone","Zusatzinformation für Telefon"
"SWIFT","SWIFT"
"Tax number","Steuernummer"
"Tax Settings","Steuer-Einstellungen"
"Telephone","Telefon"
"This setting is base for the tax rate setup!","Diese Einstellung wird für das Setup der Steuereinstellungen verwendet!"
"Unit for Product Weight","Einheit für Produktgewicht"
"Update Customer Tax Classes","Kundensteuerklassen neu zuweisen"
"Update Product Tax Classes","Produktsteuerklassen neu zuweisen"
"Update System Config Settings","Einstellungen in der Systemkonfiguration aktualisieren"
"Use Default Setting","Standardeinstellung benutzen"
"VAT-ID","USt-IdNr."
"Visible in Checkout","Sichtbar im Bestellprozess"
"Web","Web"
"Will only be displayed if at least one product of the selected type is in cart","Wird nur angezeigt, wenn sich mindestens ein Produkt des gewählten Typs im Warenkorb befindet."
"Zip","PLZ"
"cms_page_shipping","versand"
