"Add New Banner","Neuen Banner hinzufügen"
"Allows to add a slider widget","Fügt ein Bild-Slider hinzu"
"Animation Duration","Animationsdauer"
"Banners","Banner"
"Blugento Sliders","Blugento Slider"
"Carousel Settings","Animations Einstellungen"
"Controls","Anordnung"
"Edit Banner","Banner bearbeiten"
"Effect","Effekt"
"Enable Animation","Aktiviere Animation"
"Fade","Verblassen"
"Left","Links"
"Middle","Mitte"
"Right","Rechts"
"Scroll","Scrollen"
"Select Group","Gruppe wählen"
"This is a unique identifier that is used to inject the banner group via XML.","Dies ist ein einzigartiger Bezeichner, um die Banner Gruppe über XML einzufügen."
"This setting occurs changes only in the full width layout of the whole shop you can set in the layout options.","Diese Einstellung verursacht nur im ""Komplette Breite Layout"" Änderungen, welches in den Layout Optionen ausgewählt werden kann."
"Use {{banner_image}} for image tag.<br />Use {{banner_url}} for URL.","Verwendung {{banner_image}} für Bild Tag.<br />Verwendung {{banner_url}} für URL."
"Use pictures with the same size (width and height). Width should be at least 1130px, resolution: 72 dpi (optimized for web), file format: jpg, jpeg, gif, png.","Nutzen Sie Bilder mit derselben Größe (Breite und Höhe). Minimale Breite: 1130px | Empfohlene Auflösung für Web: 72 dpi | Dateiformat: jpg, jpeg, gif, png."
"Wide Layout","Breites Layout"
