"Blugento_Adminmenu::General Settings","General Settings"
"CMS Blocks","CMS Blocks"
"CMS Pages","CMS Pages"
"Customise Homepage","Customise Homepage"
"Data Feeds","Data Feeds"
"Display footer logos","Display footer logos"
"General Settings","General Settings"
"Localizer","Localizer"
"Mage_Adminhtml::Configuration","Configuration"
"Mage_Adminhtml::Content","Content"
"Mage_Adminhtml::General Settings","General Settings"
"Mage_Adminhtml::Shortcuts","Shortcuts"
"Mage_Core::General Settings","General Settings"
"Sliders","Sliders"
