"Enable AjaxCart","Enable AjaxCart"
"View cart & checkout","View cart & checkout"
"Continue shopping","Continue shopping"
"Please specify the product's option(s).","Please specify the product's option(s)."
"View cart & checkout redirect to","View cart & checkout redirect to"
"Cart Page","Cart Page"
"Checkout Page","Checkout Page"
"Enable Cart Item Delete Confirmation","Enable Cart Item Delete Confirmation"
"Enable to show simple product image instead of parent for configurable products","Enable to show simple product image instead of parent for configurable products"
"The product has been added to your shopping cart","The product has been added to your shopping cart"
"Are you sure you would like to remove this item from the shopping cart?","re you sure you would like to remove this item from the shopping cart?"
