"layout/title/blog_link","Blog Link"
"layout/title/catalog_mini_search","Mini-Search"
"layout/title/checkout_agreements_position","Agreements Position"
"layout/title/checkout_view_page_orientation","Page orientation"
"layout/title/checkout_view_page_layout","Page Layout"
"layout/title/checkout_billing_address_layout","Billing Address Layout"
"layout/title/checkout_cart_add_to_cart_quantity_buttons_status","Add To Cart Quantity Buttons"
"layout/title/checkout_cart_clear_button","Cart Clear Button"
"layout/title/checkout_cart_crosssells_position","Cross-Sells Position"
"layout/title/checkout_cart_crosssells_slider_status","Slider for Crosssels Products"
"layout/title/checkout_cart_layout","Cart Layout"
"layout/title/checkout_cart_product_thumbnail","Cart Product Thumbnail"
"layout/title/checkout_cart_product_unit_price","Cart Product Unit Price"
"layout/title/checkout_cart_shipping_section","Cart Shipping Section"
"layout/title/checkout_shipping_address_layout","Shipping Address Layout"
"layout/title/checkout_use_billing_shipping_address_above_form","""Use Billing/Shipping Address"" Above Form"
"layout/title/cookie_notice","Cookie Notice"
"layout/title/debug_mode","Debug Mode"
"layout/title/disable_compare","Compare"
"layout/title/disable_poll","Poll"
"layout/title/disable_reviews","Review"
"layout/title/disable_tags","Tags"
"layout/title/disable_wishlist","Wishlist"
"layout/title/footer_legals","Legals"
"layout/title/footer_marketing_mode","Footer Marketing"
"layout/title/full_layout_mode","Full Width Layout"
"layout/title/header_layout","Header Layout"
"layout/title/homepage_banner_layout","Homepage Banner Layout"
"layout/title/input_text_layout","Input-text Layout"
"layout/title/layered_nav_filters_size","Filters count limit"
"layout/title/layered_nav_layout","Filters Position"
"layout/title/layered_navigation_position","Navigation Position"
"layout/title/mini_cart_image_layout","Enable image mini-cart"
"layout/title/mini_cart_layout","Mini-Cart Layout"
"layout/title/nav_layout","Navigation Layout"
"layout/title/page_background_image","Page Background Image"
"layout/title/page_background_repeat","Page Background Repeat"
"layout/title/preloader_status","Preloader Status"
"layout/title/product_list_add_to_cart_status","Add To Cart Button"
"layout/title/product_list_add_to_links_status","Add to Links on Product Listing"
"layout/title/product_list_breadcrumbs_title","Breadcrumbs and Title Display"
"layout/title/product_list_discount_mode","Show Price Discount in Value under price"
"layout/title/product_list_discount_percentage_mode","Show Price Discount in Percentage in ""Promo"" badge"
"layout/title/product_list_image_width","Product Image Width on List Mode"
"layout/title/product_list_item_box","Item Box Design"
"layout/title/product_list_item_title_description_display","Title and description display"
"layout/title/product_list_page_layout","Page Layout"
"layout/title/product_list_shortdescription_mode_status","Short description"
"layout/title/product_list_tax_mode","Tax info"
"layout/title/product_list_tax_shipping_mode","Shipping info"
"layout/title/product_view_add_to_cart_quantity_buttons_status","Add To Cart Quantity Buttons"
"layout/title/checkout_cart_modal","Show Modal Cart"
"layout/title/product_view_delivery_time_mode","Delivery Time"
"layout/title/product_view_discount_mode","Show Price Discount in Value near price"
"layout/title/product_view_discount_percentage_mode","Show Price Discount in Percentage over the big picture"
"layout/title/product_view_gallery_images_count","Number of Images Displayed in Gallery"
"layout/title/product_view_gallery_images_count_mobile","Number of Images Displayed in Gallery (mobile devices)"
"layout/title/product_view_gallery_orientation","Gallery Orientation"
"layout/title/product_view_mobile_gallery_orientation","Mobile Gallery Orientation"
"layout/title/product_view_group_attributes_status","Add Attribute Group Name"
"layout/title/product_view_layout","Product Layout"
"layout/title/product_view_main_image_action","Image Zoom"
"layout/title/product_view_manufacturer_price_mode","Manufacturer Price"
"layout/title/product_view_page_layout","Page Layout"
"layout/title/product_view_related_products_slider_status","Slider for Related Products"
"layout/title/product_view_related_products_status","Related Products Status"
"layout/title/product_view_related_products_slider_slides_to_show","Number of Slides to Show for Related Products"
"layout/title/product_view_related_products_slider_slides_to_scroll","Number of Slides to Scroll for Related Products"
"layout/title/product_view_related_products_slider_animation","Slider Animation for Related Products"
"layout/title/product_view_related_products_slider_loop","Loop for Related Products"
"layout/title/product_view_related_products_slider_center","Center for Related Products"
"layout/title/product_view_related_products_slider_dots","Dots for Related Products"
"layout/title/product_view_reviews_mode","Reviews under Title"
"layout/title/product_view_shop_layout","Info Section Layout"
"layout/title/product_view_short_description_mode","Short Description"
"layout/title/product_view_subtitle_mode","Subtitle"
"layout/title/product_view_tabs_style","Tabs Style"
"layout/title/product_view_upsell_products_slider_status","Slider for Upsell Products"
"layout/title/product_view_upsell_products_slider_slides_to_show","Number of Slides to Show for Upsell Products"
"layout/title/product_view_upsell_products_slider_slides_to_scroll","Number of Slides to Scroll for Upsell Products"
"layout/title/product_view_upsell_products_slider_animation","Slider Animation for Upsell Products"
