"scss/title/account__block-content__list__current_background-color","Active Background Color"
"scss/title/account__block-content__list__current_color","Active Text Color"
"scss/title/account__block-content__list_color","Text Color"
"scss/title/add-to-links_color","Text Color"
"scss/title/add-to-links_font","Font"
"scss/title/badge_font","Font"
"scss/title/badge--new_background-color","New Background Color"
"scss/title/badge--new_color","New Text Color"
"scss/title/badge--new_display","New Display"
"scss/title/badge--sale_background-color","Sale Background Color"
"scss/title/badge--sale_color","Sale Text Color"
"scss/title/badge--sale_display","Sale Display"
"scss/title/block__block-title_background-color","Background Color"
"scss/title/block__block-title_color","Text Color"
"scss/title/block-layered-nav__title_color","Title Color"
"scss/title/block-layered-nav__title_font","Font"
"scss/title/breadcrumbs__leaf_color","Active Text Color"
"scss/title/breadcrumbs_color","Text Color"
"scss/title/breadcrumbs_display","Display"
"scss/title/breadcrumbs_font","Font"
"scss/title/button_background-color","Background Color"
"scss/title/button_color","Text Color"
"scss/title/button-action_background-color","Action Background Color"
"scss/title/button-action_color","Action Text Color"
"scss/title/cart__btn-checkout_background-color","Background Color"
"scss/title/cart__btn-checkout_color","Text Color"
"scss/title/cart__cart-totals__table_background-color","Background Color"
"scss/title/cart__cart-totals__table_color","Text Color"
"scss/title/cart__cart-totals__total_color","Grand Total Text Color"
"scss/title/cart__discount__button_background-color","Background Color"
"scss/title/cart__discount__button_color","Text Color"
"scss/title/cart-table__item-options_color","Text Color"
"scss/title/cart-table__item-options_font","Font"
"scss/title/cart-table__product-image_background-color","Background Color"
"scss/title/cart-table__product-name_color","Text Color"
"scss/title/cart-table__product-name_font","Font"
"scss/title/cart-table__product-price_color","Color"
"scss/title/cart-table__product-price_font","Font"
"scss/title/cart-table__product-sku_display","Sku Display"
"scss/title/cart-table__sku-label_color","Text Color"
"scss/title/cart-table__sku-label_font","Font"
"scss/title/cart-table_background-color","Background Color"
"scss/fieldset/step_background","Step Background Color"
"scss/title/checkout-onepage_step_background-color","Background Color"
"scss/title/checkout-onepage__buttons_background-color","Background Color"
"scss/title/checkout-onepage__buttons_color","Text Color"
"scss/title/checkout-onepage__buttons_font","Font"
"scss/title/checkout-onepage__progress-title_background-color","Background Color"
"scss/title/checkout-onepage__progress-title_color","Text Color"
"scss/title/checkout-onepage__progress-title_font","Font"
"scss/title/checkout-onepage__step-title_active_color","Active Text Color"
"scss/title/checkout-onepage__step-title_border","Border thickness"
"scss/title/checkout-onepage__step-title_border-bottom-color","Border Bottom Color"
"scss/title/checkout-onepage__step-title_color","Text Color"
"scss/title/checkout-onepage__step-title_font","Font"
"scss/title/color--fifth","Fifth"
"scss/title/color--fourth","Fourth"
"scss/title/color--primary","Primary"
"scss/title/color--secondary","Secondary"
"scss/title/color--third","Third"
"scss/title/data-table__td_background-color","Body Background Color"
"scss/title/data-table__td_color","Body Text Color"
"scss/title/data-table__th_background-color","Header Background Color"
"scss/title/data-table__th_color","Header Text Color"
"scss/title/data-table_border-color","Border Color"
"scss/title/font_base","Font"
"scss/title/google_fonts","Google Fonts"
"scss/title/header_separator-line_border-color","Separator Color"
"scss/title/input-text_background-color","Background Color"
"scss/title/input-text_border","Border"
"scss/title/input-text_border-color","Border Color"
"scss/title/letter-spacing","Letter Spacing"
"scss/title/message--error__background-color","Error Background Color"
"scss/title/message--notice_background-color","Notice Background Color"
"scss/title/message--success_background-color","Success Background Color"
"scss/title/mini-cart__block-content_background-color","Background Color"
"scss/title/mini-cart__block-content_color","Text Color"
"scss/title/mini-cart__link_color","Link Text Color"
"scss/title/mini-cart__link--hover_color","Hover Color"
"scss/title/nav__button_background-color","Background Color"
"scss/title/nav__button_color","Text Color"
"scss/title/nav__button_font","Font"
"scss/title/nav--primary__level0-link_color","Text Color"
"scss/title/nav--primary__level0-link_font","Font"
"scss/title/nav--primary__level0-link_padding","Item Padding"
"scss/title/nav--primary__level0-link_padding-right","Right & Left"
"scss/title/nav--primary__level0-link_padding-top","Top & Bottom"
"scss/title/nav--primary__level0-link--hover_color","Hover Color"
"scss/title/nav--primary__level0-list_padding-global","General"
"scss/title/nav--primary__level0-list-separator_color","Separator Color"
"scss/title/nav--primary__level1-link_font","Font"
"scss/title/nav--primary__level2_background-color","Background Color"
"scss/title/nav--primary__level2-link_color","Text Color"
"scss/title/nav--primary__level2-link_font","Font"
"scss/title/nav--primary__level2-link_padding","Item Padding"
"scss/title/nav--primary__level2-link_padding-right","Right & Left"
"scss/title/nav--primary__level2-link_padding-top","Top & Bottom"
"scss/title/nav--primary__level3_background-color","Background Color"
"scss/title/nav--primary__level3-link_color","Text Color"
"scss/title/nav--primary__level3-link_font","Font"
"scss/title/nav--primary__level3-link_padding","Item Padding"
"scss/title/nav--primary__level3-link_padding-right","Right & Left"
"scss/title/nav--primary__level3-link_padding-top","Top & Bottom"
"scss/title/nav--primary__level4_background-color","Background Color"
"scss/title/nav--primary__level4-link_color","Text Color"
"scss/title/nav--primary__level4-link_font","Font"
"scss/title/nav--primary__level4-link_padding","Item Padding"
"scss/title/nav--primary__level4-link_padding-right","Right & Left"
"scss/title/nav--primary__level4-link_padding-top","Top & Bottom"
"scss/title/nav--primary__submenu_background-color","Background Color"
"scss/title/nav--primary__submenu_color","Text Color"
"scss/title/nav--primary__ul-level0-link_padding","Item Padding"
"scss/title/nav--primary_background-color","Background Color"
"scss/title/nav--primary_border-bottom","Bottom Border"
"scss/title/nav--primary_border-bottom_color","Bottom Border Color"
"scss/title/nav--primary_border-left","Left Border"
"scss/title/nav--primary_border-left_color","Left Border Color"
"scss/title/nav--primary_border-right","Right Border"
"scss/title/nav--primary_border-right_color","Right Border Color"
"scss/title/nav--primary_border-top","Top Border"
"scss/title/nav--primary_border-top_color","Top Border Color"
"scss/title/page_background-color","Background Color"
"scss/title/page_color","Text Color"
"scss/title/page_size","Page Size"
"scss/title/page-container_background-color","Container Background Color"
"scss/title/page-footer__link--hover_color","Hover Link Color"
"scss/title/page-footer__marketing-box--newsletter_color","Text Color Newsletter"
"scss/title/page-footer__marketing-box--shipping_color","Text Color Left"
"scss/title/page-footer__marketing-box--support_color","Text Color Middle"
"scss/title/page-footer_background-color","Background Color"
"scss/title/page-footer_color","Text Color"
"scss/title/page-footer_link-color","Link Color"
"scss/title/page-header_background-color","Background Color"
"scss/title/page-header_color","Text Color"
"scss/title/page-header_link_color","Text Color"
"scss/title/page-main_background-color","Background Color"
"scss/title/page-main_color","Text Color"
"scss/title/page-subtitle_color","Subtitle Text Color"
"scss/title/page-subtitle_font","Subtitle Font"
"scss/title/page-title_color","Title Text Color"
"scss/title/page-title_font","Title Font"
"scss/title/preloader__cicle-1_stroke","Color 1"
"scss/title/preloader__cicle-2_stroke","Color 2"
"scss/title/product_price_font","Font"
"scss/title/product_price_list_font","Font"
