"1 Item","1 Item"
"2 Items","2 Items"
"3 Items","3 Items"
"4 Items","4 Items"
"5 Items","5 Items"
"6 Items","6 Items"
"Big Boxes","Big Boxes"
"Big Boxes - Only Images","Big Boxes - Only Images"
"Blugento Multi Products","Blugento Multi Products"
"Category","Category"
"Default","Default"
"Display Products from","Display Products from"
"Filter Products","Filter Products"
"Grid Template","Grid Template"
"List of Product IDs","List of Product IDs"
"List of Products from a Category or a List of IDs","List of Products from a Category or a list of IDs"
"List Template","List Template"
"New products","New products"
"New products first","New products first"
"No","No"
"Slider","Slider"
"Slider Animation Speed","Slider Animation Speed"
"Slides to Scroll","Slides to Scroll"
"Slides to Show","Slides to Show"
"Small Boxes","Small Boxes"
"Small Boxes - Left Image","Small Boxes - Left Image"
"Small Boxes - Only Images","Small Boxes - Only Images"
"Small Boxes - Right Image","Small Boxes - Right Image"
"Template","Template"
"Title","Title"
"Yes","Yes"
