" The customer does not exist in the system anymore."," El cliente ya no existe en el sistema."
" [deleted]"," [borrado]"
" and "," y "
"%s (Default Template from Locale)","%s (plantilla de predeterminado de configuración regional)"
"%s cache type(s) disabled.","%s tipo(s) de memoria cache deshabilitado(s)."
"%s cache type(s) enabled.","%s tipo(s) de memoria cache habilitado(s)."
"%s cache type(s) refreshed.","%s tipo(s) de memoria cache actualizado(s)."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Tipo ""Servidor Local"" necesita usar ruta relativa para Magento instalar var/exportación o importación/var, por ejemplo var/exportación importación/var, var/exportación/algunos/dir, var/importación/algunos/dir)"
"(For US 2-letter state names)","(Para nombres de 2 Letras de estado de Estados Unidos)"
"(If left empty will be auto-generated)","(Si se deja vacío será generado automáticamente)"
"(Leave empty for first spreadsheet)","(Deje en blanco para la primera hoja de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Los productos serán añadidos/actualizados a esta tienda si la columna ""store"" se está en blanco o si falta el archivo de importación.)"
"(Shift-)Click or drag to change value","Pulse (Shift-) o arrastre para modificar el valor"
"(Starting with)","(Comienza con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cuando 'No', solamente los campos asignados se importarán. Cuando asigne, use ""Columna1"", ""column2"", etcetera.)"
"(You have to increase php memory_limit before changing this value)","(Tienes que aumentar php memory_limit antes de cambiar este valor)"
"(\\t for tab)","(\\t de ficha)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Si la indexación está en marcha, se detendrá y el proceso de indexación comenzará de nuevo."
"* Required Fields","* Campos obligatorios"
"- Click on any of the time parts to increase it","- Pulse sobre cualquiera de los fragmentos de tiempo para aumentarlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenga pulsado el botón del ratón sobre cualquiera de los botones de arriba para acelerar la selección."
"- Use the %s buttons to select month","- Wählen Sie den Monat mit den %s-Schaltflächen aus."
"- Use the %s, %s buttons to select year","- Utilice los botones %s, %s para seleccionar el año"
"- or Shift-click to decrease it","- o pulse Shift para disminuirlo"
"- or click and drag for faster selection.","- o pulse y arrastre para obtener una selección más rápida."
"-- Not Selected --","-- No seleccionado --"
"-- Please Select --","-- Seleccionar, por favor --"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"-- Please Select a Category --","--Por favor, seleccione una categoría--"
"-- Please select --","-- Por favor, seleccione --"
"--Please Select--","--Por favor, seleccione--"
"1 Hour","1 hora"
"12 Hours","12 horas"
"12h AM/PM","12h AM/PM"
"2 Hours","2 horas"
"24 Hours","24 horas"
"24h","24h"
"2YTD","2YTD (Year-to-Date)"
"6 Hours","6 horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> error 404</h1><p>Página no encontrada.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> solicitudes de acceso a su cuenta"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Aviso</strong>: Captcha es sensible al uso de mayúsculas y minúsculas."
"A user with the same user name or email aleady exists.","El nombre de usuario y/o correo ya existe."
"API Key","API Key"
"API Key Confirmation","Confirmación de API Key"
"ASCII","ASCII"
"Abandoned Carts","Carritos abandonados"
"About the calendar","Acerca del calendario"
"Access Denied","Acceso denegado"
"Access denied","Acceso denegado"
"Access denied.","Acceso denegado."
"Account Created in:","Cuenta creada en:"
"Account Created on (%s):","Cuenta creada en (%s):"
