"Access denied.","Acceso denegado."
"Can not find webservice adapter.","No se puede encontrar el adaptador de webservice."
"Client Session Timeout (sec.)","Límite de tiempo de sesión de cliente (seg.)"
"Default Response Charset","Default Response Charset"
"Email","E-Mail"
"Enable WSDL Cache","Habilitar WSDL Cache"
"General Settings","Configuración general"
"Invalid webservice adapter specified.","Ha especificado un adaptador de webservice no válido."
"Invalid webservice handler specified.","Ha especificado un controlador de webservice no válido."
"Magento Core API","Magento Core API"
"Magento Core API Section","Sección Magento Core API"
"SOAP/XML-RPC - Roles","Roles SOAP/XML-RPC"
"SOAP/XML-RPC - Users","Usuarios SOAP/XML-RPC"
"Unable to login.","No se pudo iniciar sesión."
"User Name","Nombre de Usuario"
"WS-I Compliance","WS-I Compliance"
"Web Services","Servicios Web"
"Your account has been deactivated.","Se desactivó su cuenta."
