"%s","%s"
"%s role is a special one and can\'t be changed.","%s es un rol especial y no se puede cambiar."
"%s role is a special one and can\'t be deleted.","%s es un rol especial y no se puede eliminar."
"%s role is protected.","El rol %s está protegido."
"ACL Attribute Rules","Reglas de atributo ACL"
"ACL Attributes Information","Información de atributos ACL"
"Add","Añadir"
"Add Admin Role","Añadir rol de Admin"
"Add New Role","Añadir un nuevo rol"
"Address Type","Tipo de dirección"
"Admin","Admininstrador"
"Allow","Permitir"
"An error occurred while deleting the role.","Ocurrió un error al eliminar este rol."
"An error occurred while saving attribute rules.","Se produjo un error al guardar las regla del atributo."
"An error occurred while saving role.","Error al guardar este rol."
"Api Rules Information","Información sobre reglas Api"
"Assigned","Asignado"
"Associate to Website","Asociado al sitio web"
"Attribute Rules Information","Información de las reglas de atributos"
"Attribute Set","Conjunto de atributos"
"Attributes","Atributos"
"Automatically Return Credit Memo Item to Stock","Devolver automáticamente artículo de nota de crédito al stock"
"Back","Atrás"
"Backorders","Pedidos pendientes"
"Base Currency","Divisa base"
"Base Customer Balance","Slado de Cliente Base"
"Base Discount","Descuento Base"
"Base Discount Amount","Importe de descuento base"
"Base Item Subtotal","Subtotal del artículo base"
"Base Item Subtotal Including Tax","Subtotal del artículo base IVA incluido"
"Base Original Price","Precio Original base"
"Base Price","Precio base"
"Base Price Including Tax","Precio Base IVA incluido"
"Base Shipping","Envío Base"
"Base Shipping Discount","Descuento base de envío"
"Base Shipping Tax","Impuesto base de envío"
"Base Subtotal","Subtotal base"
"Base Subtotal Including Tax","Subtotal base IVA incluido"
"Base Tax Amount","Importe de impuesto base"
"Base Total Due","Base Total pendiente"
"Base Total Paid","Base Total pagado"
"Base Total Refunded","Base Total reembolsado"
"Buy Now URL","URL Comprar ahora"
"Can Be Divided into Multiple Boxes for Shipping","Se puede dividir en varias cajas para el envío"
"Canceled Qty","Cantidad cancelada"
"Catalog","Catálogo"
"Catalog Product","Artículos de la categoría"
"CatalogInventory","Inventario del Catálogo"
"Category ID","ID de categoría"
"City","Ciudad"
"Company","Empresa"
"Country","País"
"Coupon Code","Código de cupón"
"Create","Crear"
"Create Permanent Redirect for old URL","Crear redirección permanente para antigua URL"
"Created From","Crear desde"
"Customer","Cliente"
"Customer Address","Dirección del cliente"
"Customer Address ID","ID de Dirección del cliente"
"Customer Balance","Saldo del Cliente"
"Customer First Name","Nombre del cliente"
"Customer ID","ID del cliente"
"Customer Last Name","Apellido del cliente"
"Customer Middle Name","Nombre del cliente"
"Customer Prefix","Prefijo del cliente"
"Customer Suffix","Sufijo del cliente"
"Default Image","Imágen por defecto"
"Delete","Borrar"
"Deny","Denegar"
"Disable automatic group change based on VAT ID","Desactivar el cambio automático de grupo basado en ID de IVA"
"Discount","Descuento"
"Discount Amount","Importe de descuento"
"Discount Description","Descripción de descuento"
"Edit","Editar"
"Edit %s ACL attribute rules","Editar %s reglas de atributo ACL"
"Edit Role","Editar Rol"
"Edit attribute rules for %s Role","Editar atributo las reglas para %s rol"
"Email","Email"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Exclude","Excluir"
"File Content","Contenido del Archivo"
"File MIME Type","File MIME Type"
"File Name","Nombre de archivo"
"Final Price With Tax","Precio final con impuestos"
"Final Price Without Tax","Precio final sin impuestos"
"First Name","Nombre"
"Gift Message","Mensaje regalo"
"Grand Total","Total general"
"Grand Total to Be Charged","Importe total a cobrar"
"Group","Grupo"
"Guest","Invitado"
"Has Custom Options","Tiene Opciones Personalizadas"
"ID","ID"
"Inventory Data","Datos del inventario"
"Invoiced Qty","Cantidad facturada"
"Is Confirmed","Confirmado"
"Is Default Billing Address","Dirección de facturación por defecto"
"Is Default Shipping Address","Dirección de envío predeterminada"
"Item ID","ID del artículo"
"Item Subtotal","Subtotal del artículo"
"Item Subtotal Including Tax","Subtotal del artículo impuestos incluidos"
"Label","Etiqueta"
"Last Logged In","Última sesión iniciada"
"Last Name","Apellidos"
"Low Stock Date","Fecha de stock bajo"
"Manage Stock","Gestionar Stock"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima permitida en el carrito de compras"
"Minimum Qty Allowed in Shopping Cart","Cantidad Mínima Permitida en la Cesta de Compra"
"New Role","Nuevo rol"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"OAuth","OAuth"
"Order","Pedido"
"Order Addresses","Dirección del pedido"
"Order Comments","Comentarios del pedido"
"Order Currency","Moneda de pedido"
"Order Date","Fecha del pedido"
"Order ID","ID del pedido"
"Order ID (internal)","ID del pedido (interno)"
"Order Item ID","ID de artículo del pedido"
"Order Items","Artículos del pedido"
"Order Status","Estado de pedido"
"Ordered Qty","Cantidad pedida"
"Orders","Pedidos"
"Original Price","Precio original"
"Parent Order Item ID","Parent Order Item ID"
"Payment Method","Método de pago"
"Phone Number","Número de teléfono"
"Placed from IP","Realizado desde IP"
"Please enter a valid number in ""max_sale_qty"" field","Por favor, introduzca un número válido en el campo ""max_sale_qty"""
"Please enter a valid number in ""min_qty"" field","Por favor, introduzca un número válido en el campo ""min_qty"""
"Please enter a valid number in ""min_sale_qty"" field","Por favor, introduzca un número válido en el campo ""min_sale_qty"""
"Please enter a valid number in ""notify_stock_qty"" field","Por favor, introduzca un número válido en el campo ""notify_stock_qty"""
"Please use numbers only in ""category_id"" field.","Por favor use sólo números en el campo ""category_id""."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Por favor use números solamente en el campo ""qty_increments"". Por favor, evite espacios u otros caracteres como puntos o comas."
"Position","Posición"
"Price","Precio"
"Price Including Tax","Precio impuestos incluidos"
"Product","Producto"
"Product Category","Categoría del producto"
"Product ID","ID de artículo"
"Product Image","Imagen del Producto"
"Product Type","Tipo de producto"
"Product URL","URL del producto"
"Product Website","Sitio web del producto"
"Product and Custom Options Name","Nombre del producto y de las opciones personalizadas"
"Qty","Cantidad"
"Qty Increments","Incrementos de cantidad"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Qty for Item's Status to Become Out of Stock","Cantidad de artículos antes de estar fuera de existencia"
"REST - Attributes","REST - Atributos"
"REST - Roles","Roles REST"
"REST ACL Attributes","Atributos ACL REST"
"REST Attributes","REST - Atributos"
"REST Role","Rol REST"
"REST Roles","Roles REST"
"REST Roles Information","Información de Roles REST"
"Read","Leer"
"Refunded Qty","Cantidad reembolsada"
"Regular Price With Tax","Precio habitual con impuestos"
"Regular Price Without Tax","Precio habitual sin impuestos"
"Rest Roles","Roles Rest"
"Retrieve","Recuperar"
"Role ""%s"" no longer exists","Rol ""%s"" ya no existe"
"Role ""%s"" not found.","Rol ""%s"" no encontrado."
"Role API Resources","Recursos API de rol"
"Role Info","Información del rol"
"Role Information","Información del rol"
"Role Name","Nombre del Rol"
"Role Users","Usuarios del rol"
"Role has been deleted.","Rol ha sido borrado."
"Roles","Roles"
"SKU","SKU"
"Salability Status","Estado de vendibilidad"
"Sales","Ventas"
"Save","Guardar"
"Shipped Qty","Cantidad enviada"
"Shipping Amount","Importe del envío"
"Shipping Discount","Descuento de envío"
"Shipping Including Tax","Envío incluido impuestos"
"Shipping Method","Método de envío"
"Shipping Tax","Impuestos de envío"
"State","Estado"
"Stock Availability","Disponibilidad de stock"
"Stock ID","ID de stock"
"Stock Item","Artículo de stock"
"Stock Status","Estado de stock"
"Store Currency to Order Currency Rate","Store Currency to Order Currency Rate"
"Store Name","Nombre de la tienda"
"Street","Calle"
"Subtotal","Subtotal"
"Subtotal Including Tax","Subtotal incl. impuestos"
"System","Sistema"
"Tax Amount","Importe de impuestos"
"Tax Name","Nombre del impuesto"
"Tax Percent","Porcentaje de impuestos"
"Tax Rate","Tarifa de impuestos"
"The ""enable_qty_increments"" field must be set to 0 or 1.","El campo ""enable_qty_increments"" debe ser 0 o 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","El campo ""is_decimal_divided"" debe ser 0 o 1."
"The ""is_in_stock"" field must be set to 0 or 1.","El campo ""is_in_stock"" debe ser 0 o 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","El campo ""is_qty_decimal"" debe ser 0 o 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","El campo ""is_qty_decimal"" debe ser 0, 1 o 2."
"The ""manage_stock"" field must be set to 0 or 1.","El campo ""manage_stock"" debe ser 0 o 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","El campo ""stock_status_changed_auto"" debe ser 0 o 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","El campo ""use_config_backorders"" debe ser 0 o 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","El campo ""use_config_enable_qty_inc"" debe ser 0 o 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","El campo ""use_config_manage_stock"" debe ser 0 o 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","El campo ""use_config_max_sale_qty"" debe ser 0 o 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","El campo ""use_config_min_qty"" debe ser 0 o 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","El campo ""use_config_min_sale_qty"" debe ser 0 o 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","El campo ""use_config_notify_stock_qty"" debe ser 0 o 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","El campo ""use_config_qty_increments"" debe ser 0 o 1."
"The attribute rules were saved.","Las reglas de atributo se han guardado."
"The role has been saved.","El rol se ha guardado."
"The role is a special one and not for assigning it to admin users.","El rol es uno especial y no se puede asignar a los usuarios admin."
"Total Due","Total de deuda"
"Total Paid","Total pagado"
"Total Refunded","Total reembolsado"
"Total Reviews Count","Total Reviews Count"
"Type","Tipo"
"URL","URL"
"Update","Actualizar"
"Use Config Settings for Allow Gift Message","Use Config Settings for Allow Gift Message"
"Use Config Settings for Allow Gift Wrapping","Use Config Settings for Allow Gift Wrapping"
"Use Config Settings for Backorders","Use Config Settings for Backorders"
"Use Config Settings for Enable Qty Increments","Use Config Settings for Enable Qty Increments"
"Use Config Settings for Manage Stock","Use Config Settings for Manage Stock"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Use Config Settings for Maximum Qty Allowed in Shopping Cart"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Use Config Settings for Minimum Qty Allowed in Shopping Cart"
"Use Config Settings for Notify for Quantity Below","Use Config Settings for Notify for Quantity Below"
"Use Config Settings for Qty Increments","Use Config Settings for Qty Increments"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Use Config Settings for Qty for Item's Status to Become Out of Stock"
"User Type","Tipo de usuario"
"User type ""%s"" no longer exists","Tipo de usuario ""%s"" ya no existe"
"User type ""%s"" not found.","Tipo de usuario ""%s"" no encontrado."
"Web Services","Servicios Web"
"Web services","Servicios Web"
"Write","Escribir"
"ZIP/Postal Code","Código Postal"
