"Action","Acción"
"An error occurred while creating the backup.","Se ha producido un error al crear la copia de seguridad."
"An error occurred while writing to the backup file ""%s"".","Error al escribir en el archivo de copia de seguridad ""%s""."
"Are you sure you want to delete the selected backup(s)?","¿Está seguro de que quiere eliminar la(s) copia(s) de seguridad seleccionada(s)?"
"Backup Type","Tipo de copia de seguridad"
"Backup file ""%s"" cannot be read from or written to.","No se puede leer ni escribir en el archivo de copia de seguridad ""%s""."
"Backup file ""%s"" does not exist.","La copia de seguridad ""%s"" no existe."
"Backup file does not exist.","La copia de seguridad no existe."
"Backup file handler was unspecified.","Controlador de copia de seguridad no especificado."
"Backup file not found","Archivo de copia de seguridad no encontrado"
"Backup file path was not specified.","No se especificó la ruta de la copia de seguridad."
"Backups","Copias de seguridad"
"Cannot read backup file.","No puede leer el archivo de copia de seguridad."
"Create Backup","Crear copia de seguridad"
"Database","Base de datos"
"Database Backup","Copia de seguridad de la base de datos"
"Database and Media","Base de datos y archivos multimedia"
"Database and Media Backup","Copia de seguridad de la base de datos y de los archivos multimedia"
"Database was successfuly backed up.","Copia de seguridad de la base de datos realizada con éxito."
"Download","Descargar"
"Enable Scheduled Backup","Activar copia de seguridad programada"
"Failed to connect to FTP","Error al conectar a FTP"
"Failed to delete one or several backups.","Error al eliminar una o varias copias de seguridad."
"Failed to rollback","La restauración ha fallado"
"Failed to validate FTP","Ha fallado la validación FTP"
"Frequency","Frecuencia"
"Invalid Password.","Contraseña no válida."
"Maintenance Mode","Modo de mantenimiento"
"Name","Nombre"
"Not enough free space to create backup.","Necesita más espacio libre para crear una copia de seguridad."
"Not enough permissions to create backup.","Necesita más permisos para crear una copia de seguridad."
"Not enough permissions to perform rollback","Necesita más permisos para realizar una restauración"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Por favor, desmarca la casilla de ""Poner tienda en el modo de mantenimiento"" o actualiza los permisos para proceder a la copia de seguridad."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Por favor, desmarca la casilla de ""Poner tienda en el modo de mantenimiento"" o actualiza los permisos para proceder a la restauración."""
"Put store on the maintenance mode while backup's creation","Poner tienda en el modo de mantenimiento mientras se hace la copia de seguridad"
"Rollback","Restaurar"
"Scheduled Backup Settings","Configuración de copia de seguridad programada"
"Size, Bytes","Tamaño, en Bytes"
"Start Time","Tiempo de inicio"
"System","Sistema"
"System (excluding Media)","Sistema (excluyendo los archivos multimedia)"
"System Backup","Copia de seguridad del sistema"
"System couldn't put store on the maintenance mode","El sistema no pudo poner la tienda en el modo de mantenimiento"
"The database and media backup has been created.","La copia de seguridad multimedia y de la base de datos se han creado."
"The database backup has been created.","Se ha creado la copia de seguridad de la base de datos."
"The file was compressed with Zlib, but this extension is not installed on server.","El archivo fue comprimido con Zlib, pero esta extensión no está instalada en el servidor."
"The selected backup(s) has been deleted.","Se han eliminado la(s) copia(s) de seguridad seleccionada(s)."
"The system (excluding Media) backup has been created.","Se ha creado la copia de seguridad del sistema (excluyendo archivos multimedia)."
"The system backup has been created.","Se ha creado la copia de seguridad del sistema."
"Time","Hora"
"Type","Tipo"
"Unable to create backup. Please, try again later.","No se pudo crear la copia de seguridad. Por favor, inténtalo más tarde."
"Unable to save the cron expression.","No se puede guardar la expresión de cron."
"Wrong order of creation for new backup.","Orden de la creación para el nuevo backup incorrecto."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","No tiene permisos suficientes para activar el Modo de Mantenimiento durante esta operación."
