"%s was added to your shopping cart.","%s fue agregado a tu carrito de compras."
"%s was updated in your shopping cart.","%s fué actualizado a su carrito de compras."
"(Excl. Tax)","(Impuesto no incluido)"
"(Incl. Tax)","(Impuesto incluido)"
"* Required Fields","* Campos obligatorios"
"Add New Address","Añadir nueva dirección"
"Add New Condition","Agregar condición"
"Add coupon code for shopping cart","Agregar cupón al carrito de compras"
"Add gift messages to shopping cart","Agregar mensaje de regalo al carrito de compras"
"Add product to shopping cart","Agregar producto al carrito de compras"
"Add product(s) to shopping cart","Agregar producto/s al carrito de compras"
"Add to Cart","Agregar al carrito"
"Add to Compare","Comparar"
"Add to Wishlist","Agregar a deseados"
"Additional Product Info","Información adicional del producto"
"Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"After Adding a Product Redirect to Shopping Cart","Después de agregar un producto re dirigir al carrito de compras"
"Allow Guest Checkout","Comprar como invitado"
"Already registered?","¿Ya estás registrado?"
"An error occurred in the process of payment","Se produjo un error en el proceso de pago"
"An error occurred while deleting this condition.","Se produjo un error al eliminar esta condición."
"An error occurred while saving this condition.","Se produjo un error al guardar esta condición."
"Apply","Aplicar"
"Apply Coupon","Aplicar cupón"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","¿Está seguro que desea salir de esta página? Usted tendrá que volver a través de los pasos de compra."
"Are you sure you would like to remove this item from the shopping cart?","¿Está seguro de querer eliminar este artículo de su lista?"
"Back","Atrás"
"Back to Billing Information","Volver a información de facturación"
"Back to Select Addresses","Volver a dirección de envío"
"Back to Shipping Information","Volver a información de envío"
"Back to Shopping Cart","Volver al carrito de compras"
"Based on your selection, you may be interested in the following items:","Basado en su selección, usted puede ser interesado en los siguientes artículos:"
"Billing Address","Dirección de facturación"
"Billing Information","Información de facturación"
"Billing Information - %s","Información de facturación - %s"
"Can not remove the item.","El artículo no puede ser eliminado."
"Can not save item.","No se pueden guardar el item."
"Cancel","Cancelar"
"Cancel Coupon","Cancelar el cupón"
"Cannot add item to the shopping cart.","No se puede añadir artículo al carrito de compras."
"Cannot add the item to shopping cart","No se puede agregar el artículo al carrito de compras"
"Cannot add the item to shopping cart.","No se puede agregar el artículo al carrito de compras."
"Cannot apply the coupon code.","No se puede aplicar el código de descuento."
"Cannot configure product.","No se puede configurar el artículo."
"Cannot open the overview page","No se puede abrir la página de Resumen"
"Cannot process the item.","No se puede procesar el artículo."
"Cannot remove the item.","El artículo no puede ser eliminado."
"Cannot update shopping cart.","No podemos actualizar el carrito."
"Cannot update the item.","No se puede actualizar el artículo."
"Card Verification Number Visual Reference","Referencia visual de número de verificación de tarjeta"
"Cart","Carrito de compras"
"Cart Product API","Carrito de compras API"
"Cart Subtotal:","Subtotal de ventas:"
"Change","Cambio"
"Change Billing Address","Cambiar la dirección de facturación"
"Checkbox Text","Texto del Checkbox"
"Checkout","Pago"
"Checkout Conditions","Condiciones de pago"
"Checkout Forms Extra","Formulario Extra de Pago"
"Checkout Method","Método de Pago"
"Checkout Options","Opciones para el proceso de pago"
"Checkout Progress Wrapper","Wrapper del Proceso de Checkout"
"Checkout Section","Sección de Pago"
"Checkout Terms and Conditions","Términos y condiciones de pago"
"Checkout as Guest","Realizar pedido como visitante"
"Checkout as a Guest or Register","Comprar como visitante o registrarse"
"Checkout with Multiple Addresses","Finalizar compra con multiples direcciones"
"City","Ciudad"
"Clear Shopping Cart","Vaciar el carrito"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Haga clic en <a href=""%s"" onclick=""this.target=\'_blank\'""> aquí para imprimir </a> una copia de la confirmación de su pedido."
"Click <a href=""%s"">here</a> to continue shopping.","Haga clic <a href=""%s""> aquí</a> para continuar comprando."
"Close","Cerrar"
"Company","Empresa"
"Condition Name","Nombre de la condición"
"Configurable Product Image","Imagen de producto configurable"
"Configure Cart Item","Configurar Item del Carrito"
"Confirm Password","Confirmar contraseña"
"Content","Contenido"
"Content Height","Altura del contenido"
"Content Height (css)","Content Height (css)
"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar a información de envío"
"Continue to Review Your Order","Ir a revisar su pedido"
"Continue to Shipping Information","Ir a información del despacho"
"Country","País"
"Coupon code ""%s"" is not valid.","El cupón ""%s"" no es válido."
"Coupon code ""%s"" was applied.","Se aplicó el código de cupón ""%s""."
"Coupon code was canceled.","El código de descuento ha sido cancelado."
"Create Billing Address","Crear la dirección de facturación"
"Create Shipping Address","Crear la dirección de envío"
"Create an order from shopping cart","Reordenar desde compra anterior"
"Create shopping cart","Crear nuevo carrito "
"Customer Address is not valid.","La dirección del cliente no es válida."
"Customer Information","Información del cliente"
"Customer's information","Información del cliente"
"Data saving problem","Hay un problema de guardar los datos"
"Default Billing","Facturación predeterminada"
"Default Shipping","Envío predetermindado"
"Delete Condition","Condición de Eliminado"
"Details","Detalles"
"Disabled","Deshabilitado"
"Discount Codes","Códigos de descuento"
"Display Cart Summary","Mostrar Resumen del Carrito"
"Display Shopping Cart Sidebar","Mostrar carrito de compras en barra lateral"
"Display item quantities","Mostrar las cantidades de artículo"
"Display number of items in cart","Mostrar el número de artículos en el carrito"
"Display number of items in wishlist","Mostrar número de elementos en lista de deseos"
"Easy access to your order history and status","Fácil acceso a su historial de pedidos y estado"
"Edit","Editar"
"Edit Address","Editar dirección"
"Edit Billing Address","Modificar dirección de facturación"
"Edit Condition","Editar condición"
"Edit Items","Editar ítems"
"Edit Shipping Address","Modificar dirección de envío"
"Edit Terms and Conditions","Editar términos y condiciones"
"Edit Your Cart","Editar carrito de compras"
"Edit item","Editar artículo"
"Edit item parameters","Editar parámetros del artículo"
"Email Address","Dirección de email"
"Empty Cart","Carrito vacío"
"Empty Shopping Cart Content Before","Antes Vaciar Contenido del Carrito"
"Enable Onepage Checkout","Habilitar Checkout en una sola página"
"Enable Terms and Conditions","Habilitar términos y condiciones"
"Enabled","Habilitado"
"Enter a New Address","Ingrese otra dirección"
"Enter your coupon code if you have one.","Ingrese su cupón si posee uno."
"Enter your destination to get a shipping estimate.","Ingrese su destino para obtener un precio estimado de envío."
"Estimate","Estimado"
"Estimate Shipping and Tax","Estimado de envío e impuestos"
"Excl. Tax","Impuestos no incluídos"
"Fast and easy check out","Rápido y sencillo proceso de compra"
"Fax","Fax"
"Forgot an Item?","¿Ha olvidado un producto?"
"Forgot your password?","¿Olvidó su contraseña?"
"Get a Quote","Obtenga una cotización"
"Get list of available payment methods","Obtener lista de métodos de pago disponibles"
"Get list of available shipping methods","Obtener lista de métodos de envío disponibles"
"Get list of products in shopping cart","Obtener lista de productos en el carrito de compras"
"Get terms and conditions","Términos y Condiciones"
"Get total prices for shopping cart","Total para carrito de compras"
"Gift Message","Mensaje regalo"
"Grand Total:","Total general:"
"Grouped Product Image","Imagen de artículos agrupados"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. impuestos"
"Invalid checkout type.","Tipo de checkout inválido."
"Invalid data.","Datos inválidos."
"Invalid email address ""%s""","La dirección de correo electrónico ""%s"" es inválida"""
"Invalid method: %s","Método inválido: %s"
"Invalid shipping method.","Método de envío no válido."
"Item not found or already ordered","El artículo no fue encontrado o ya fue ordenado"
"Item was removed successfully.","Item eliminado correctamente"
"Item was updated successfully.","Item actualizaddo correctamente"
"Items","Items"
"Items After","Después de artículos"
"Items Before","Antes de articúlos"
"Load customer quote error","Error en la carga del pedido del cliente"
"Loading next step...","Cargando paso siguiente..."
"Login","Iniciar sesión"
"Login/Registration Before","Antes de Inicio de sesión y registro"
"Manage Terms and Conditions","Editar términos y condiciones"
"Maximum Display Recently Added Item(s)","Visualización maxima de artículos agregados recientemente"
"Maximum qty allowed for Shipping to multiple addresses is %s","Cantidad máxima permitida para envío a varias direcciones es %s"
"Mini-cart promotion block","Bloque de promociones en el mini carrito"
"Minimum order amount is %s","El pedido mínimo es de %s"
"Move","Mover"
"Move to Wishlist","Mover a lista de deseos"
"Move to wishlist","Mover a lista de deseos"
"Multishipping Checkout","Checkout con multiples envíos"
"Multishipping Checkout Address (Any) Form","Checkout con Multiples Envíos: Formulario"
"Multishipping Checkout Billing Address Creation","Checkout con Multiples Envíos: Creación de Dirección"
"Multishipping Checkout Billing Address Edit Form","Checkout con Multiples Envíos: Formulario de edición de Dirección"
"Multishipping Checkout Billing Address Selection","Checkout con Multiples Envíos: Selección de Dirección"
"Multishipping Checkout Billing Information Step","Checkout con Multiples Envíos: Paso de Información"
"Multishipping Checkout Customer Address Edit Form","Checkout con Multiples Envíos: Formulario de edición de dirección"
"Multishipping Checkout Overview","Checkout con Multiples Envíos: Resumen "
"Multishipping Checkout Shipping Address Creation","Checkout con Multiples Envíos: Creación de Dirección"
"Multishipping Checkout Shipping Address Edit Form","Bezahlvorgang mit mehreren Versandadressen - Versandanschrift bearbeiten"
"Multishipping Checkout Shipping Address Selection","Checkout con Multiples Envíos: Selección de Dirección"
"Multishipping Checkout Shipping Information Step","Bezahlvorgang mit mehreren Versandadressen - Versandanschrift anzeigen"
"Multishipping Checkout Success","Checkout con Multiples Envíos Exitoso "
"My Cart","Mi carrito"
"My Cart (%s item)","Mi carrito (%s  producto)"
"My Cart (%s items)","Mi carrito (%s  producto)"
"My Cart Extra Actions","Acciones extra de Mi Carrito"
"My Cart Link","Enlace al Carrito"
"New Address","Nueva dirección"
"New Condition","Nueva condición"
"New Terms and Conditions","Nuevos términos y condiciones"
"No Payment Methods","No hay métodos de pago"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","TOTAL DEL PEDIDO SE MOSTRARÁ ANTES DE ENVIAR LA ORDEN"
"One Page Checkout","Checkout en una Página"
"One Page Checkout Failure","Fallo en Checkout en una Página"
"One Page Checkout Overview","Detalle del Checkout en una Página"
"One Page Checkout Success","Exito del Checkout en una Página"
"One item of products do not have identifier or sku","Un artículo no tienen identificador o sku"
"One item of products is not belong any of quote item","Un artículo no pertenece a ningún item de pedido"
"Order #","Pedido nº "
"Order Review","Revisión de la Orden"
"Order Success","Órden Exitosa"
"Order place error.","Error al colocar pedido."
"Other Items in Your Order","Otros artículos en su pedido"
"Overview Items After","Antes Revisar Artículos"
"Password","Contraseña"
"Payment Failed Email Reciever","Receptor de Email de Pagos Fallidos"
"Payment Failed Email Sender","Emisor de Email de Pagos Fallidos"
"Payment Failed Emails","Email de Pagos Fallidos"
"Payment Failed Template","Tempalte de Pago Fallido "
"Payment Information","Información de pago"
"Payment Method","Método de pago"
"Payment Methods After","Antes del Método de pago"
"Payment Methods After Checkout Button","Forma de pago después de botón pagar"
"Payment Methods Before","Antes del Método de pago"
"Payment Methods Before Checkout Button","Forma de pago después de botón pagar"
"Payment method information","Descripción del método de pago"
"Payment method is not defined","Método de pago no está definido"
"Payment methods in shopping cart","Métodos de pago en el carrito de compras"
"Payment profile # %s: ""%s"".","Perfil de pago # %s: ""%s""."
"Place Order","Realizar pedido"
"Please agree to all Terms and Conditions before placing the order.","Por favor, acepte todos los Términos y Condiciones antes de realizar los pedidos."
"Please agree to all Terms and Conditions before placing the orders.","Por favor, acepte todos los Términos y Condiciones antes de realizar los pedidos."
"Please agree to all the terms and conditions before placing the order.","Por favor, acepte todos los Términos y Condiciones antes de realizar los pedidos."
"Please check billing address information.","Por favor, compruebe la dirección de facturación."
"Please check shipping address information.","Por favor compruebe la información de la dirección de envío."
"Please check shipping addresses information.","Por favor compruebe la información de la dirección de envío."
"Please choose to register or to checkout as a guest","Por favor, elija registrarse o seguir como invitado"
"Please log in below:","Inicia sesión a continuación:"
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Please select shipping address for applicable items","Por favor, seleccione una dirección de envío para los artículos aplicables"
"Please select shipping methods for all addresses","Por favor seleccione métodos de envío para todas las direcciones"
"Please select valid payment method.","Por favor, seleccione un modo de pago válido."
"Please specify payment method.","Por favor, especifique el método de pago."
"Please specify shipping method.","Por favor, especifique el método de envío."
"Please specify shipping methods for all addresses.","Por favor seleccione métodos de envío para todas las direcciones."
"Price","Precio"
"Proceed to Checkout","Tramitar pedido"
"Product","Artículo"
"Product Name","Nombre del artículo"
"Products","Artículos"
"Qty","Cant"
"Qty:","Cant:"
"Quantity","Cantidad"
"Quantity was recalculated from %d to %d","Cantidad se recalculó de %d a %d"
"Quote Lifetime (days)","Duración del carrito (días)"
"Quote item does not exist.","El elemento no existe."
"Quote item is not found.","El artículo indicado no existe."
"Recently added item(s)","Artículos añadidos recientemente"
"Register","Registrar"
"Register and save time!","¡Regístrese y ahorre tiempo!"
"Register to Create an Account","Registrarse para crear una cuenta"
"Register with us for future convenience:","Regístrese con nosotros para mayor comodidad en el futuro:"
"Remove Item","Eliminar elemento"
"Remove This Item","Eliminar este artículo"
"Remove coupon code from shopping cart","Remover cupón del carrito de compras"
"Remove item","Eliminar artículo"
"Remove product from shopping cart","Remover Item del carrito de compras"
"Remove product(s) from shopping cart","Remover Items del carrito de compras"
"Require Customer To Be Logged In To Checkout","Iniciar Sesión es Requerido para Hacer Checkout"
"Retrieve information about shopping cart","Recuperar información acerca del carrito de compras"
"Review Order","Revise su pedido"
"Review Order - %s","Revisar pedido - %s"
"SKU","SKU"
"Sales","Ventas"
"Save Condition","Condición de Salvado"
"Save in address book","Añadir a la libreta de direcciones"
"See price before order confirmation.","Ver precio antes de la confirmación del pedido."
"Select Address","Seleccionar dirección"
"Select Addresses","Seleccione direcciones"
"Select Shipping Method","Seleccione un método de envío"
"Select State/Province...","Seleccionar estado/provincia..."
"Select a billing address from your address book or enter a new address.","Seleccionar una dirección de facturación de su agenda o introducir una dirección nueva."
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío de su libreta de direcciones o introduzca una nueva dirección."
"Send Payment Failed Email Copy Method","Enviar Copia de  Pago Fallido via Email"
"Send Payment Failed Email Copy To","Enviar Copia de  Pago Fallido via Email a"
"Send To","Enviar a"
"Separate by "","".","Separados por "",""."
"Set customer for shopping cart","Configurar cliente para carrito de compras"
"Set customer's addresses in shopping cart","Configurar direcciones de cliente en el carrito de compras"
"Set payment method","Seleccionar método de pago"
"Set shipping method","Seleccionar método de envío"
"Ship to Multiple Addresses","Permitir envío a varias direcciones"
"Ship to different address","Enviar a una dirección diferente"
"Ship to this address","Enviar a esta dirección"
"Shipping Address","Dirección de envío"
"Shipping Information","Información de envío"
"Shipping Method","Método de envío"
"Shipping Methods","Métodos de envío"
"Shipping To","Enviar a "
"Shipping information","Información de envío"
"Shipping method has not been selected yet","El método de envío aún no ha sido seleccionado"
"Shipping methods in shopping cart","Métodos de pago en el carrito de compras"
"Shipping selection is not applicable.","Envío seleccionado no está disponible."
"Shopping Cart","Carrito de compras"
"Shopping Cart Form Before","Formulatrio de Carrito Antes de"
"Shopping Cart Items After","Productos en el Carrito Depues de"
"Shopping Cart Items Before","Formulatrio de Carrito Antes de"
"Shopping Cart Sidebar","Barra lateral del carrito de compras"
"Shopping Cart Sidebar Extra Actions","Acciones Extra en Carrito en Barra Lateral"
"Shopping Cart is Empty","El carrito de compras está vacío"
"Shopping cart ability to set coupon code","Habilidad de insertar cupón al carrito de compras"
"Show Content as","Mostrar contenido como"
"Some of the requested products are not available in the desired quantity.","Algunos de los artículos no están disponibles en la cantidad requerida."
"Some of the requested products are unavailable.","Algunos de los productos solicitados no están disponibles."
"Some products quantities were recalculated because of quantity increment mismatch","Algunas cantidades de productos se volvieron a calcular debido a la falta de concordancia en el incremento de la cantidad"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Lo sentimos, pedido como invitado no esta disponible. Por favor, inténtelo de nuevo o póngase en contacto con soporte."
"Sorry, no quotes are available for this order at this time.","Lo sentimos, no hay cotizaciones disponibles para este pedido en este momento."
"State/Province","Estado/provincia"
"Status","Progreso"
"Store View","Vista de la tienda"
"Street Address","Calle"
"Street Address %s","Calle %s"
"Submitting order information...","Enviando la información del pedido..."
"Subtotal","Subtotal"
"Subtotal must exceed minimum order amount","Subtotal debe ser mayor a la cantidad de orden mínima"
"Telephone","Teléfono"
"Terms and Conditions","Términos y Condiciones"
"Terms and Conditions Information","Términos y condiciones Información"
"Terms and conditions","Términos y Condiciones"
"Text","Texto"
"Thank you for your purchase!","Gracias por su compra!"
"The condition has been deleted","La condición ha sido eliminada"
"The condition has been saved.","La condición se ha guardado."
"The onepage checkout is disabled.","El Checkout en una sola página ha sido deshabilitado."
"The product could not be found.","No se encontró el artículo."
"The product does not exist.","El producto no existe."
"There are <a href=""%s"">%s items</a> in your cart.","Hay <a href=""%s""> %s artículos</a> en su carrito."
"There is <a href=""%s"">1 item</a> in your cart.","Hay <a href=""%s""> 1 artículo</a> en su carrito."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Ya hay un cliente registrado que usa esta dirección de correo electrónico. Inicie sesión con esta dirección de correo electrónico o introduzca una dirección de correo electrónico diferente para registrar su cuenta."
"There was an error processing your order. Please contact us or try again later.","Se produjo un error en el proceso de su pedido. Contacte con nosotros o inténtelo más tarde."
"This condition no longer exists.","Esta condición ya no existe."
"Total","Total"
"Total for this address","Total para esta dirección"
"Unable to set Payment Method.","No se puede establecer forma de pago."
"Unit Price","Precio por unidad"
"Update","Actualizar"
"Update Cart","Actualizar carrito"
"Update Qty &amp; Addresses","Actualizar cantidad y direcciones"
"Update Shopping Cart","Actualizar carrito"
"Update Total","Actualizar Total"
"Update product quantities in shopping cart","Actualización de cantidades en el carrito de compras"
"Update product(s) quantities in shopping cart","Actualización de cantidades en el carrito de compras"
"Use Billing Address","Usar la dirección de facturación"
"VAT Number","Número de IVA"
"View Shopping Cart","Ver Carrito"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su solicitud y pronto recibirás un correo electrónico con los detalles de la orden. Una vez que ha enviado la orden usted recibirá otro correo con un link de seguimiento."
"What&#39;s this?","Acerca de nosotros."
"What's this?","¿Qué es esto?"
"You have no items in your shopping cart.","No tienes ningún producto en tu carrito."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá un correo electrónico de confirmación del pedido con detalles de su pedido y un enlace para realizar un seguimiento de su progreso."
"Your Checkout Progress","El progreso de la compra"
"Your billing agreement # is: %s.","El código de pago es: %s."
"Your order # is: %s.","Su nº de pedido es: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Su pedido no puede completarse en este momento ya que hay no hay métodos de pago disponibles para él."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Su pedido no puede completarse en este momento ya que no hay ningún método de envío disponible para él. Haga cambios en su dirección de envío."
"Your order has been received.","Su pedido ha sido recibido."
"Your order number is ","Su número de orden es "
"Your recurring payment profiles:","Su perfil de pago recurrente es:"
"Zip/Postal Code","Código postal"
"ok","aceptar"
"or","o"
"View Cart","Ver carrito"
"Qty","Cantidad"
"Grand Total","Gran total"
"Subscribe newsletter","Suscribirse al boletín informativo"
"Show","Mostrar"
"Item in your order","Artículo en su orden"
