Search through posts...,Wyszukaj w obrazach...
Search,Wyszukaj
Created At,Stworzone 
Created By,Stworzone przez
Added By,Dodane przez
Posted By,Opublikowane przez
Posted,Opublikowano
Read more,Czytaj wi?cej
Read More,Czytaj wi?cej
Posted in,Opublikowano
By:,Przez:
By,Przez
Bookmark with,Zak?adka z
Save Post,Zapisz wpis
Save And Continue Edit,Zapisz i contynuuj edycj?
Duplicate Post,Powiel post
List Layout Styling,Styl uk?adu listy
View Layout Styling,Zobacz stylizacj? uk?adu
Featured Image is to small. Please upload a bigger image.,Pomocniczy obraz jest za ma?y. Prosz? wgrac wi?kszy obraz.
Image smaller than 450px width will be deleted,Obraz o szerokości mniejszej niż 450 pikseli zostanie usunięty
How many blocks to show,Ile blok�w pokaza?
Categories to show,Katewgorie do pokazania
Show Post Details,Poka? szczeg�?y wpisu
Show Post User,Pokaż użytkownika posta
Display as slider on mobile,Wy?wietlaj jako suwak na telefonie kom�rkowym
Add Post,Dodaj post
Post information,Publikuj informacje
Featured Image,Przedstawiony obraz
Enable for Specific Customer Group,Włącz dla określonej grupy klientów
Enable Comments,Włącz komentarze
Short Content,Krótka treść
Hidden pages won't be shown in blog but still can be accessed directly,Ukryte strony nie będą wyświetlane na blogu, ale nadal można uzyskać do nich bezpośredni dostęp
Disabling will close the post to new comments,Wyłączenie spowoduje zamknięcie wpisu do nowych komentarzy
Use comma as separator,Użyj przecinka jako separatora
Advanced Post Options,Zaawansowane opcje postów
Poster,Plakat
Created on,Utworzono w dniu
Leave blank to use current user name,Pozostaw puste, aby użyć bieżącej nazwy użytkownika
Advanced Options,Zaawansowane opcje
Created,Stworzony
Post Title,Tytuł postu
Link to Post,Link do posta
Unapprove,Odrzuć
Approve,Zatwierdzać
