"%s file is not uploaded ok. Please try again!","%s nie wgrał się poprawnie. Spróbuj ponownie!"
"%s file type is not allowed. Allowed file types: %s.","%s typ pliku jest niedozwolony. Dozwolony typ plików: %s."
"%s is not valid.","%s jest nieważny."
"%s saved successfully. %s","%s zapisany pomyślnie"
"%s upload error!","%s błąd wgrywania"
"%s upload successfully.","%s wgrany pomyślnie"
"Advanced Customise Design","Zaawansowane dostosowanie designu"
"Auto","Automatycznie"
"capitalize","Duże litery "
"Categories Menu","Menu kategorii"
"Change template","Zmień szablon"
"Clear Grunt Log File","Wyczyść pliki Grunt Log"
"Customise Design","Dostosuj design"
"Customise Layout","Dostosuj układ"
"Default Theme","Domyślny motyw"
"Do you really want to clear the Grunt log files?","Czy na pewno chcesz wyczyścić pliki Grunt Log?"
"Do you really want to reset the image? Previous image will be deleted!","Czy na pewno chcesz zresetowś obraz? Poprzedni obraz zostanie skasowany!"
"Do you really want to switch to advanced mode?","Czy na pewno chcesz przejść do ustawień zaawansowanych?"
"Do you really want to switch to simple mode?","Czy na pewno chcesz przejść do ustawień standardowych?"
"Enter value","Wpisz wartość"
"Error occurred while resetting image %s to %s. Please try again later.","Błąd podczas resetowania obrazu %s na %s. Spróbuj ponownie."
"Final CSS","Ostateczny CSS"
"Final CSS cannot be saved.","Ostateczny CSS nie może zostac zapisany"
"Final CSS saved successfully.","Ostateczny CSS zapisany pomyślnie"
"Grunt Images Logs","Grunt Log obrazów"
"Grunt images logs file cleared!","Grunt obrazów został wyczyszczony!"
"Grunt images logs file doesn't exist or is not writable!","Plik Grunt obrazów nie istnieje lub jest niedostępny!"
"Grunt images logs file doesn't exist or is not writable!","Plik Grunt obrazów nie istnieje lub jest niedostępny!"
"Grunt Logs","Grunt Log"
"Grunt logs file cleared!","Plik Grunt Log został wyczyszczony!"
"Grunt logs file doesn't exist or is not writable!","Plik Grunt Log nie istnieje lub jest niedostępny!"
"Grunt logs file doesn't exist or is not writable!","Plik Grunt Log nie istnieje lub jest niedostępny!"
"Image %s does not exist in default theme folder (%s).","Obraz %s nie istnieje w domyślnym folderze (%s)."
"Image %s successfully restored to %s.","Obraz %s pomyślnie przywrócony do %s."
"Images","Obrazy"
"inherit","Przekazanie"
"Inherit from","Przekaż z"
"It was restored to %s.","Zostało przywrócone do %s."
"Layout Options","Opcje układu"
"Logs","Logarytm"
"lowercase","małe litery"
"No Grunt logs file is set or the file doesn't exist","Żaden plik Grunt log nie został wybrany lub plik nie istnieje"
"No Scss variable definition in file.","Brak definicji zmiennej Scss w pliku"
"No specification CSS file is set on the default theme.","Żaden plik specifikacji CSS nie został ustawiony na domyślnym motywie"
"No specification Layout file is set on the default theme.","Żaden plik specifikacji układu nie został ustawiony na domyślnym motywie"
"No specification Scss file is set on the default theme.","Żaden plik specifikacji Scss nie został ustawiony na domyślnym motywie"
"Read details","Przeczytaj szczegóły "
"Reset to default","Zresetuj do domyślnych ustawień"
"Scss_Variable_Border_Style","Styl"
"Scss_Variable_Border_Width","Szerokość"
"Scss_Variable_Font_Family","Styl"
"Scss_Variable_Font_Line_Height","Wysokość linii"
"Scss_Variable_Font_Size","Rozmiar"
"Scss_Variable_Font_Style","Styl"
"Scss_Variable_Font_Text_Decoration","Dekoracja tekstu"
"Scss_Variable_Font_Text_Transform","Transformacja tekstu"
"Scss_Variable_Font_Weight","Grubość czcionki"
"Scss_Variable_Margin_Bottom","Dół"
"Scss_Variable_Margin_Left","Lewo"
"Scss_Variable_Margin_Right","Prawo"
"Scss_Variable_Margin_Top","Góra"
"Scss_Variable_Padding_Bottom","Dół"
"Scss_Variable_Padding_Left","Lewo"
"Scss_Variable_Padding_Right","Prawo"
"Scss_Variable_Padding_Top","Góra"
"Scss_Variable_Size_Width","Szerokość"
"Scss_Variable_Size_Height","Wysokość"
"Styling","Stylizacja"
"Switch to Advanced Mode","Przejdź do trybu zaawansowanego"
"Switch to Simple Mode","Przejdź do trybu standardowego"
"Template","Szablon"
"Uploaded image %s is too small for dimensions %sx.","Wgrany obraz %s jest za mały dla wymairów %sx."
"Uploaded image: cannot determine uploaded image size.","Wgrany obraz: nie można ustalić rozmiaru obrazu."
"View Images Log File","Zobacz Log plik obrazów"
"View Log File","Zobacz Log plik"
"Your CSS code here","Twój kod CSS tutaj"
"Your layout and color settings will be overwritten by the template. Do you really want to lose your settings?","Twój ukad i ustawienia koloru będą zamienione na szablonowe. Czy na pewno chcesz utracic swoje ustawienia?"
"Export/Import","Export/Import"
"layout/title/product_list_filters_heigth","Ustaw wysokość dla filtrów"
"layout/title/product_list_show_empty_reviews","Pokaż puste recenzje"
