"image/title/page_favicon","Ikona ulubionych"
"image/title/page_brand_logo","Logo Firmy"
"image/title/page_brand_logo_email","Logo Firmy Email"
"image/title/page_background-image","Tło storny"
"image/title/page-footer__marketing-box--shipping__before","Stopka box marketingowy lewy"
"image/title/page-footer__marketing-box--support__before","Stopka box marketingowy środkowy"
"image/title/page-footer__marketing-box--newsletter__before","Stopka box marketingowy newsletter"
"image/title/add-to-links__wishlist_background-image","Ikona Lista życzeń"
"image/title/add-to-links__compare_background-image","Ikona Porównaj"
"image/title/mini-cart__link__after","Ikona Mini-koszyk"
"image/title/mini-cart__link--hover__after","Ikona Mini-koszyk po najechaniu kursorem "
"image/title/mini-search__button_background-image","Ikona Mini-wyszukiwarka"
"image/title/mini-search__button--hover_background-image","Ikona Mini-wyszukiwarka po najechaniu kursorem "
"image/title/mini-profile__link_background-image","Ikona Mini-profil"
"image/title/mini-wishlist__button_background-image","Ikona Lista życzeń"
"image/title/mini-wishlist__button--hover_background-image","Ikona Lista życzeń po najechaniu kursorem"
"image/title/toolbar__view-mode__grid_background-image","Ikona paska narzędzi"
"image/title/toolbar__view-mode__grid--hover_background-image","Aktywna ikona paska narzędzi"
"image/title/toolbar__view-mode__list_background-image","Ikona listy narzędzi"
"image/title/toolbar__view-mode__list--hover_background-image","Aktywna ikona listy narzedzi"
"image/title/block-compare__placeholder_background-image","Lokator ikony mini-porównaj"
"image/title/list--social__item--facebook__link_background-image","Ikona Facebook"
"image/title/list--social__item--facebook__link--hover_background-image","Ikona Facebook po najechaniu kursorem"
"image/title/list--social__item--twitter__link_background-image","Ikona Twitter"
"image/title/list--social__item--twitter__link--hover_background-image","Ikona Twitter po najchenaiu kursorem"
"image/title/list--social__item--google__link_background-image","Ikona Google+"
"image/title/list--social__item--google__link--hover_background-image","Ikona Google+ po najechaniu kursorem"
"image/title/list--social__item--instagram__link_background-image","Ikona Instagram"
"image/title/list--social__item--instagram__link--hover_background-image","Ikona Instagram po najechaniu kursorem"
"image/title/list--social__item--linkedin__link_background-image","Ikona LinkedIn"
