"layout/title/blog_link","Link do bloga"
"layout/title/catalog_mini_search","Mini Wyszukiwarka"
"layout/title/checkout_agreements_position","Pozycja umów"
"layout/title/checkout_view_page_orientation","Orientacja strony"
"layout/title/checkout_view_page_layout","Układ strony"
"layout/title/checkout_billing_address_layout","Układ Adresu rozliczeniowego"
"layout/title/checkout_cart_add_to_cart_quantity_buttons_status","Dodaj do koszyka przycisk ilosci"
"layout/title/checkout_cart_clear_button","Opróznij koszyk"
"layout/title/checkout_cart_crosssells_position","Pozycja sprzedaży krzyżowych"
"layout/title/checkout_cart_crosssells_slider_status","Suwak dla sprzedaży krzyżowych "
"layout/title/checkout_cart_layout","Układ koszyka"
"layout/title/checkout_cart_product_thumbnail","Miniaturowy obraz produktu w koszyku"
"layout/title/checkout_cart_product_unit_price","Cena za sztukę produktu w koszyku"
"layout/title/checkout_cart_shipping_section","Sekcja wysyłki koszyka"
"layout/title/checkout_shipping_address_layout","Adres wysyłki – rozmieszczenie"
"layout/title/checkout_use_billing_shipping_address_above_form","„Użyj adresu rozliczeniowego / wysyłkowego” powyżej formularza"
"layout/title/cookie_notice","Powiadomienie o plikach Cookie"
"layout/title/debug_mode","Tryb Debug"
"layout/title/disable_compare","Porównaj"
"layout/title/disable_poll","Ankieta"
"layout/title/disable_reviews","Recenzja"
"layout/title/disable_tags","Etykiety"
"layout/title/disable_wishlist","Lista życzeń"
"layout/title/footer_legals","Warunki"
"layout/title/footer_marketing_mode","Stopka Marketing"
"layout/title/full_layout_mode","Układ pełnej szerokości"
"layout/title/header_layout","Układ nagłówka"
"layout/title/homepage_banner_layout","Układ baneru na stronei głównej"
"layout/title/input_text_layout","Układ wprowadzania tekstu"
"layout/title/layered_nav_filters_size","Licznik limitu filtrów "
"layout/title/layered_nav_layout","Pozycja filtrów"
"layout/title/layered_navigation_position","Pozycja nawigacji"
"layout/title/mini_cart_image_layout","Włacz obraz mini-koszyka"
"layout/title/mini_cart_layout","Układ mini-koszyka"
"layout/title/nav_layout","Układ nawigacji"
"layout/title/page_background_image","Obraz tła strony"
"layout/title/page_background_repeat","Tło strony powtórzone"
"layout/title/preloader_status","Status modułu wstępnego ładowania"
"layout/title/product_list_add_to_cart_status","Przycisk Dodaj do koszyka"
"layout/title/product_list_add_to_links_status","Dodaj do linków na liście produktów"
"layout/title/product_list_breadcrumbs_title","Okruszki i wyświetlenie produktu"
"layout/title/product_list_discount_mode","Wyświetl obniżkę ceny wartościowo pod ceną "
"layout/title/product_list_discount_percentage_mode","Wyświetl obniżkę ceny procentowo w etykiecie promocyjnej "
"layout/title/product_list_image_width","Szerokość obrazu produktu w trybie listy"
"layout/title/product_list_item_box","Design okna produktu"
"layout/title/product_list_item_title_description_display","Wyświetlanie tytułu i opisu"
"layout/title/product_list_page_layout","Układ strony"
"layout/title/product_list_shortdescription_mode_status","Krótki opis"
