"Necessary","Konieczne"
"Accept all","Zaakceptuj"
"More Details","Więcej szczegółów"
"Statistics","Statystyki"
"Disable GDPR Cookies Persistent","Wyłącz trwałe pliki cookie RODO"
"General Settings","Ustawienia główne"
"Enable GDPR Cookies","Włącz pliki cookie RODO"
"Default Cookie Categories","Domyślne kategorie plików cookie"
"Custom Cookie Categories","Niestandardowe kategorie plików cookie"
"Add Custom Cookie Categories","Dodaj niestandardowe kategorie plików cookie"
"Add Category","Dodaj kategorię"
"Scripts","Skrypty"
"Statistics Scripts Area","Obszar skryptów statystycznych"
"Marketing Scripts Area","Obszar skryptów marketingowych"
"Option","Opcja"
"Checked Read-Only","Zaznaczone tylko do odczytu"
"Script Category","Kategoria skryptu"
"Analytics","Analityka"
"Marketing","Marketing"
"Cookie Name","Nazwa pliku cookie"
"Cookie Description","Opis plików cookie"
"Expiry","Wygaśnięcie"
"Pop-up Title","Tytuł wyskakującego okienka"
"Pop-up Content","Zawartość pop-up"
"Manage Pop-up details link","Ustaw łącze do przycisku szczegółów"


