"Search through posts...","Căutare printre postări"
"Search","Caută"
"Created At","Creat La"
"Created By","Creat De"
"Added By","Adăugat De"
"Posted By","Postat De"
"Posted","Postat"
"Read more","Citește mai mult"
"Read More","Citește Mai Mult"
"Posted in","Postat în"
"By:","De:"
"By","De"
"Bookmark with","Distribuie"
"Save Post","Salvează"
"Save And Continue Edit","Salvează și continua editarea"
"Duplicate Post","Duplicat"
"List Layout Styling","Stilizare listă"
"View Layout Styling","Stilizare pagina detaliu"
"Featured Image is to small. Please upload a bigger image.","Imaginea recomandată este prea mică. Încărcați o imagine mai mare."
"Image smaller than 450px width will be deleted","Imaginea cu o lățime mai mică de 450px va fi ștearsă"
"How many blocks to show","Număr de blocuri afișate"
"Categories to show","Categorii de afișat"
"Show Post Details","Afișați detaliile postării"
"Show Post User","Afișați utilizatorul de postare"
"Display as slider on mobile","Afișați ca și slider pe mobil"
"Add link to Title","Adauga link pe titlu"
"Remove Category from Article URL","Elimina Categoria din URL-ul Articolului"
