"%s file is not uploaded ok. Please try again!","Fişierul %s nu a putut fi încărcat. Vă rugăm să încercaţi mai târziu."
"%s file type is not allowed. Allowed file types: %s.","Tipul de fişier %s nu este permis. Tipurile de fişiere permise sunt: %s."
"%s is not valid.","%s nu este o valid."
"%s saved successfully. %s","%s a fost salvat cu succes. %s"
"%s upload error!","Eroare la încărcare %s!"
"%s upload successfully.","%s a fost încărcat cu succes."
"Advanced Customise Design","Customizare avansată design"
"Auto","Auto"
"capitalize","prima litera mare"
"Categories Menu","Meniu categorii"
"Change template","Modifică template"
"Clear Grunt Log File","Ştergere Raport Grunt"
"Customise Design","Customizare design"
"Customise Layout","Customizare layout"
"Default Theme","Temă implicită"
"Do you really want to clear the Grunt log files?","Sunteţi sigur că doriţi să ştergeţi Raport Grunt?"
"Do you really want to reset the image? Previous image will be deleted!","Sunteţi sigur că doriţi să resetaţi imaginile? Imaginile anterioare se vor şterge!"
"Do you really want to switch to advanced mode?","Sunteţi sigur că doriţi să treceţi în modul avansat?"
"Do you really want to switch to simple mode?","Sunteţi sigur că doriţi să treceţi în modul simplu?"
"Enter value","Introduceţi valoare"
"Error occurred while resetting image %s to %s. Please try again later.","A apărut o eroare în timpul resetării imaginii %s la %s. Vă rugăm să încercaţi mai târziu."
"Final CSS","CSS final"
"Final CSS cannot be saved.","CSS final nu poate fi salvat."
"Final CSS saved successfully.","CSS final a fost salvat cu succes."
"Grunt Images Logs","Raport imagini Grunt"
"Grunt images logs file cleared!","Raport imagini Grunt șters!"
"Grunt images logs file doesn't exist or is not writable!","Raport imagini Grunt nu există sau nu poate fi scris!"
"Grunt images logs file doesn't exist or is not writable!","Raport imagini Grunt nu există sau nu poate fi scris!"
"Grunt Logs","Raport Grunt"
"Grunt logs file cleared!","Raport Grunt şters!"
"Grunt logs file doesn't exist or is not writable!","Raport Grunt nu există sau nu poate fi scris!"
"Grunt logs file doesn't exist or is not writable!","Raport Grunt nu există sau nu poate fi scris!"
"Image %s does not exist in default theme folder (%s).","Imaginea %s nu există în directorul implicit din temă."
"Image %s successfully restored to %s.","Imaginea %s a fost resetată cu succes la %s."
"Images","Imagini"
"inherit","moştenit"
"Inherit from","Moştenit de la"
"It was restored to %s.","A fost resetat la %s."
"Layout Options","Opţiuni layout"
"Logs","Logs"
"lowercase","litere mici"
"No Grunt logs file is set or the file doesn't exist","Fişierul jurnal Grunt nu este setat sau nu există."
"No Scss variable definition in file.","Nicio variabilă Scss nu este definită în fişier."
"No specification CSS file is set on the default theme.","Nicio specificaţie CSS nu este setată în tema implicită."
"No specification Layout file is set on the default theme.","Nicio specificaţie Layout nu este setată în tema implicită."
"No specification Scss file is set on the default theme.","Nicio specificaţie Scss nu este setată în tema implicită."
"Read details","Citeşte detalii"
"Reset to default","Setare valoare implicită"
"Scss_Variable_Border_Style","Stil"
"Scss_Variable_Border_Width","Grosime"
"Scss_Variable_Font_Family","Familie"
"Scss_Variable_Font_Line_Height","Înălţime linie"
"Scss_Variable_Font_Size","Mărime"
"Scss_Variable_Font_Style","Stil"
"Scss_Variable_Font_Text_Decoration","Decoraţie"
"Scss_Variable_Font_Text_Transform","Transformare"
"Scss_Variable_Font_Weight","Grosime"
"Scss_Variable_Margin_Bottom","Jos"
"Scss_Variable_Margin_Left","Stânga"
"Scss_Variable_Margin_Right","Dreapta"
"Scss_Variable_Margin_Top","Sus"
"Scss_Variable_Padding_Bottom","Jos"
"Scss_Variable_Padding_Left","Stânga"
"Scss_Variable_Padding_Right","Dreapta"
"Scss_Variable_Padding_Top","Sus"
"Scss_Variable_Size_Width","Lungime"
"Scss_Variable_Size_Height","Înălţime"
"Styling","Stil"
"Switch to Advanced Mode","Treceţi în mod avansat"
"Switch to Simple Mode","Treceţi în mod simplu"
"Template","Șablon"
"Uploaded image %s is too small for dimensions %sx.","Imaginea încărcată %s este prea mică pentru dimensiunile  %sx."
"Uploaded image: cannot determine uploaded image size.","Dimensiunea imaginii încărcate nu poate fi determinată."
"View Images Log File","Vizualizare raport imagini"
"View Log File","Vizualizare raport fişiere"
"Your CSS code here","Codul dumneavoastră CSS aici"
"Your layout and color settings will be overwritten by the template. Do you really want to lose your settings?","Setările făcute pentru layout și culori vor fi suprascrise de noua temă. Sunteți sigur că doriți să continuați?"
"Export/Import","Importare/Exportare"
"Grunt: Success!","Grunt: Succes!"
"Grunt: Authorization failed!","Grunt: Autorizare eșuată!"
"Grunt: Process error! Please try again later or","Grunt: Eroare de procesare! Vă rugăm încercați mai târziu sau"
"Grunt: There is no token or ""wAuthToken"" file!","Grunt: Token sau fișier ""wAuthToken"" inexistent!"
"Force Grunt","Forțați Grunt"
"layout/title/product_list_filters_heigth","Seteaza inaltime pentru filtre"
"layout/title/product_list_show_empty_reviews","Afişare recenzii goale"
