"image/title/page_favicon","Favicon"
"image/title/page_brand_logo","Sigla Site-ului"
"image/title/page_brand_logo_email","Sigla pentru Email"
"image/title/page_background-image","Fundal pagină"
"image/title/page-footer__marketing-box--shipping__before","Footer Marketing secţiune stânga"
"image/title/page-footer__marketing-box--support__before","Footer Marketing secţiune mijloc"
"image/title/page-footer__marketing-box--newsletter__before","Footer Marketing secţiune Newsletter"
"image/title/add-to-links__wishlist_background-image","Iconiţă Listă dorinţe"
"image/title/add-to-links__compare_background-image","Iconiţă Comparare"
"image/title/mini-cart__link__after","Iconiţă Mini-Coş"
"image/title/mini-cart__link--hover__after","Iconiţă Mini-Coş la hover"
"image/title/mini-search__button_background-image","Iconiţă Căutare"
"image/title/mini-search__button--hover_background-image","Iconiţă Căutare la hover"
"image/title/mini-profile__link_background-image","Iconiţă Utilizator"
"image/title/mini-wishlist__button_background-image","Iconiţă Listă Favorite"
"image/title/mini-wishlist__button--hover_background-image","Iconiţă Listă Favorite la Hover"
"image/title/toolbar__view-mode__grid_background-image","Iconiţă aspect Grid"
"image/title/toolbar__view-mode__grid--hover_background-image","Iconiţă aspect Grid activat"
"image/title/toolbar__view-mode__list_background-image","Iconiţă aspect Listă"
"image/title/toolbar__view-mode__list--hover_background-image","Iconiţă aspect Listă activat"
"image/title/block-compare__placeholder_background-image","Iconiţă placeholder în lista Mini-Comparare"
"image/title/list--social__item--facebook__link_background-image","Listă reţele de socializare - Iconiţă Facebook"
"image/title/list--social__item--facebook__link--hover_background-image","Listă reţele de socializare - Iconiţă Facebook la hover"
"image/title/list--social__item--twitter__link_background-image","Listă reţele de socializare - Iconiţă Twitter"
"image/title/list--social__item--twitter__link--hover_background-image","Listă reţele de socializare - Iconiţă Twitter la hover"
"image/title/list--social__item--google__link_background-image","Listă reţele de socializare - Iconiţă Google+"
"image/title/list--social__item--google__link--hover_background-image","Listă reţele de socializare - Iconiţă Google+ la hover"
"image/title/list--social__item--instagram__link_background-image","Listă reţele de socializare - Iconiţă Instagram"
"image/title/list--social__item--instagram__link--hover_background-image","Listă reţele de socializare - Iconiţă Instagram la hover"
"image/title/list--social__item--linkedin__link_background-image","Listă reţele de socializare - Iconiţă Linkedin"
"image/title/list--social__item--linkedin__link--hover_background-image","Listă reţele de socializare - Iconiţă Linkedin la hover"
"image/title/list--social__item--pinterest__link_background-image","Listă reţele de socializare - Iconiţă Pinterest"
"image/title/list--social__item--pinterest__link--hover_background-image","Listă reţele de socializare - Iconiţă Pinterest la hover"
"image/title/list--social__item--tiktok__link_background-image","Listă reţele de socializare - Iconiţă TikTok"
"image/title/list--social__item--tiktok__link--hover_background-image","Listă reţele de socializare - Iconiţă TikTok la hover"
"image/title/list--social__item--youtube__link_background-image","Listă reţele de socializare - Iconiţă Youtube"
"image/title/list--social__item--youtube__link--hover_background-image","Listă reţele de socializare - Iconiţă Youtube la hover"
"image/title/list--social__item--flickr__link_background-image","Listă reţele de socializare - Iconiţă Flickr"
"image/title/list--social__item--flickr__link--hover_background-image","Listă reţele de socializare - Iconiţă Flickr la hover"
"image/title/og-image","Imagine pentru partajare în reţele de socializare."
"image/description/page_favicon","Mărime recomandată: 256px x 256px"
"image/description/page_brand_logo","Afișat în antet (toate dizpozitivele)"
"image/description/page_brand_logo_email","Afişată în email-uri. Doar formatul GIF este suportat."
"image/description/page_background-image","Afişată ca fundal în întreg site-ul (dispozitive desktop)"
"image/description/page-footer__marketing-box--shipping__before","Afişată în partea de jos a paginii în secţiunea stânga (toate dispozitivele)"
"image/description/page-footer__marketing-box--support__before","Afişată în partea de jos a paginii în secţiunea mijloc (toate dispozitivele)"
"image/description/page-footer__marketing-box--newsletter__before","Afişată în partea de jos a paginii în secţiunea Newsletter (toate dispozitivele)"
"image/description/add-to-links__wishlist_background-image","Afişată în listare produse şi detalii produs (toate dispozitivele)"
"image/description/add-to-links__compare_background-image","Afişată în listare produse şi detalii produs (toate dispozitivele)"
"image/description/mini-cart__link__after","Afişată în header (toate dispozitivele)"
"image/description/mini-cart__link--hover__after","Afişată în header (toate dispozitivele)"
"image/description/mini-search__button_background-image","Afişată în header (toate dispozitivele)"
"image/description/mini-search__button--hover_background-image","Afişată în header (toate dispozitivele)"
"image/description/mini-profile__link_background-image","Afişată în header (dispozitive mobile)"
"image/description/toolbar__view-mode__grid_background-image","Afişată în listare produse şi rezultate căutare (toate dispozitivele)"
"image/description/toolbar__view-mode__grid--hover_background-image","Afişată în listare produse şi rezultate căutare (toate dispozitivele)"
"image/description/toolbar__view-mode__list_background-image","Afişată în listare produse şi rezultate căutare (toate dispozitivele)"
"image/description/toolbar__view-mode__list--hover_background-image","Afişată în listare produse şi rezultate căutare (toate dispozitivele)"
"image/description/block-compare__placeholder_background-image","Afişată în secţiunea de comparare produse (toate dispozitivele)"
"image/description/list--social__item--facebook__link_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--facebook__link--hover_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--twitter__link_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--twitter__link--hover_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--google__link_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--google__link--hover_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--instagram__link_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--instagram__link--hover_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--linkedin__link_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--linkedin__link--hover_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--pinterest__link_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--pinterest__link--hover_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--tiktok__link_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--tiktok__link--hover_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--youtube__link_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--youtube__link--hover_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--flickr__link_background-image","Afişată în footer (toate dispozitivele)"
"image/description/list--social__item--flickr__link--hover_background-image","Afişată în footer (toate dispozitivele)"
"image/description/og-image","Imagine implicita pentru partajarea pe rețelele de socializare (pagina de categorii exclusă)"
"image/help/page_favicon",""
"image/help/page_brand_logo",""
"image/help/page_brand_logo_email",""
"image/help/page_background-image",""
"image/help/page-footer__marketing-box--shipping__before",""
"image/help/page-footer__marketing-box--support__before",""
"image/help/page-footer__marketing-box--newsletter__before",""
"image/help/add-to-links__wishlist_background-image",""
"image/help/add-to-links__compare_background-image",""
"image/help/mini-cart__link__after",""
"image/help/mini-cart__link--hover__after",""
"image/help/mini-search__button_background-image",""
"image/help/mini-search__button--hover_background-image",""
"image/help/mini-profile__link_background-image",""
"image/help/toolbar__view-mode__grid_background-image",""
"image/help/toolbar__view-mode__grid--hover_background-image",""
"image/help/toolbar__view-mode__list_background-image",""
"image/help/toolbar__view-mode__list--hover_background-image",""
"image/help/block-compare__placeholder_background-image",""
"image/help/list--social__item--facebook__link_background-image",""
"image/help/list--social__item--facebook__link--hover_background-image",""
"image/help/list--social__item--twitter__link_background-image",""
"image/help/list--social__item--twitter__link--hover_background-image",""
