"layout/title/blog_link","Link-ul blog-ului"
"layout/title/catalog_mini_search","Mini-căutare"
"layout/title/mini_cart_image_layout","Afişare imagine dropdown"
"layout/options/nav_layout/11","Meniu principal - cu imagine pe subcategorie"
"layout/title/checkout_agreements_position","Poziţie acord în finalizare comandă"
"layout/title/checkout_view_page_orientation","Orientare pagină"
"layout/title/checkout_view_page_layout","Layout pagină"
"layout/title/checkout_billing_address_layout","Layout adresă de facturare în finalizare comandă"
"layout/title/checkout_cart_add_to_cart_quantity_buttons_status","Butoane cantitate"
"layout/title/checkout_cart_clear_button","Buton ştergere în coş"
"layout/title/checkout_cart_crosssells_position","Poziţie vânzări încrucişate"
"layout/title/checkout_cart_crosssells_slider_status","Slider vânzări încrucişate"
"layout/title/checkout_cart_layout","Layout coş"
"layout/title/checkout_cart_product_thumbnail","Thumbnail produs în coş"
"layout/title/checkout_cart_product_unit_price","Preţ pe unitate produs în coş"
"layout/title/checkout_cart_shipping_section","Secţiunea transport din coş"
"layout/title/checkout_shipping_address_layout","Layout adresă de livrare în finalizare comandă"
"layout/title/checkout_use_billing_shipping_address_above_form","""Foloseşte adresa de facturare"" deasupra formularului"
"layout/title/cookie_notice","Notificare cookie"
"layout/title/debug_mode","Mod depanare"
"layout/title/disable_compare","Comparare"
"layout/title/disable_poll","Sondaj"
"layout/title/disable_reviews","Recenzii"
"layout/title/disable_tags","Etichete"
"layout/title/disable_wishlist","Lista de dorinţe"
"layout/title/footer_legals","Aspecte legale"
"layout/title/footer_marketing_mode","Footer marketing"
"layout/title/full_layout_mode","Layout pe lăţime maximă"
"layout/title/header_layout","Layout antet"
"layout/title/homepage_banner_layout","Layout pentru banner-ul de pe pagina principală"
"layout/title/input_text_layout","Layout input-text"
"layout/title/layered_nav_filters_size","Limită filtre"
"layout/title/layered_nav_layout","Poziţie filtre"
"layout/title/layered_navigation_position","Poziţie navigaţie"
"layout/title/mini_cart_layout","Layout mini-coş"
"layout/title/nav_layout","Layout meniu"
"layout/title/page_background_image","Imagine fundal pagină"
"layout/title/page_background_repeat","Repetare imagine fundal"
"layout/title/preloader_status","Status preloader"
"layout/title/product_list_add_to_cart_status","Buton ""Adăugare în coş"""
"layout/title/product_list_add_to_links_status","Link ""Adaugă la"""
"layout/title/product_list_breadcrumbs_title","Afişare breadcrumbs şi titlu "
"layout/title/product_list_discount_mode","Afişare reducere în valoare sub preţ"
"layout/title/product_list_discount_percentage_mode","Afişare reducere în procente în eticheta ""Reducere"""
"layout/title/product_list_image_width","Laţime imagine produs în modul listă"
"layout/title/product_list_item_box","Design box articol"
"layout/title/product_list_item_title_description_display","Afişare titlu şi descriere"
"layout/title/product_list_page_layout","Layout pagină"
"layout/title/product_list_shortdescription_mode_status","Scurtă descriere"
"layout/title/product_list_tax_mode","Informaţie taxe"
"layout/title/product_list_qty_button","Butoane cantitate"
"layout/title/product_list_tax_shipping_mode","Informaţii livrare"
"layout/title/product_view_add_to_cart_quantity_buttons_status","Butoane cantitate"
"layout/title/checkout_cart_modal","Afişează coş in modal"
"layout/title/product_view_delivery_time_mode","Timp de livrare"
"layout/title/product_view_discount_mode","Afişare reducere în valoare langa preţ"
"layout/title/product_view_discount_percentage_mode","Afişare reducere în procente peste imaginea mare"
"layout/title/product_view_gallery_images_count","Număr imagini afişate în galerie"
"layout/title/product_view_gallery_images_count_mobile","Număr imagini afişate în galerie (dispozitive mobile)"
"layout/title/product_view_gallery_orientation","Orientare galerie"
"layout/title/product_view_mobile_gallery_orientation","Orientare galerie pe mobil"
"layout/title/product_view_group_attributes_status","Adaugă numele grupului de atribute"
"layout/title/product_view_layout","Layout produs"
"layout/title/product_view_main_image_action","Zoom pe imagine"
"layout/title/product_view_manufacturer_price_mode","Preţ de producător"
"layout/title/product_view_page_layout","Layout pagină"
"layout/title/product_view_related_products_slider_status","Diapozitiv pentru produse similare"
"layout/title/product_view_related_products_slider_slides_to_show","Numar de slider-uri la afisare pentru produse similare"
"layout/title/product_view_related_products_slider_slides_to_scroll","Numar de slider-uri la defilare pentru produse similare"
"layout/title/product_view_related_products_slider_animation","Viteza animatie slider pentru produse similare"
"layout/title/product_view_related_products_slider_loop","Defilare infinita slider pentru produse similare"
"layout/title/product_view_related_products_slider_center","Centrare pentru produse similare"
"layout/title/product_view_related_products_slider_dots","Paginatie pentru produse similare"
"layout/title/product_view_related_products_status","Stare produse similare"
"layout/title/product_view_reviews_mode","Recenzii sub titlu"
"layout/title/product_view_shop_layout","Layout secţiune informaţii"
"layout/title/product_view_short_description_mode","Descriere scurtă"
"layout/title/product_view_subtitle_mode","Subtitlu"
"layout/title/product_view_tabs_style","Stil taburi"
"layout/title/product_view_upsell_products_slider_status","Diapozitiv pentru produse recomandate"
"layout/title/product_view_upsell_products_status","Stare produse recomandate"
"layout/title/product_view_upsell_products_slider_slides_to_show","Numar de slider-uri la afisare pentru produse recomandate"
"layout/title/product_view_upsell_products_slider_slides_to_scroll","Numar de slider-uri la defilare pentru produse recomandate"
