"Action","Acțiune"
"Actions","Acțiuni"
"Add/Edit Form","Adăugare/Modificare Formular"
"Add Field","Adăugare Câmp"
"Add new form","Adăugare Formular Nou"
"Allow Field Comments","Permite Comentarii"
"Allow Multiple Files Upload","Permite Upload Fișiere Multiple"
"Allowed Input Types","Tipuri de Input Permise"
"Are you sure?","Sunteți sigur?"
"Are you sure you want to do this?","Sunteți sigur?"
"Checked by default","Bifat implicit"
"Choose email template.","Alegeți șablonul pentru email."
"Choose field type.","Alegeți tipul câmpului."
"Choose if required or not.","Obligatoriu sau nu."
"Comment","Comentariu"
"Created Date","Dată Creare"
"Default Value","Valoare Implicită"
"Delete","Ștergere"
"Delete Form","Ștergere Formular"
"Edit","Modificare"
"Email Template","Șablon Email"
"Enable","Activare"
"Field Information","Informații Câmpuri"
"Field Label","Label Câmp"
"'Field Label' and 'Field Type' is required! If you selected 'select' or 'radio' type, the 'Values' field is required.","Câmpurile 'Label Câmp' și 'Tip Câmp' sunt obligatorii! Dacă selectați câmpul 'select' sau 'radio' este obligatoriu să completați valorile acestora."
"Field Type","Tip Câmp"
"Form Code","Cod Formular"
"Form ID","ID Formular"
"Form Information","Informații Formular"
"Form Name","Nume Formular"
"Form was successfully deleted","Formularul a fost șters cu succes"
"Forms","Formulare"
"Forms Generator","Generare Formulare"
"General Settings","Setări Generale"
"Generator","Generare"
"Insert a note/comment for the field.","Introduceți o notă/un comentariu pentru acest câmp."
"Insert all values for this type of field separated by comma.","Introduceți toate valorile pentru acest câmp separate prin virgulă."
"Insert the label field that will be displayed on form.","Introduceți label-ul câmpului."
"Insert the recipient's e-mail.","Introduceți adresa de email a destinatarului."
"Insert the recipient's name.","Introduceți numele destinatarului."
"Last Modified","Ultima Modificare"
"Message sent.","Mesaj trimis."
"Message not sent.","Mesajul nu s-a putut trimite."
"Optional: Insert a default value to be selected. Must be in values list.","Opțional: Introduceți o valoare care să fie selectată implicit. Aceasta trebuie să se afle in lista cu valori."
"Optional: Insert a placeholder.","Opțional: Introduceți un placeholder."
"Optional: Insert a value to be completed by default.","Opțional: Introduceți valoarea dorită pentru a fi completată implicit."
"Please select form(s)","Vă rugăm selectați formularul(rele)"
"Preview Form","Previzualizare Formular"
"Recipient","Destinatar"
"Recipient Email","Email Destinatar"
"Required","Obligatoriu"
"Reset Filter","Resetare Filtre"
"Save And Continue Edit","Salvează și continuă editarea"
"Save Form","Salvare Formular"
"Search","Căutare"
"Select a success page...","Selectați o pagină de succes..."
"Select an Option...","Selectați o Opțiune..."
"Selected Value","Valoare Selectată"
"Shortcode","Cod Scurtătură"
"Status","Status"
"Something went wrong...","Ceva nu este in regulă..."
"Success Page","Pagina Succes"
"The form has been successfully saved.","Formularul a fost salvat cu succes."
"This is a code preview. Here you can edit or delete some parts of the code. Atention! All the fields are added one after another and at some point you may have to switch the position of some fields!","Previziulizare cod. Aici este posibilă modificarea sau ștergerea unor părți de cod. Atenție! Toate câmpurile sunt adăugate unul după altul, la un moment dat este posibil să fie nevoie de schimbarea poziției unor câmpuri!"
"Total of %d record(s) were successfully deleted","Au fost șterse %d de inregistrări"
"Values","Valori"
"You have reached the maximum upload size limit of 20MB.","Ați depășit limita maximă a fișierelor urcate de 20MB."
"Site Key for Recaptcha","Site key pentru Recaptcha"
"Secret Key for Recaptcha","Secret key pentru Recaptcha"
"Theme for Recaptcha","Tema Recaptcha"
"You cannot submit an empty form.","Nu puteți trimite un formular necompletat."
