"Necessary","Necesar"
"Accept all","Accepta toate"
"More Details","Mai multe detalii"
"General Settings","Setari generale"
"Enable GDPR Cookies","Activați cookie-urile GDPR"
"Disable GDPR Cookies Persistent","Dezactivați cookie-urile GDPR persistent"
"Default Cookie Categories","Categorii implicite de cookie-uri"
"Statistics","Statistici"
"Custom Cookie Categories","Categorii personalizate de cookie-uri"
"Add Custom Cookie Categories","Adaugă categorii personalizate de cookie-uri"
"Add Category","Adaugă categorie"
"Scripts","Scripturi"
"Statistics Scripts Area","Zona de scripturi statistice"
"Marketing Scripts Area","Zona Scripturilor de Marketing"
"Option","Opțiune"
"Checked Read-Only","Check-Only"
"Script Category","Categorie Script"
"Necessary","Necesare"
"Analytics","Analitice"
"Marketing","Marketing"
"Cookie Name","Nume cookie"
"Cookie Description","Descriere cookie"
"Expiry","Expira dupa"
"Pop-up Title","Titlu Pop-up"
"Pop-up Content","Text Continut Pop-up"
"Manage Pop-up details link","Seteaza link-ul pentru butonul de detalii"

