"1 Column","1 Coloană"
"2 Columns","2 Coloane"
"3 Columns","3 Coloane"
"4 Columns","4 Coloane"
"Add Widget","Adăugare widget"
"Are you sure you want to delete this row?","Sunteţi sigur că doriţi să ştergeţi acest rând?"
"Clear Content","Ştergere conţinut"
"Delete this row","Ştergeţi acest rând"
"Drag & drop to reorder layout","Trageţi şi mutaţi pentru a reordona layout-ul"
"Edit Widget","Editare widget"
"Homepage Manager","Editare conţinut"
"Insert row with four columns","Inserare rând cu patru coloane"
"Insert row with one column","Inserare rând cu o coloană"
"Insert row with three columns","Inserare rând cu trei coloane"
"Insert row with two columns","Inserare rând cu două coloane"
