"1 Item","1 Produs"
"2 Items","2 Produse"
"3 Items","3 Produse"
"4 Items","4 Produse"
"5 Items","5 Produse"
"6 Items","6 Produse"
"Big Boxes","Secţiuni mari"
"Big Boxes - Only Images","Secţiuni mari - doar imagini"
"Blugento Multi Products","Blugento Multi Products"
"Category","Categorie"
"Default","Implicit"
"Display Products from","Afişare produse din"
"Filter Products","Filtrează produse"
"Grid Template","Grid Template"
"List of Product IDs","Listă de ID-uri produse"
"Display Title","Afişează titlu"
"List of Products from a Category or a List of IDs","Listă de produse dintr-o categorie sau dintr-o listă de ID-uri"
"List Template","List Template"
"New products","Produse noi"
"New products first","Produse noi prima dată"
"No","Nu"
"Slider","Slider"
"Slider Animation Speed","Viteză animaţie slider"
"Slides to Scroll","Număr de slide-uri la defilare"
"Slides to Show","Număr de slide-uri la afişare"
"Small Boxes","Secţiuni mici"
"Small Boxes - Left Image","Secţiuni mici - imagine pe stânga"
"Small Boxes - Only Images","Secţiuni mici - doar imagini"
"Small Boxes - Right Image","Secţiuni mici - imagine pe dreapta"
"Template","Template"
"Title","Titlu"
"Yes","Da"
"Show Products Price","Afişează pret produs"
"Show Add to Wishlist","Afişează buton de favorite"
"Show Add to Compare","Afişează buton de comparare"
"Allow Out of Stock Products","Afişează produse fara stoc"
"Max Number of Products to Display ","Afişează numarul maxim de produse"
"Loop Option","Defilare infinita"
"Slider Autoplay","Activare animatie"
"Slider CssEase","Mod animatie"
"True","Da"
"False","Nu"
"Yes","Da"
"No","Nu"
"Limit(200 char)","Limitat (200 char)"
"Dots Slider","Paginatie slider"
"Center Slider","Centrare slider"
